kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Socialdemokratiet,,87,
Helsingørkredsen,1. Helsingør Bibliotek,Poul Nyrup Rasmussen,Socialdemokratiet,,806,
Helsingørkredsen,1. Helsingør Bibliotek,Henrik Dam Kristensen,Socialdemokratiet,,87,
Helsingørkredsen,1. Helsingør Bibliotek,Britta Thomsen,Socialdemokratiet,,22,
Helsingørkredsen,1. Helsingør Bibliotek,Christel Schaldemose,Socialdemokratiet,,13,
Helsingørkredsen,1. Helsingør Bibliotek,Dan Jørgensen,Socialdemokratiet,,3,
Helsingørkredsen,1. Helsingør Bibliotek,Steen Nielsen,Socialdemokratiet,,1,
Helsingørkredsen,1. Helsingør Bibliotek,Mads Panny,Socialdemokratiet,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Ole Christensen,Socialdemokratiet,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Bo Morthorst Rasmussen,Socialdemokratiet,,1,
Helsingørkredsen,1. Helsingør Bibliotek,Anna Haaland Hansen,Socialdemokratiet,,6,
Helsingørkredsen,1. Helsingør Bibliotek,Anders Kronborg,Socialdemokratiet,,1,
Helsingørkredsen,1. Helsingør Bibliotek,"Henning Jensen, Næstved",Socialdemokratiet,,2,
Helsingørkredsen,1. Helsingør Bibliotek,Einer Lyduch,Socialdemokratiet,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Benny Hestbek,Socialdemokratiet,,10,
Helsingørkredsen,1. Helsingør Bibliotek,Kaj Johansen,Socialdemokratiet,,1,
Helsingørkredsen,1. Helsingør Bibliotek,"Henning A. Jensen, Bornholm",Socialdemokratiet,,1,
Helsingørkredsen,1. Helsingør Bibliotek,Partiliste,Det Radikale Venstre,,65,
Helsingørkredsen,1. Helsingør Bibliotek,Anders Samuelsen,Det Radikale Venstre,,97,
Helsingørkredsen,1. Helsingør Bibliotek,Camilla Hersom,Det Radikale Venstre,,34,
Helsingørkredsen,1. Helsingør Bibliotek,Johannes Lebech,Det Radikale Venstre,,1,
Helsingørkredsen,1. Helsingør Bibliotek,Simon Emil Ammitzbøll,Det Radikale Venstre,,2,
Helsingørkredsen,1. Helsingør Bibliotek,Tomas Bech Madsen,Det Radikale Venstre,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Adam Lebech,Det Radikale Venstre,,2,
Helsingørkredsen,1. Helsingør Bibliotek,Bjarke Larsen,Det Radikale Venstre,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Hanne Roed,Det Radikale Venstre,,4,
Helsingørkredsen,1. Helsingør Bibliotek,Per Kleis Bønnelycke,Det Radikale Venstre,,1,
Helsingørkredsen,1. Helsingør Bibliotek,Stefan Seidler,Det Radikale Venstre,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Keld Kollerup Kvist,Det Radikale Venstre,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Per Fibæk Laursen,Det Radikale Venstre,,1,
Helsingørkredsen,1. Helsingør Bibliotek,Torben Lundø,Det Radikale Venstre,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Kristian Kirk Mailand,Det Radikale Venstre,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Gunner Nielsen,Det Radikale Venstre,,0,
Helsingørkredsen,1. Helsingør Bibliotek,Peter Sørensen,Det Radikale Venstre,,2,
