kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Socialdemokratiet,,165,
Odense Østkredsen,1. Østre Kulturcenter,Poul Nyrup Rasmussen,Socialdemokratiet,,814,
Odense Østkredsen,1. Østre Kulturcenter,Henrik Dam Kristensen,Socialdemokratiet,,113,
Odense Østkredsen,1. Østre Kulturcenter,Britta Thomsen,Socialdemokratiet,,11,
Odense Østkredsen,1. Østre Kulturcenter,Christel Schaldemose,Socialdemokratiet,,60,
Odense Østkredsen,1. Østre Kulturcenter,Dan Jørgensen,Socialdemokratiet,,26,
Odense Østkredsen,1. Østre Kulturcenter,Steen Nielsen,Socialdemokratiet,,1,
Odense Østkredsen,1. Østre Kulturcenter,Mads Panny,Socialdemokratiet,,2,
Odense Østkredsen,1. Østre Kulturcenter,Ole Christensen,Socialdemokratiet,,0,
Odense Østkredsen,1. Østre Kulturcenter,Bo Morthorst Rasmussen,Socialdemokratiet,,8,
Odense Østkredsen,1. Østre Kulturcenter,Anna Haaland Hansen,Socialdemokratiet,,10,
Odense Østkredsen,1. Østre Kulturcenter,Anders Kronborg,Socialdemokratiet,,5,
Odense Østkredsen,1. Østre Kulturcenter,"Henning Jensen, Næstved",Socialdemokratiet,,0,
Odense Østkredsen,1. Østre Kulturcenter,Einer Lyduch,Socialdemokratiet,,1,
Odense Østkredsen,1. Østre Kulturcenter,Benny Hestbek,Socialdemokratiet,,0,
Odense Østkredsen,1. Østre Kulturcenter,Kaj Johansen,Socialdemokratiet,,0,
Odense Østkredsen,1. Østre Kulturcenter,"Henning A. Jensen, Bornholm",Socialdemokratiet,,0,
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Det Radikale Venstre,,113,
Odense Østkredsen,1. Østre Kulturcenter,Anders Samuelsen,Det Radikale Venstre,,161,
Odense Østkredsen,1. Østre Kulturcenter,Camilla Hersom,Det Radikale Venstre,,40,
Odense Østkredsen,1. Østre Kulturcenter,Johannes Lebech,Det Radikale Venstre,,1,
