kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Gentoftekredsen,1. Jægersborg,Partiliste,Socialdemokratiet,A,40,
Gentoftekredsen,1. Jægersborg,Poul Nyrup Rasmussen,Socialdemokratiet,A,385,
Gentoftekredsen,1. Jægersborg,Henrik Dam Kristensen,Socialdemokratiet,A,46,
Gentoftekredsen,1. Jægersborg,Britta Thomsen,Socialdemokratiet,A,13,
Gentoftekredsen,1. Jægersborg,Christel Schaldemose,Socialdemokratiet,A,13,
Gentoftekredsen,1. Jægersborg,Dan Jørgensen,Socialdemokratiet,A,1,
Gentoftekredsen,1. Jægersborg,Steen Nielsen,Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,Mads Panny,Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,Ole Christensen,Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,Bo Morthorst Rasmussen,Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,Anna Haaland Hansen,Socialdemokratiet,A,11,
Gentoftekredsen,1. Jægersborg,Anders Kronborg,Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,"Henning Jensen, Næstved",Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,Einer Lyduch,Socialdemokratiet,A,3,
Gentoftekredsen,1. Jægersborg,Benny Hestbek,Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,Kaj Johansen,Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,"Henning A. Jensen, Bornholm",Socialdemokratiet,A,0,
Gentoftekredsen,1. Jægersborg,Partiliste,Det Radikale Venstre,B,90,
Gentoftekredsen,1. Jægersborg,Anders Samuelsen,Det Radikale Venstre,B,160,
Gentoftekredsen,1. Jægersborg,Camilla Hersom,Det Radikale Venstre,B,66,
Gentoftekredsen,1. Jægersborg,Johannes Lebech,Det Radikale Venstre,B,2,
Gentoftekredsen,1. Jægersborg,Simon Emil Ammitzbøll,Det Radikale Venstre,B,0,
Gentoftekredsen,1. Jægersborg,Tomas Bech Madsen,Det Radikale Venstre,B,0,
Gentoftekredsen,1. Jægersborg,Adam Lebech,Det Radikale Venstre,B,0,
Gentoftekredsen,1. Jægersborg,Bjarke Larsen,Det Radikale Venstre,B,0,
Gentoftekredsen,1. Jægersborg,Hanne Roed,Det Radikale Venstre,B,5,
Gentoftekredsen,1. Jægersborg,Per Kleis Bønnelycke,Det Radikale Venstre,B,1,
Gentoftekredsen,1. Jægersborg,Stefan Seidler,Det Radikale Venstre,B,1,
Gentoftekredsen,1. Jægersborg,Keld Kollerup Kvist,Det Radikale Venstre,B,0,
Gentoftekredsen,1. Jægersborg,Per Fibæk Laursen,Det Radikale Venstre,B,0,
Gentoftekredsen,1. Jægersborg,Torben Lundø,Det Radikale Venstre,B,1,
Gentoftekredsen,1. Jægersborg,Kristian Kirk Mailand,Det Radikale Venstre,B,1,
Gentoftekredsen,1. Jægersborg,Gunner Nielsen,Det Radikale Venstre,B,0,
Gentoftekredsen,1. Jægersborg,Peter Sørensen,Det Radikale Venstre,B,1,
Gentoftekredsen,1. Jægersborg,Partiliste,Det Konservative Folkeparti,C,123,
Gentoftekredsen,1. Jægersborg,Gitte Seeberg,Det Konservative Folkeparti,C,542,
Gentoftekredsen,1. Jægersborg,Christian Rovsing,Det Konservative Folkeparti,C,238,
Gentoftekredsen,1. Jægersborg,Søren Møller,Det Konservative Folkeparti,C,4,
Gentoftekredsen,1. Jægersborg,Kent Kirk,Det Konservative Folkeparti,C,17,
Gentoftekredsen,1. Jægersborg,Kristian Kolind,Det Konservative Folkeparti,C,7,
Gentoftekredsen,1. Jægersborg,Anne-Louise Eppler,Det Konservative Folkeparti,C,3,
Gentoftekredsen,1. Jægersborg,Lis Randa,Det Konservative Folkeparti,C,0,
Gentoftekredsen,1. Jægersborg,Anders Stenild,Det Konservative Folkeparti,C,0,
Gentoftekredsen,1. Jægersborg,Eva Møller,Det Konservative Folkeparti,C,3,
