kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Socialdemokratiet,A,104,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Poul Nyrup Rasmussen,Socialdemokratiet,A,843,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Henrik Dam Kristensen,Socialdemokratiet,A,71,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Britta Thomsen,Socialdemokratiet,A,36,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Christel Schaldemose,Socialdemokratiet,A,29,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Dan Jørgensen,Socialdemokratiet,A,2,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Steen Nielsen,Socialdemokratiet,A,1,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Mads Panny,Socialdemokratiet,A,1,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Ole Christensen,Socialdemokratiet,A,0,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Bo Morthorst Rasmussen,Socialdemokratiet,A,4,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Anna Haaland Hansen,Socialdemokratiet,A,68,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Anders Kronborg,Socialdemokratiet,A,0,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst","Henning Jensen, Næstved",Socialdemokratiet,A,2,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Einer Lyduch,Socialdemokratiet,A,6,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Benny Hestbek,Socialdemokratiet,A,1,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Kaj Johansen,Socialdemokratiet,A,0,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst","Henning A. Jensen, Bornholm",Socialdemokratiet,A,3,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Det Radikale Venstre,B,182,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Anders Samuelsen,Det Radikale Venstre,B,294,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Camilla Hersom,Det Radikale Venstre,B,157,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Johannes Lebech,Det Radikale Venstre,B,1,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Simon Emil Ammitzbøll,Det Radikale Venstre,B,3,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Tomas Bech Madsen,Det Radikale Venstre,B,4,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Adam Lebech,Det Radikale Venstre,B,12,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Bjarke Larsen,Det Radikale Venstre,B,1,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Hanne Roed,Det Radikale Venstre,B,8,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Per Kleis Bønnelycke,Det Radikale Venstre,B,3,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Stefan Seidler,Det Radikale Venstre,B,2,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Keld Kollerup Kvist,Det Radikale Venstre,B,2,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Per Fibæk Laursen,Det Radikale Venstre,B,5,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Torben Lundø,Det Radikale Venstre,B,1,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Kristian Kirk Mailand,Det Radikale Venstre,B,2,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Gunner Nielsen,Det Radikale Venstre,B,0,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Peter Sørensen,Det Radikale Venstre,B,0,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Partiliste,Det Konservative Folkeparti,C,102,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Gitte Seeberg,Det Konservative Folkeparti,C,355,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Christian Rovsing,Det Konservative Folkeparti,C,125,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Søren Møller,Det Konservative Folkeparti,C,7,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Kent Kirk,Det Konservative Folkeparti,C,14,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Kristian Kolind,Det Konservative Folkeparti,C,20,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Anne-Louise Eppler,Det Konservative Folkeparti,C,9,
Gl. Kongevejkredsen,"1. 1. Kreds, Øst",Lis Randa,Det Konservative Folkeparti,C,0,
