kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer,kommune
Holbækkredsen,1. Administrationscentret,Partiliste,Socialdemokratiet,A,67,
Holbækkredsen,1. Administrationscentret,Poul Nyrup Rasmussen,Socialdemokratiet,A,564,
Holbækkredsen,1. Administrationscentret,Henrik Dam Kristensen,Socialdemokratiet,A,64,
Holbækkredsen,1. Administrationscentret,Britta Thomsen,Socialdemokratiet,A,35,
Holbækkredsen,1. Administrationscentret,Christel Schaldemose,Socialdemokratiet,A,13,
Holbækkredsen,1. Administrationscentret,Dan Jørgensen,Socialdemokratiet,A,0,
Holbækkredsen,1. Administrationscentret,Steen Nielsen,Socialdemokratiet,A,2,
Holbækkredsen,1. Administrationscentret,Mads Panny,Socialdemokratiet,A,0,
Holbækkredsen,1. Administrationscentret,Ole Christensen,Socialdemokratiet,A,0,
Holbækkredsen,1. Administrationscentret,Bo Morthorst Rasmussen,Socialdemokratiet,A,1,
Holbækkredsen,1. Administrationscentret,Anna Haaland Hansen,Socialdemokratiet,A,6,
Holbækkredsen,1. Administrationscentret,Anders Kronborg,Socialdemokratiet,A,0,
Holbækkredsen,1. Administrationscentret,"Henning Jensen, Næstved",Socialdemokratiet,A,2,
Holbækkredsen,1. Administrationscentret,Einer Lyduch,Socialdemokratiet,A,0,
Holbækkredsen,1. Administrationscentret,Benny Hestbek,Socialdemokratiet,A,1,
Holbækkredsen,1. Administrationscentret,Kaj Johansen,Socialdemokratiet,A,0,
Holbækkredsen,1. Administrationscentret,"Henning A. Jensen, Bornholm",Socialdemokratiet,A,0,
Holbækkredsen,1. Administrationscentret,Partiliste,Det Radikale Venstre,B,48,
Holbækkredsen,1. Administrationscentret,Anders Samuelsen,Det Radikale Venstre,B,194,
Holbækkredsen,1. Administrationscentret,Camilla Hersom,Det Radikale Venstre,B,20,
Holbækkredsen,1. Administrationscentret,Johannes Lebech,Det Radikale Venstre,B,1,
Holbækkredsen,1. Administrationscentret,Simon Emil Ammitzbøll,Det Radikale Venstre,B,0,
Holbækkredsen,1. Administrationscentret,Tomas Bech Madsen,Det Radikale Venstre,B,0,
Holbækkredsen,1. Administrationscentret,Adam Lebech,Det Radikale Venstre,B,1,
Holbækkredsen,1. Administrationscentret,Bjarke Larsen,Det Radikale Venstre,B,1,
Holbækkredsen,1. Administrationscentret,Hanne Roed,Det Radikale Venstre,B,0,
Holbækkredsen,1. Administrationscentret,Per Kleis Bønnelycke,Det Radikale Venstre,B,0,
Holbækkredsen,1. Administrationscentret,Stefan Seidler,Det Radikale Venstre,B,0,
Holbækkredsen,1. Administrationscentret,Keld Kollerup Kvist,Det Radikale Venstre,B,0,
Holbækkredsen,1. Administrationscentret,Per Fibæk Laursen,Det Radikale Venstre,B,2,
Holbækkredsen,1. Administrationscentret,Torben Lundø,Det Radikale Venstre,B,1,
Holbækkredsen,1. Administrationscentret,Kristian Kirk Mailand,Det Radikale Venstre,B,0,
Holbækkredsen,1. Administrationscentret,Gunner Nielsen,Det Radikale Venstre,B,19,
Holbækkredsen,1. Administrationscentret,Peter Sørensen,Det Radikale Venstre,B,0,
Holbækkredsen,1. Administrationscentret,Partiliste,Det Konservative Folkeparti,C,43,
Holbækkredsen,1. Administrationscentret,Gitte Seeberg,Det Konservative Folkeparti,C,183,
Holbækkredsen,1. Administrationscentret,Christian Rovsing,Det Konservative Folkeparti,C,56,
Holbækkredsen,1. Administrationscentret,Søren Møller,Det Konservative Folkeparti,C,1,
Holbækkredsen,1. Administrationscentret,Kent Kirk,Det Konservative Folkeparti,C,10,
Holbækkredsen,1. Administrationscentret,Kristian Kolind,Det Konservative Folkeparti,C,2,
Holbækkredsen,1. Administrationscentret,Anne-Louise Eppler,Det Konservative Folkeparti,C,2,
Holbækkredsen,1. Administrationscentret,Lis Randa,Det Konservative Folkeparti,C,0,
Holbækkredsen,1. Administrationscentret,Anders Stenild,Det Konservative Folkeparti,C,0,
Holbækkredsen,1. Administrationscentret,Eva Møller,Det Konservative Folkeparti,C,1,
Holbækkredsen,1. Administrationscentret,Regitze Schrøder,Det Konservative Folkeparti,C,2,
Holbækkredsen,1. Administrationscentret,Daniel Gottrup Nielsen,Det Konservative Folkeparti,C,1,
