Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,Socialdemokratiet,121,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jeppe Kofod,Socialdemokratiet,167,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Ole Christensen,Socialdemokratiet,6,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Christel Schaldemose,Socialdemokratiet,101,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Lasse Quvang Rasmussen,Socialdemokratiet,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Britta Thomsen,Socialdemokratiet,23,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Kathrine Alexandrowiz,Socialdemokratiet,13,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Gunde Odgaard,Socialdemokratiet,8,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Rasmus Gjedssø Bertelsen,Socialdemokratiet,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,Radikale Venstre,108,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Morten Helveg Petersen,Radikale Venstre,241,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Christian Kjølhede,Radikale Venstre,20,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Kristina Siig,Radikale Venstre,13,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Samira Nawa Amini,Radikale Venstre,8,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Karen Melchior,Radikale Venstre,32,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Thomas Elkjær,Radikale Venstre,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Sissel Kvist,Radikale Venstre,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,Det Konservative Folkeparti,171,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Bendt Bendtsen,Det Konservative Folkeparti,435,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Josefine Kofoed,Det Konservative Folkeparti,81,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Tove Videbæk,Det Konservative Folkeparti,4,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Nichlas Vind,Det Konservative Folkeparti,9,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Christian Wedell-Neergaard,Det Konservative Folkeparti,5,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Morten Thiessen,Det Konservative Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Julie Broe,Det Konservative Folkeparti,6,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Catja C. Gaebel,Det Konservative Folkeparti,4,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Anders Stoltenberg,Det Konservative Folkeparti,7,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Mette-Katrine Ejby Buch,Det Konservative Folkeparti,5,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,SF - Socialistisk Folkeparti,67,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Margrete Auken,SF - Socialistisk Folkeparti,220,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Tonni Hansen,SF - Socialistisk Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Anne-Mette Wehmüller,SF - Socialistisk Folkeparti,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Christine Sidenius,SF - Socialistisk Folkeparti,4,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Teis Volstrup,SF - Socialistisk Folkeparti,5,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jacob Isøe Klærke,SF - Socialistisk Folkeparti,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Fathi El-Abed,SF - Socialistisk Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Halime Oguz,SF - Socialistisk Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Meta Fuglsang,SF - Socialistisk Folkeparti,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Allan Norre Pedersen,SF - Socialistisk Folkeparti,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Rune Bai Nielsen,SF - Socialistisk Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Charlotte Broman Mølbæk,SF - Socialistisk Folkeparti,6,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Michael Thomsen,SF - Socialistisk Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Søren Gytz Olesen,SF - Socialistisk Folkeparti,4,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jan Kjær,SF - Socialistisk Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jørgen Jørgensen,SF - Socialistisk Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Troels Stru Schmidt,SF - Socialistisk Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Lau Tambjerg,SF - Socialistisk Folkeparti,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Annemette Schønberg Johnsen,SF - Socialistisk Folkeparti,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Anne Lise Holst Jensen,SF - Socialistisk Folkeparti,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,Liberal Alliance,95,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Christina Egelund,Liberal Alliance,103,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Niels Westy,Liberal Alliance,8,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Kasper Heumann Kristensen,Liberal Alliance,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Marianne Mørk Mathiesen,Liberal Alliance,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jakob Bille,Liberal Alliance,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Sabeena Sareen,Liberal Alliance,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Andreas Hastrup,Liberal Alliance,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Anne Kathrine Kirk,Liberal Alliance,2,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Niels Høiby,Liberal Alliance,6,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Partiliste,Folkebevægelsen mod EU,77,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Rina Ronja Kari,Folkebevægelsen mod EU,46,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Lave K. Broch,Folkebevægelsen mod EU,6,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Ole Nors Nielsen,Folkebevægelsen mod EU,3,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Christian Juhl,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Karina Rohr Sørensen,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jørgen Grøn,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Mette Langdal,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Brian Olsen,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Erik Bach,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Helge Rørtoft-Madsen,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Thorkil Sohn,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Hans-Henrik Larsen,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Jean Thierry,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Inger-Marie Tryde Martensen,Folkebevægelsen mod EU,1,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Malte Bang,Folkebevægelsen mod EU,0,Københavns Omegns Storkreds
Gentoftekredsen,1. Jægersborg,Mehmet Aksoy,Folkebevægelsen mod EU,2,Københavns Omegns Storkreds
