Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Socialdemokratiet,238,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Jeppe Kofod,Socialdemokratiet,449,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Ole Christensen,Socialdemokratiet,6,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Christel Schaldemose,Socialdemokratiet,86,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Lasse Quvang Rasmussen,Socialdemokratiet,13,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Britta Thomsen,Socialdemokratiet,34,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Kathrine Alexandrowiz,Socialdemokratiet,17,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Gunde Odgaard,Socialdemokratiet,78,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Rasmus Gjedssø Bertelsen,Socialdemokratiet,4,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Radikale Venstre,91,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Morten Helveg Petersen,Radikale Venstre,215,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Christian Kjølhede,Radikale Venstre,11,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Kristina Siig,Radikale Venstre,11,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Samira Nawa Amini,Radikale Venstre,7,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Karen Melchior,Radikale Venstre,21,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Thomas Elkjær,Radikale Venstre,12,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Sissel Kvist,Radikale Venstre,8,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Det Konservative Folkeparti,76,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Bendt Bendtsen,Det Konservative Folkeparti,288,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Josefine Kofoed,Det Konservative Folkeparti,24,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Tove Videbæk,Det Konservative Folkeparti,7,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Nichlas Vind,Det Konservative Folkeparti,4,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Christian Wedell-Neergaard,Det Konservative Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Morten Thiessen,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Julie Broe,Det Konservative Folkeparti,1,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Catja C. Gaebel,Det Konservative Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Anders Stoltenberg,Det Konservative Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Mette-Katrine Ejby Buch,Det Konservative Folkeparti,2,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,SF - Socialistisk Folkeparti,116,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Margrete Auken,SF - Socialistisk Folkeparti,520,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Tonni Hansen,SF - Socialistisk Folkeparti,9,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Anne-Mette Wehmüller,SF - Socialistisk Folkeparti,14,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Christine Sidenius,SF - Socialistisk Folkeparti,10,Nordsjællands Storkreds
