Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Socialdemokratiet,537,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jeppe Kofod,Socialdemokratiet,240,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Christel Schaldemose,Socialdemokratiet,245,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Niels Fuglsang,Socialdemokratiet,24,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Marianne Vind,Socialdemokratiet,34,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Morten Klessen,Socialdemokratiet,35,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jakob Thiemann,Socialdemokratiet,12,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mette Poulsen,Socialdemokratiet,20,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lasse Holm Grønning,Socialdemokratiet,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Baun Sørensen,Socialdemokratiet,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Radikale Venstre,437,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Morten Helveg Petersen,Radikale Venstre,210,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Karen Melchior,Radikale Venstre,29,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Philip Tarning-Andersen,Radikale Venstre,6,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Sissel van Run-Kvist,Radikale Venstre,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Alexander Bjørn Jensen,Radikale Venstre,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,David Munis Zepernick,Radikale Venstre,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mathias von Jessen,Radikale Venstre,34,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Eva Borchorst Mejnertz,Radikale Venstre,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Amalie Søgaard Nielsen,Radikale Venstre,49,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Camilla Kampmann,Radikale Venstre,8,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Frederik Aagaard,Radikale Venstre,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kristian Kirk Mailand,Radikale Venstre,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jannie Valentin Dexter Jakobsen,Radikale Venstre,1,Fyns Storkreds
