Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Østerbrokredsen,1. 1. Østerbro,Partiliste,Socialdemokratiet,501,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Jeppe Kofod,Socialdemokratiet,363,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Christel Schaldemose,Socialdemokratiet,146,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Niels Fuglsang,Socialdemokratiet,31,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Marianne Vind,Socialdemokratiet,33,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Morten Klessen,Socialdemokratiet,23,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Jakob Thiemann,Socialdemokratiet,21,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Mette Poulsen,Socialdemokratiet,18,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Lasse Holm Grønning,Socialdemokratiet,5,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Anders Baun Sørensen,Socialdemokratiet,2,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Partiliste,Radikale Venstre,774,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Morten Helveg Petersen,Radikale Venstre,475,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Karen Melchior,Radikale Venstre,185,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Philip Tarning-Andersen,Radikale Venstre,14,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Sissel van Run-Kvist,Radikale Venstre,7,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Alexander Bjørn Jensen,Radikale Venstre,3,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,David Munis Zepernick,Radikale Venstre,12,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Mathias von Jessen,Radikale Venstre,12,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Eva Borchorst Mejnertz,Radikale Venstre,10,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Amalie Søgaard Nielsen,Radikale Venstre,36,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Camilla Kampmann,Radikale Venstre,17,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Frederik Aagaard,Radikale Venstre,8,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Kristian Kirk Mailand,Radikale Venstre,0,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Jannie Valentin Dexter Jakobsen,Radikale Venstre,0,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Poul Elmegård,Radikale Venstre,0,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Ole Lynggaard Jørgensen,Radikale Venstre,0,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Kim Pagels,Radikale Venstre,18,Københavns Storkreds
Østerbrokredsen,1. 1. Østerbro,Peter Miltersen Sørensen,Radikale Venstre,1,Københavns Storkreds
