Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Partiliste,Socialdemokratiet,642,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Jeppe Kofod,Socialdemokratiet,372,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Christel Schaldemose,Socialdemokratiet,133,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Niels Fuglsang,Socialdemokratiet,361,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Marianne Vind,Socialdemokratiet,40,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Morten Klessen,Socialdemokratiet,51,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Jakob Thiemann,Socialdemokratiet,14,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Mette Poulsen,Socialdemokratiet,23,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Lasse Holm Grønning,Socialdemokratiet,5,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Anders Baun Sørensen,Socialdemokratiet,3,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Partiliste,Radikale Venstre,796,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Morten Helveg Petersen,Radikale Venstre,554,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Karen Melchior,Radikale Venstre,150,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Philip Tarning-Andersen,Radikale Venstre,14,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Sissel van Run-Kvist,Radikale Venstre,8,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Alexander Bjørn Jensen,Radikale Venstre,3,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,David Munis Zepernick,Radikale Venstre,17,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Mathias von Jessen,Radikale Venstre,19,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Eva Borchorst Mejnertz,Radikale Venstre,31,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Amalie Søgaard Nielsen,Radikale Venstre,47,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Camilla Kampmann,Radikale Venstre,18,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Frederik Aagaard,Radikale Venstre,18,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Kristian Kirk Mailand,Radikale Venstre,2,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Jannie Valentin Dexter Jakobsen,Radikale Venstre,0,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Poul Elmegård,Radikale Venstre,1,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Ole Lynggaard Jørgensen,Radikale Venstre,2,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Kim Pagels,Radikale Venstre,33,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Peter Miltersen Sørensen,Radikale Venstre,4,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Maria Mejse Mortensen,Radikale Venstre,7,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Nadeem Farooq,Radikale Venstre,3,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Anton Ebsen,Radikale Venstre,1,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Partiliste,Det Konservative Folkeparti,294,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Pernille Weiss,Det Konservative Folkeparti,238,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Ali Aminali,Det Konservative Folkeparti,37,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Jens Kindberg,Det Konservative Folkeparti,12,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Kuzma Pavlov Jensen,Det Konservative Folkeparti,15,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Charlotte Libach,Det Konservative Folkeparti,8,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Lasse Bork Schmidt,Det Konservative Folkeparti,1,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Louisa Schønnemann Bøttkjær,Det Konservative Folkeparti,2,Østjyllands Storkreds
Aarhus Sydkredsen,1. Frederiksbjerg Hallerne,Anders Guldhammer,Det Konservative Folkeparti,3,Østjyllands Storkreds
