Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Struerkredsen;1. Lemvig;Ja;1928;68,6
Struerkredsen;1. Lemvig;Nej;882;31,4
Struerkredsen;1. Struer;Ja;2065;64,4
Struerkredsen;1. Struer;Nej;1142;35,6
Struerkredsen;2. Gimsing;Ja;609;64,9
Struerkredsen;2. Gimsing;Nej;330;35,1
Struerkredsen;2. Nørre Nissum;Ja;795;68,5
Struerkredsen;2. Nørre Nissum;Nej;366;31,5
Struerkredsen;3. Hjerm;Ja;536;67,6
Struerkredsen;3. Hjerm;Nej;257;32,4
Struerkredsen;3. Klinkby;Ja;630;69,7
Struerkredsen;3. Klinkby;Nej;274;30,3
Struerkredsen;4. Humlum;Ja;502;65,1
Struerkredsen;4. Humlum;Nej;269;34,9
Struerkredsen;4. Ramme;Ja;533;66,6
Struerkredsen;4. Ramme;Nej;267;33,4
Struerkredsen;5. Bremdal;Ja;652;70,7
Struerkredsen;5. Bremdal;Nej;270;29,3
Struerkredsen;5. Bøvling;Ja;370;65,0
Struerkredsen;5. Bøvling;Nej;199;35,0
Struerkredsen;6. Flynder;Ja;356;64,7
Struerkredsen;6. Flynder;Nej;194;35,3
Struerkredsen;6. Langhøj;Ja;624;63,9
Struerkredsen;6. Langhøj;Nej;353;36,1
Struerkredsen;7. Hvidbjerg;Ja;895;68,3
Struerkredsen;7. Hvidbjerg;Nej;416;31,7
Struerkredsen;7. Thyborøn;Ja;435;62,9
Struerkredsen;7. Thyborøn;Nej;257;37,1
Struerkredsen;8. Harboøre;Ja;505;69,9
Struerkredsen;8. Harboøre;Nej;217;30,1
Skivekredsen;1. Aakjær;Ja;1624;59,7
Skivekredsen;1. Aakjær;Nej;1098;40,3
Skivekredsen;2. Skivehus;Ja;1785;67,8
Skivekredsen;2. Skivehus;Nej;846;32,2
Skivekredsen;3. Brårup;Ja;1554;59,6
Skivekredsen;3. Brårup;Nej;1052;40,4
Skivekredsen;4. Højslev;Ja;972;64,5
Skivekredsen;4. Højslev;Nej;534;35,5
Skivekredsen;5. Ørslevkloster;Ja;371;64,2
Skivekredsen;5. Ørslevkloster;Nej;207;35,8
Skivekredsen;6. Rønbjerg;Ja;213;57,9
