Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Helsingørkredsen;1. Helsingør Hallen;Ja;2741;43,3
Helsingørkredsen;1. Helsingør Hallen;Nej;3591;56,7
Helsingørkredsen;2. Montebello, Gurrevej 90;Ja;1738;37,0
Helsingørkredsen;2. Montebello, Gurrevej 90;Nej;2961;63,0
Helsingørkredsen;3. Laden, Gl. Vapnagård;Ja;1414;39,9
Helsingørkredsen;3. Laden, Gl. Vapnagård;Nej;2128;60,1
Helsingørkredsen;4. Bølgen;Ja;1788;54,5
Helsingørkredsen;4. Bølgen;Nej;1493;45,5
Helsingørkredsen;5. Hornbæk Skole;Ja;1523;52,4
Helsingørkredsen;5. Hornbæk Skole;Nej;1384;47,6
Helsingørkredsen;6. Nygård Skole, Helsingør;Ja;318;39,8
Helsingørkredsen;6. Nygård Skole, Helsingør;Nej;482;60,3
Helsingørkredsen;7. Tikøb Skole;Ja;456;48,8
Helsingørkredsen;7. Tikøb Skole;Nej;479;51,2
Helsingørkredsen;8. Kvistgård Idrætsanlæg;Ja;240;38,3
Helsingørkredsen;8. Kvistgård Idrætsanlæg;Nej;387;61,7
Helsingørkredsen;9. Snekkersten Hallen;Ja;1541;55,4
Helsingørkredsen;9. Snekkersten Hallen;Nej;1242;44,6
Helsingørkredsen;10. Administrationsbygningen, Esp;Ja;1612;62,3
Helsingørkredsen;10. Administrationsbygningen, Esp;Nej;975;37,7
Helsingørkredsen;11. Mørdrupskolen, Espergærde;Ja;2067;55,0
Helsingørkredsen;11. Mørdrupskolen, Espergærde;Nej;1692;45,0
Fredensborgkredsen;1. Asminderød;Ja;1745;52,2
Fredensborgkredsen;1. Asminderød;Nej;1600;47,8
Fredensborgkredsen;1. Hørsholm;Ja;2343;64,5
Fredensborgkredsen;1. Hørsholm;Nej;1288;35,5
Fredensborgkredsen;2. Fredensborg;Ja;1660;63,0
Fredensborgkredsen;2. Fredensborg;Nej;976;37,0
Fredensborgkredsen;2. Usserød;Ja;2365;63,9
Fredensborgkredsen;2. Usserød;Nej;1334;36,1
Fredensborgkredsen;3. Humlebæk;Ja;1511;58,9
Fredensborgkredsen;3. Humlebæk;Nej;1055;41,1
Fredensborgkredsen;3. Rungsted;Ja;2006;75,9
Fredensborgkredsen;3. Rungsted;Nej;637;24,1
Fredensborgkredsen;4. Baunebjerg;Ja;1440;52,7
Fredensborgkredsen;4. Baunebjerg;Nej;1291;47,3
Fredensborgkredsen;4. Grønnegade;Ja;147;56,8
Fredensborgkredsen;4. Grønnegade;Nej;112;43,2
Fredensborgkredsen;5. Kokkedal;Ja;2634;54,8
Fredensborgkredsen;5. Kokkedal;Nej;2174;45,2
Fredensborgkredsen;5. Vallerød;Ja;2381;65,2
Fredensborgkredsen;5. Vallerød;Nej;1270;34,8
Fredensborgkredsen;7. Niverød;Ja;1156;53,4
Fredensborgkredsen;7. Niverød;Nej;1009;46,6
Fredensborgkredsen;8. Karlebo;Ja;375;53,5
Fredensborgkredsen;8. Karlebo;Nej;326;46,5
Fredensborgkredsen;9. Nivå;Ja;1142;57,9
Fredensborgkredsen;9. Nivå;Nej;829;42,1
Hillerødkredsen;1. Blistrup;Ja;1051;39,3
Hillerødkredsen;1. Blistrup;Nej;1622;60,7
Hillerødkredsen;1. Frederiksborgcentret;Ja;2408;53,0
Hillerødkredsen;1. Frederiksborgcentret;Nej;2133;47,0
Hillerødkredsen;2. Esbønderup;Ja;757;43,5
Hillerødkredsen;2. Esbønderup;Nej;985;56,5
Hillerødkredsen;2. Hillerødsholmsskolen;Ja;1893;55,8
Hillerødkredsen;2. Hillerødsholmsskolen;Nej;1502;44,2
Hillerødkredsen;3. Brødeskov;Ja;323;60,6
Hillerødkredsen;3. Brødeskov;Nej;210;39,4
Hillerødkredsen;3. Valby;Ja;151;46,9
Hillerødkredsen;3. Valby;Nej;171;53,1
Hillerødkredsen;4. Græsted;Ja;1052;38,9
Hillerødkredsen;4. Græsted;Nej;1649;61,1
Hillerødkredsen;4. Hammersholt;Ja;604;62,4
Hillerødkredsen;4. Hammersholt;Nej;364;37,6
Hillerødkredsen;5. Alsønderup;Ja;664;49,1
Hillerødkredsen;5. Alsønderup;Nej;689;50,9
Hillerødkredsen;5. Annisse;Ja;698;52,5
Hillerødkredsen;5. Annisse;Nej;631;47,5
Hillerødkredsen;6. Gilleleje;Ja;1820;47,8
Hillerødkredsen;6. Gilleleje;Nej;1985;52,2
Hillerødkredsen;6. Ullerød;Ja;1571;54,4
Hillerødkredsen;6. Ullerød;Nej;1318;45,6
Hillerødkredsen;7. Nødebo;Ja;722;62,9
Hillerødkredsen;7. Nødebo;Nej;425;37,1
Hillerødkredsen;7. Søborg;Ja;392;43,0
Hillerødkredsen;7. Søborg;Nej;519;57,0
Hillerødkredsen;8. Gadevang;Ja;472;69,2
Hillerødkredsen;8. Gadevang;Nej;210;30,8
Hillerødkredsen;8. Helsinge;Ja;1942;46,7
Hillerødkredsen;8. Helsinge;Nej;2216;53,3
Hillerødkredsen;9. Grønnevang Skole, Jespervej;Ja;1369;56,1
Hillerødkredsen;9. Grønnevang Skole, Jespervej;Nej;1070;43,9
Hillerødkredsen;9. Mårum;Ja;315;48,8
Hillerødkredsen;9. Mårum;Nej;330;51,2
Hillerødkredsen;10. Grønnevang Skole, Østervang;Ja;1797;51,5
Hillerødkredsen;10. Grønnevang Skole, Østervang;Nej;1691;48,5
Hillerødkredsen;10. Ramløse;Ja;870;49,3
Hillerødkredsen;10. Ramløse;Nej;896;50,7
Hillerødkredsen;11. Lille Lyngby;Ja;463;39,8
Hillerødkredsen;11. Lille Lyngby;Nej;700;60,2
Hillerødkredsen;11. Vejby;Ja;723;41,6
Hillerødkredsen;11. Vejby;Nej;1017;58,4
Hillerødkredsen;12. Skævinge, Harløse, Strø;Ja;914;44,7
Hillerødkredsen;12. Skævinge, Harløse, Strø;Nej;1129;55,3
Hillerødkredsen;12. Tibirke;Ja;623;52,4
Hillerødkredsen;12. Tibirke;Nej;567;47,6
Hillerødkredsen;13. Gørløse;Ja;301;41,3
Hillerødkredsen;13. Gørløse;Nej;428;58,7
Hillerødkredsen;14. Uvelse;Ja;361;45,9
Hillerødkredsen;14. Uvelse;Nej;426;54,1
Frederikssundkredsen;1. Frederikssund Syd;Ja;3042;49,3
Frederikssundkredsen;1. Frederikssund Syd;Nej;3132;50,7
Frederikssundkredsen;1. Hundested Hallen;Ja;2182;39,7
Frederikssundkredsen;1. Hundested Hallen;Nej;3311;60,3
Frederikssundkredsen;2. Enghave Hallen;Ja;839;39,0
Frederikssundkredsen;2. Enghave Hallen;Nej;1314;61,0
Frederikssundkredsen;2. Frederikssund Nord;Ja;2009;45,2
Frederikssundkredsen;2. Frederikssund Nord;Nej;2436;54,8
Frederikssundkredsen;3. Rådhuset;Ja;1841;38,7
Frederikssundkredsen;3. Rådhuset;Nej;2920;61,3
Frederikssundkredsen;3. Slangerup;Ja;2109;47,8
Frederikssundkredsen;3. Slangerup;Nej;2299;52,2
Frederikssundkredsen;4. Skibby;Ja;1894;40,0
Frederikssundkredsen;4. Skibby;Nej;2842;60,0
Frederikssundkredsen;4. Ølsted Hallen;Ja;674;38,0
Frederikssundkredsen;4. Ølsted Hallen;Nej;1098;62,0
Frederikssundkredsen;5. Jægerspris;Ja;1831;40,9
Frederikssundkredsen;5. Jægerspris;Nej;2646;59,1
Frederikssundkredsen;5. Melby Hallen;Ja;982;41,1
Frederikssundkredsen;5. Melby Hallen;Nej;1406;58,9
Egedalkredsen;1. Ledøje Forsamlingshus;Ja;365;56,0
Egedalkredsen;1. Ledøje Forsamlingshus;Nej;287;44,0
Egedalkredsen;1. Værløse;Ja;3306;59,4
Egedalkredsen;1. Værløse;Nej;2262;40,6
Egedalkredsen;2. Hareskov;Ja;1489;69,5
Egedalkredsen;2. Hareskov;Nej;653;30,5
Egedalkredsen;2. Ledøje-Smørum Idrætscenter;Ja;2846;51,2
Egedalkredsen;2. Ledøje-Smørum Idrætscenter;Nej;2717;48,8
Egedalkredsen;3. Stenløse;Ja;1763;50,2
Egedalkredsen;3. Stenløse;Nej;1751;49,8
Egedalkredsen;3. Søndersø;Ja;1963;67,5
Egedalkredsen;3. Søndersø;Nej;944;32,5
Egedalkredsen;4. Jonstrup;Ja;466;64,7
Egedalkredsen;4. Jonstrup;Nej;254;35,3
Egedalkredsen;4. Veksø;Ja;557;48,0
Egedalkredsen;4. Veksø;Nej;604;52,0
Egedalkredsen;5. Ganløse;Ja;1165;56,3
Egedalkredsen;5. Ganløse;Nej;905;43,7
Egedalkredsen;5. Stavnsholt;Ja;2182;65,3
Egedalkredsen;5. Stavnsholt;Nej;1159;34,7
Egedalkredsen;6. Slagslunde;Ja;458;45,9
Egedalkredsen;6. Slagslunde;Nej;540;54,1
Egedalkredsen;6. Solvang;Ja;2675;62,1
Egedalkredsen;6. Solvang;Nej;1636;37,9
Egedalkredsen;7. Paltholm;Ja;1061;42,9
Egedalkredsen;7. Paltholm;Nej;1411;57,1
Egedalkredsen;7. Toftehøjskolen;Ja;1740;46,7
Egedalkredsen;7. Toftehøjskolen;Nej;1984;53,3
Egedalkredsen;8. Stengårdsskolen;Ja;1527;44,8
Egedalkredsen;8. Stengårdsskolen;Nej;1885;55,2
Egedalkredsen;9. Bækkegårdsskolen;Ja;1193;50,7
Egedalkredsen;9. Bækkegårdsskolen;Nej;1158;49,3
Rudersdalkredsen;1. Birkerød;Ja;2417;64,4
