Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Lollandkredsen;1. Errindlev;Ja;185;38,3
Lollandkredsen;1. Errindlev;Nej;298;61,7
Lollandkredsen;3. Holeby;Ja;504;35,1
Lollandkredsen;3. Holeby;Nej;931;64,9
Lollandkredsen;8. Sandby;Ja;176;31,3
Lollandkredsen;8. Sandby;Nej;386;68,7
Lollandkredsen;11. Søllested;Ja;412;34,0
Lollandkredsen;11. Søllested;Nej;800;66,0
Lollandkredsen;13. Maribo;Ja;1619;44,1
Lollandkredsen;13. Maribo;Nej;2052;55,9
Lollandkredsen;14. Askø;Ja;13;32,5
Lollandkredsen;14. Askø;Nej;27;67,5
Lollandkredsen;19. Østofte;Ja;640;34,0
Lollandkredsen;19. Østofte;Nej;1243;66,0
Lollandkredsen;20. Nakskov Idrætscenter;Ja;1455;33,0
Lollandkredsen;20. Nakskov Idrætscenter;Nej;2960;67,0
Lollandkredsen;21. Nakskov Stormarkskolen;Ja;1018;35,1
Lollandkredsen;21. Nakskov Stormarkskolen;Nej;1882;64,9
Lollandkredsen;26. Birket;Ja;108;36,1
Lollandkredsen;26. Birket;Nej;191;63,9
Lollandkredsen;27. Fejø;Ja;112;39,4
Lollandkredsen;27. Fejø;Nej;172;60,6
Lollandkredsen;28. Femø;Ja;58;59,2
Lollandkredsen;28. Femø;Nej;40;40,8
Lollandkredsen;29. Horslunde;Ja;398;32,9
Lollandkredsen;29. Horslunde;Nej;813;67,1
Lollandkredsen;35. Dannemare;Ja;595;38,4
Lollandkredsen;35. Dannemare;Nej;953;61,6
Lollandkredsen;36. Rødby;Ja;766;38,2
Lollandkredsen;36. Rødby;Nej;1241;61,8
Lollandkredsen;37. Rødbyhavn;Ja;230;28,1
Lollandkredsen;37. Rødbyhavn;Nej;588;71,9
Guldborgsundkredsen;1. Byen;Ja;933;41,5
Guldborgsundkredsen;1. Byen;Nej;1317;58,5
Guldborgsundkredsen;2. Østerbro;Ja;856;38,8
Guldborgsundkredsen;2. Østerbro;Nej;1352;61,2
Guldborgsundkredsen;3. Lindeskov;Ja;857;44,4
Guldborgsundkredsen;3. Lindeskov;Nej;1073;55,6
Guldborgsundkredsen;4. Ejegod;Ja;1048;44,7
Guldborgsundkredsen;4. Ejegod;Nej;1295;55,3
Guldborgsundkredsen;5. Kraghave;Ja;714;45,4
Guldborgsundkredsen;5. Kraghave;Nej;858;54,6
Guldborgsundkredsen;6. Toreby;Ja;378;34,7
Guldborgsundkredsen;6. Toreby;Nej;712;65,3
Guldborgsundkredsen;7. Sundby;Ja;969;48,0
Guldborgsundkredsen;7. Sundby;Nej;1050;52,0
Guldborgsundkredsen;8. Nysted;Ja;681;39,0
Guldborgsundkredsen;8. Nysted;Nej;1066;61,0
Guldborgsundkredsen;9. Øster Ulslev;Ja;347;34,3
Guldborgsundkredsen;9. Øster Ulslev;Nej;666;65,7
Guldborgsundkredsen;10. Nørre Alslev;Ja;706;39,7
Guldborgsundkredsen;10. Nørre Alslev;Nej;1074;60,3
Guldborgsundkredsen;11. Nørre Vedby;Ja;459;34,6
Guldborgsundkredsen;11. Nørre Vedby;Nej;869;65,4
Guldborgsundkredsen;12. Eskilstrup;Ja;562;37,2
Guldborgsundkredsen;12. Eskilstrup;Nej;948;62,8
Guldborgsundkredsen;13. Sakskøbing;Ja;1230;39,7
Guldborgsundkredsen;13. Sakskøbing;Nej;1868;60,3
Guldborgsundkredsen;14. Majbølle;Ja;359;36,8
Guldborgsundkredsen;14. Majbølle;Nej;616;63,2
Guldborgsundkredsen;15. Våbensted;Ja;239;36,4
Guldborgsundkredsen;15. Våbensted;Nej;418;63,6
Guldborgsundkredsen;16. Stubbekøbing;Ja;854;38,5
Guldborgsundkredsen;16. Stubbekøbing;Nej;1364;61,5
Guldborgsundkredsen;17. Horreby;Ja;683;37,7
Guldborgsundkredsen;17. Horreby;Nej;1127;62,3
Guldborgsundkredsen;18. Idestrup;Ja;503;42,8
Guldborgsundkredsen;18. Idestrup;Nej;673;57,2
Guldborgsundkredsen;19. Væggerløse;Ja;1020;47,2
Guldborgsundkredsen;19. Væggerløse;Nej;1139;52,8
Guldborgsundkredsen;20. Gedser;Ja;248;29,0
Guldborgsundkredsen;20. Gedser;Nej;608;71,0
Vordingborgkredsen;1. Vordingborg;Ja;1234;41,3
Vordingborgkredsen;1. Vordingborg;Nej;1756;58,7
Vordingborgkredsen;2. Masnedsund;Ja;964;41,4
Vordingborgkredsen;2. Masnedsund;Nej;1364;58,6
Vordingborgkredsen;3. Nyråd;Ja;885;51,9
Vordingborgkredsen;3. Nyråd;Nej;821;48,1
Vordingborgkredsen;4. Kastrup;Ja;552;37,6
Vordingborgkredsen;4. Kastrup;Nej;915;62,4
Vordingborgkredsen;5. Bårse;Ja;290;42,2
Vordingborgkredsen;5. Bårse;Nej;398;57,8
Vordingborgkredsen;6. Lundby;Ja;812;38,9
Vordingborgkredsen;6. Lundby;Nej;1278;61,1
Vordingborgkredsen;7. Ørslev;Ja;462;38,4
Vordingborgkredsen;7. Ørslev;Nej;742;61,6
Vordingborgkredsen;8. Stege;Ja;1440;44,5
Vordingborgkredsen;8. Stege;Nej;1796;55,5
Vordingborgkredsen;9. Østmøn;Ja;408;41,5
Vordingborgkredsen;9. Østmøn;Nej;576;58,5
Vordingborgkredsen;10. Vestmøn;Ja;526;38,1
Vordingborgkredsen;10. Vestmøn;Nej;853;61,9
Vordingborgkredsen;11. Bogø;Ja;321;45,1
Vordingborgkredsen;11. Bogø;Nej;391;54,9
Vordingborgkredsen;12. Præstø;Ja;1059;43,5
Vordingborgkredsen;12. Præstø;Nej;1378;56,5
Vordingborgkredsen;13. Allerslev;Ja;288;40,9
Vordingborgkredsen;13. Allerslev;Nej;417;59,1
Vordingborgkredsen;14. Jungshoved;Ja;190;39,2
Vordingborgkredsen;14. Jungshoved;Nej;295;60,8
Vordingborgkredsen;15. Mern;Ja;395;35,6
Vordingborgkredsen;15. Mern;Nej;713;64,4
Vordingborgkredsen;16. Kalvehave;Ja;507;39,1
Vordingborgkredsen;16. Kalvehave;Nej;789;60,9
Vordingborgkredsen;17. Stensved;Ja;446;39,1
Vordingborgkredsen;17. Stensved;Nej;695;60,9
Næstvedkredsen;1. Fuglebjerg Hallen;Ja;896;37,6
Næstvedkredsen;1. Fuglebjerg Hallen;Nej;1486;62,4
Næstvedkredsen;2. Everdrup;Ja;233;38,0
Næstvedkredsen;2. Everdrup;Nej;380;62,0
