Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Frederikshavnkredsen;1. Skagen;Ja;2177;60,1
Frederikshavnkredsen;1. Skagen;Nej;1447;39,9
Frederikshavnkredsen;2. Hulsig;Ja;42;53,8
Frederikshavnkredsen;2. Hulsig;Nej;36;46,2
Frederikshavnkredsen;3. Ålbæk;Ja;537;55,9
Frederikshavnkredsen;3. Ålbæk;Nej;423;44,1
Frederikshavnkredsen;4. Jerup;Ja;257;52,4
Frederikshavnkredsen;4. Jerup;Nej;233;47,6
Frederikshavnkredsen;5. Elling;Ja;477;56,1
Frederikshavnkredsen;5. Elling;Nej;373;43,9
Frederikshavnkredsen;6. Strandby;Ja;730;58,4
Frederikshavnkredsen;6. Strandby;Nej;521;41,6
Frederikshavnkredsen;7. Frederikshavn Nord;Ja;1695;56,1
Frederikshavnkredsen;7. Frederikshavn Nord;Nej;1327;43,9
Frederikshavnkredsen;8. Frederikshavn Midt;Ja;2333;55,4
Frederikshavnkredsen;8. Frederikshavn Midt;Nej;1878;44,6
Frederikshavnkredsen;9. Frederikshavn Syd;Ja;1979;59,4
Frederikshavnkredsen;9. Frederikshavn Syd;Nej;1354;40,6
Frederikshavnkredsen;10. Ravnshøj;Ja;484;53,9
Frederikshavnkredsen;10. Ravnshøj;Nej;414;46,1
Frederikshavnkredsen;11. Gærum;Ja;639;60,7
Frederikshavnkredsen;11. Gærum;Nej;414;39,3
Frederikshavnkredsen;12. Sæby;Ja;3170;68,0
Frederikshavnkredsen;12. Sæby;Nej;1491;32,0
Frederikshavnkredsen;13. Brønden;Ja;123;53,9
Frederikshavnkredsen;13. Brønden;Nej;105;46,1
Frederikshavnkredsen;14. Dybvad;Ja;250;53,6
Frederikshavnkredsen;14. Dybvad;Nej;216;46,4
Frederikshavnkredsen;15. Hørby;Ja;210;50,7
Frederikshavnkredsen;15. Hørby;Nej;204;49,3
Frederikshavnkredsen;15. Læsø;Ja;507;50,5
