Opstillingskreds;Afstemningsområde;Svarmulighed;Stemmetal;Stemmeprocent
Sønderborgkredsen;1. Nordborg;Ja;1536;58,7
Sønderborgkredsen;1. Nordborg;Nej;1079;41,3
Sønderborgkredsen;2. Havnbjerg;Ja;709;56,1
Sønderborgkredsen;2. Havnbjerg;Nej;555;43,9
Sønderborgkredsen;3. Egen;Ja;1018;58,8
Sønderborgkredsen;3. Egen;Nej;712;41,2
Sønderborgkredsen;4. Fynshav;Ja;696;59,6
Sønderborgkredsen;4. Fynshav;Nej;471;40,4
Sønderborgkredsen;5. Augustenborg;Ja;1174;61,0
Sønderborgkredsen;5. Augustenborg;Nej;751;39,0
Sønderborgkredsen;6. Hørup;Ja;1196;69,5
Sønderborgkredsen;6. Hørup;Nej;525;30,5
Sønderborgkredsen;7. Sydals;Ja;708;57,1
Sønderborgkredsen;7. Sydals;Nej;531;42,9
Sønderborgkredsen;8. Kegnæs;Ja;187;65,8
Sønderborgkredsen;8. Kegnæs;Nej;97;34,2
Sønderborgkredsen;9. Humlehøj, Sønderborg;Ja;2481;64,2
Sønderborgkredsen;9. Humlehøj, Sønderborg;Nej;1382;35,8
Sønderborgkredsen;10. Sønderskov, Sønderborg;Ja;2220;64,8
Sønderborgkredsen;10. Sønderskov, Sønderborg;Nej;1206;35,2
Sønderborgkredsen;11. Kongevej, Sønderborg;Ja;2510;71,4
Sønderborgkredsen;11. Kongevej, Sønderborg;Nej;1003;28,6
Sønderborgkredsen;12. Dybbøl;Ja;2286;70,6
Sønderborgkredsen;12. Dybbøl;Nej;950;29,4
Sønderborgkredsen;13. Vester Sottrup;Ja;983;59,9
Sønderborgkredsen;13. Vester Sottrup;Nej;657;40,1
Sønderborgkredsen;14. Ullerup;Ja;521;56,8
Sønderborgkredsen;14. Ullerup;Nej;397;43,2
Sønderborgkredsen;15. Broager;Ja;1419;61,5
Sønderborgkredsen;15. Broager;Nej;889;38,5
Sønderborgkredsen;16. Gråsten;Ja;2488;63,5
Sønderborgkredsen;16. Gråsten;Nej;1429;36,5
Sønderborgkredsen;17. Kværs;Ja;220;50,1
Sønderborgkredsen;17. Kværs;Nej;219;49,9
Aabenraakredsen;1. Hovslund;Ja;195;51,6
Aabenraakredsen;1. Hovslund;Nej;183;48,4
Aabenraakredsen;2. Hellevad;Ja;260;64,0
Aabenraakredsen;2. Hellevad;Nej;146;36,0
Aabenraakredsen;3. Rødekro;Ja;1974;60,1
Aabenraakredsen;3. Rødekro;Nej;1309;39,9
Aabenraakredsen;4. Løjt;Ja;1490;65,6
Aabenraakredsen;4. Løjt;Nej;783;34,4
Aabenraakredsen;5. Hjordkær;Ja;534;54,8
Aabenraakredsen;5. Hjordkær;Nej;441;45,2
Aabenraakredsen;6. Ravsted;Ja;203;52,7
Aabenraakredsen;6. Ravsted;Nej;182;47,3
Aabenraakredsen;7. Bolderslev;Ja;524;56,6
Aabenraakredsen;7. Bolderslev;Nej;401;43,4
Aabenraakredsen;8. Ensted;Ja;780;66,1
Aabenraakredsen;8. Ensted;Nej;400;33,9
Aabenraakredsen;9. Felsted;Ja;655;62,5
Aabenraakredsen;9. Felsted;Nej;393;37,5
Aabenraakredsen;10. Varnæs;Ja;346;59,7
Aabenraakredsen;10. Varnæs;Nej;234;40,3
Aabenraakredsen;11. Bylderup;Ja;541;51,4
Aabenraakredsen;11. Bylderup;Nej;511;48,6
Aabenraakredsen;12. Tinglev;Ja;832;57,8
Aabenraakredsen;12. Tinglev;Nej;608;42,2
Aabenraakredsen;13. Kliplev;Ja;596;56,4
Aabenraakredsen;13. Kliplev;Nej;461;43,6
Aabenraakredsen;14. Kruså;Ja;1072;59,8
Aabenraakredsen;14. Kruså;Nej;722;40,2
Aabenraakredsen;15. Padborg;Ja;1200;57,3
Aabenraakredsen;15. Padborg;Nej;894;42,7
Aabenraakredsen;16. Aabenraa Midt;Ja;3073;65,6
Aabenraakredsen;16. Aabenraa Midt;Nej;1608;34,4
Aabenraakredsen;17. Aabenraa Syd;Ja;1285;66,7
Aabenraakredsen;17. Aabenraa Syd;Nej;642;33,3
Aabenraakredsen;18. Aabenraa Nord;Ja;898;64,6
Aabenraakredsen;18. Aabenraa Nord;Nej;492;35,4
Tønderkredsen;1. Bredebro;Ja;513;62,9
Tønderkredsen;1. Bredebro;Nej;302;37,1
Tønderkredsen;2. Ballum;Ja;185;59,5
Tønderkredsen;2. Ballum;Nej;126;40,5
Tønderkredsen;3. Visby;Ja;148;61,4
Tønderkredsen;3. Visby;Nej;93;38,6
Tønderkredsen;4. Højer;Ja;445;60,2
Tønderkredsen;4. Højer;Nej;294;39,8
Tønderkredsen;7. Sdr. Sejerslev;Ja;160;58,0
Tønderkredsen;7. Sdr. Sejerslev;Nej;116;42,0
Tønderkredsen;8. Møgeltønder;Ja;364;66,3
Tønderkredsen;8. Møgeltønder;Nej;185;33,7
Tønderkredsen;12. Løgumkloster;Ja;936;62,0
Tønderkredsen;12. Løgumkloster;Nej;573;38,0
Tønderkredsen;14. Nr. Løgum;Ja;324;58,4
Tønderkredsen;14. Nr. Løgum;Nej;231;41,6
Tønderkredsen;15. Bedsted;Ja;185;51,8
Tønderkredsen;15. Bedsted;Nej;172;48,2
Tønderkredsen;16. Øster Højst;Ja;225;55,8
Tønderkredsen;16. Øster Højst;Nej;178;44,2
Tønderkredsen;17. Agerskov;Ja;564;58,1
Tønderkredsen;17. Agerskov;Nej;406;41,9
Tønderkredsen;18. Arrild;Ja;214;58,0
Tønderkredsen;18. Arrild;Nej;155;42,0
Tønderkredsen;19. Branderup;Ja;154;60,2
Tønderkredsen;19. Branderup;Nej;102;39,8
Tønderkredsen;21. Døstrup;Ja;131;46,6
