kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Socialdemokratiet,A,981
Odense Østkredsen,1. Østre Kulturcenter,Jesper Kinch-Jensen,Socialdemokratiet,A,142
Odense Østkredsen,1. Østre Kulturcenter,Poul Andersen,Socialdemokratiet,A,16
Odense Østkredsen,1. Østre Kulturcenter,Lotte Bundsgaard,Socialdemokratiet,A,478
Odense Østkredsen,1. Østre Kulturcenter,Helle Eckeroth,Socialdemokratiet,A,51
Odense Østkredsen,1. Østre Kulturcenter,Carsten Hansen,Socialdemokratiet,A,111
Odense Østkredsen,1. Østre Kulturcenter,Niclas Turan Kandemir,Socialdemokratiet,A,16
Odense Østkredsen,1. Østre Kulturcenter,Niels Chr. Nielsen,Socialdemokratiet,A,4
Odense Østkredsen,1. Østre Kulturcenter,Irene Pedersen,Socialdemokratiet,A,3
Odense Østkredsen,1. Østre Kulturcenter,Niels Sindal,Socialdemokratiet,A,32
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Det Radikale Venstre,B,689
Odense Østkredsen,1. Østre Kulturcenter,Pia Petersen,Det Radikale Venstre,B,60
Odense Østkredsen,1. Østre Kulturcenter,Jon Gaarsmand,Det Radikale Venstre,B,6
Odense Østkredsen,1. Østre Kulturcenter,Solveig Gaarsmand,Det Radikale Venstre,B,15
Odense Østkredsen,1. Østre Kulturcenter,Morten Kirk Jensen,Det Radikale Venstre,B,13
Odense Østkredsen,1. Østre Kulturcenter,Lars Kaspersen,Det Radikale Venstre,B,12
Odense Østkredsen,1. Østre Kulturcenter,Karen Krebs,Det Radikale Venstre,B,7
Odense Østkredsen,1. Østre Kulturcenter,Niels Helveg Petersen,Det Radikale Venstre,B,163
Odense Østkredsen,1. Østre Kulturcenter,Aage Thomsen,Det Radikale Venstre,B,14
Odense Østkredsen,1. Østre Kulturcenter,Anne-Line Ussing,Det Radikale Venstre,B,0
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Det Konservative Folkeparti,C,233
Odense Østkredsen,1. Østre Kulturcenter,Casper Andersen,Det Konservative Folkeparti,C,16
Odense Østkredsen,1. Østre Kulturcenter,Bendt Bendtsen,Det Konservative Folkeparti,C,533
Odense Østkredsen,1. Østre Kulturcenter,Carina Christensen,Det Konservative Folkeparti,C,62
Odense Østkredsen,1. Østre Kulturcenter,Vivi Kier,Det Konservative Folkeparti,C,31
Odense Østkredsen,1. Østre Kulturcenter,Lasse Krull,Det Konservative Folkeparti,C,18
Odense Østkredsen,1. Østre Kulturcenter,Jørgen S. Lundsgaard,Det Konservative Folkeparti,C,4
Odense Østkredsen,1. Østre Kulturcenter,Jan Møller,Det Konservative Folkeparti,C,3
Odense Østkredsen,1. Østre Kulturcenter,Ole Møller,Det Konservative Folkeparti,C,4
Odense Østkredsen,1. Østre Kulturcenter,Henrik Skov,Det Konservative Folkeparti,C,0
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Centrum-Demokraterne,D,91
Odense Østkredsen,1. Østre Kulturcenter,Linda K. Clausen,Centrum-Demokraterne,D,6
Odense Østkredsen,1. Østre Kulturcenter,Gert Broxgaard,Centrum-Demokraterne,D,1
Odense Østkredsen,1. Østre Kulturcenter,Elisabeth Christensen,Centrum-Demokraterne,D,1
Odense Østkredsen,1. Østre Kulturcenter,Jan Gangborg,Centrum-Demokraterne,D,1
Odense Østkredsen,1. Østre Kulturcenter,Jonathan Kvist Hansen,Centrum-Demokraterne,D,0
Odense Østkredsen,1. Østre Kulturcenter,Søren Haugaard,Centrum-Demokraterne,D,1
Odense Østkredsen,1. Østre Kulturcenter,Ebbe Kalnæs,Centrum-Demokraterne,D,3
Odense Østkredsen,1. Østre Kulturcenter,Kim Slott Nielsen,Centrum-Demokraterne,D,0
Odense Østkredsen,1. Østre Kulturcenter,Hüseyin Tas,Centrum-Demokraterne,D,5
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Socialistisk Folkeparti,F,372
Odense Østkredsen,1. Østre Kulturcenter,Anne Baastrup,Socialistisk Folkeparti,F,181
Odense Østkredsen,1. Østre Kulturcenter,Thomas S. Ammons,Socialistisk Folkeparti,F,1
Odense Østkredsen,1. Østre Kulturcenter,Susanne Harder,Socialistisk Folkeparti,F,9
Odense Østkredsen,1. Østre Kulturcenter,Karsten Hønge,Socialistisk Folkeparti,F,31
Odense Østkredsen,1. Østre Kulturcenter,Hanne Lauritsen,Socialistisk Folkeparti,F,1
Odense Østkredsen,1. Østre Kulturcenter,Holger Lomholt,Socialistisk Folkeparti,F,1
Odense Østkredsen,1. Østre Kulturcenter,Sanne Schroll,Socialistisk Folkeparti,F,44
Odense Østkredsen,1. Østre Kulturcenter,Kaj Stillinger,Socialistisk Folkeparti,F,3
Odense Østkredsen,1. Østre Kulturcenter,Annette Lilja Vilhelmsen,Socialistisk Folkeparti,F,9
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Kristendemokraterne,K,51
Odense Østkredsen,1. Østre Kulturcenter,Lisette Storm Jakobsen,Kristendemokraterne,K,6
Odense Østkredsen,1. Østre Kulturcenter,Tony Bech,Kristendemokraterne,K,5
Odense Østkredsen,1. Østre Kulturcenter,Kristian W. Jakobsen,Kristendemokraterne,K,0
Odense Østkredsen,1. Østre Kulturcenter,Jens Ole Madsen,Kristendemokraterne,K,0
Odense Østkredsen,1. Østre Kulturcenter,Sten Fyhn Mortensen,Kristendemokraterne,K,4
Odense Østkredsen,1. Østre Kulturcenter,Michael D. F. Sørensen,Kristendemokraterne,K,0
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Minoritetspartiet,M,13
Odense Østkredsen,1. Østre Kulturcenter,Carsten Stage,Minoritetspartiet,M,3
Odense Østkredsen,1. Østre Kulturcenter,Peter Kofod,Minoritetspartiet,M,3
Odense Østkredsen,1. Østre Kulturcenter,Tue Sylvest,Minoritetspartiet,M,3
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Dansk Folkeparti,O,405
Odense Østkredsen,1. Østre Kulturcenter,Ole Monrad Møller,Dansk Folkeparti,O,21
Odense Østkredsen,1. Østre Kulturcenter,Alex Ahrendtsen,Dansk Folkeparti,O,15
Odense Østkredsen,1. Østre Kulturcenter,Allan Andersen,Dansk Folkeparti,O,5
Odense Østkredsen,1. Østre Kulturcenter,Lene Camre,Dansk Folkeparti,O,14
Odense Østkredsen,1. Østre Kulturcenter,Kristian Thulesen Dahl,Dansk Folkeparti,O,187
Odense Østkredsen,1. Østre Kulturcenter,Elisa Hansen,Dansk Folkeparti,O,1
Odense Østkredsen,1. Østre Kulturcenter,René Lundegård,Dansk Folkeparti,O,3
Odense Østkredsen,1. Østre Kulturcenter,Ingrid Marten Monsen,Dansk Folkeparti,O,2
Odense Østkredsen,1. Østre Kulturcenter,Tina Petersen,Dansk Folkeparti,O,11
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,"Venstre, Danmarks Liberale Parti",V,797
Odense Østkredsen,1. Østre Kulturcenter,Anders Basbøll,"Venstre, Danmarks Liberale Parti",V,80
Odense Østkredsen,1. Østre Kulturcenter,Eva Laut Andersen,"Venstre, Danmarks Liberale Parti",V,14
Odense Østkredsen,1. Østre Kulturcenter,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",V,20
Odense Østkredsen,1. Østre Kulturcenter,Britta Schall Holberg,"Venstre, Danmarks Liberale Parti",V,38
Odense Østkredsen,1. Østre Kulturcenter,Lene Høsthaab,"Venstre, Danmarks Liberale Parti",V,18
Odense Østkredsen,1. Østre Kulturcenter,Erik Larsen,"Venstre, Danmarks Liberale Parti",V,6
Odense Østkredsen,1. Østre Kulturcenter,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",V,111
Odense Østkredsen,1. Østre Kulturcenter,Kenneth Muhs,"Venstre, Danmarks Liberale Parti",V,10
Odense Østkredsen,1. Østre Kulturcenter,Partiliste,Enhedslisten - De Rød-Grønne,Ø,265
Odense Østkredsen,1. Østre Kulturcenter,Rune Lund,Enhedslisten - De Rød-Grønne,Ø,56
Odense Østkredsen,1. Østre Kulturcenter,Jesper Kiel,Enhedslisten - De Rød-Grønne,Ø,7
Odense Østkredsen,1. Østre Kulturcenter,Signe Færch,Enhedslisten - De Rød-Grønne,Ø,33
Odense Østkredsen,1. Østre Kulturcenter,Lone Christiansen,Enhedslisten - De Rød-Grønne,Ø,7
Odense Østkredsen,1. Østre Kulturcenter,Bernard Jeune,Enhedslisten - De Rød-Grønne,Ø,6
Odense Østkredsen,1. Østre Kulturcenter,Finn Ove Hansen,Enhedslisten - De Rød-Grønne,Ø,3
Odense Østkredsen,1. Østre Kulturcenter,Stine Johansen,Enhedslisten - De Rød-Grønne,Ø,8
Odense Østkredsen,1. Østre Kulturcenter,Morten Pabst Petersen,Enhedslisten - De Rød-Grønne,Ø,3
Odense Østkredsen,2. Skt. Hans Skole,Partiliste,Socialdemokratiet,A,1078
Odense Østkredsen,2. Skt. Hans Skole,Jesper Kinch-Jensen,Socialdemokratiet,A,236
Odense Østkredsen,2. Skt. Hans Skole,Poul Andersen,Socialdemokratiet,A,23
Odense Østkredsen,2. Skt. Hans Skole,Lotte Bundsgaard,Socialdemokratiet,A,601
Odense Østkredsen,2. Skt. Hans Skole,Helle Eckeroth,Socialdemokratiet,A,42
