kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Præstøkredsen,1. Dalby,Partiliste,Socialdemokratiet,A,333
Præstøkredsen,1. Dalby,Peter Valenius,Socialdemokratiet,A,58
Præstøkredsen,1. Dalby,Vibeke Grave,Socialdemokratiet,A,25
Præstøkredsen,1. Dalby,Jørn Hedengran,Socialdemokratiet,A,1
Præstøkredsen,1. Dalby,Magnus Heunicke,Socialdemokratiet,A,18
Præstøkredsen,1. Dalby,Lene Jensen,Socialdemokratiet,A,26
Præstøkredsen,1. Dalby,Jytte Wittrock,Socialdemokratiet,A,10
Præstøkredsen,1. Dalby,Partiliste,Det Radikale Venstre,B,105
Præstøkredsen,1. Dalby,Michael Loft,Det Radikale Venstre,B,15
Præstøkredsen,1. Dalby,Simon Emil Ammitzbøll,Det Radikale Venstre,B,19
Præstøkredsen,1. Dalby,Jan von Deyen,Det Radikale Venstre,B,0
Præstøkredsen,1. Dalby,Ulf Lolk Larsen,Det Radikale Venstre,B,0
Præstøkredsen,1. Dalby,Partiliste,Det Konservative Folkeparti,C,90
Præstøkredsen,1. Dalby,Sidsel Leth Svensson,Det Konservative Folkeparti,C,31
Præstøkredsen,1. Dalby,Erik Holsko,Det Konservative Folkeparti,C,0
Præstøkredsen,1. Dalby,Helge Adam Møller,Det Konservative Folkeparti,C,90
Præstøkredsen,1. Dalby,Karen Schultz,Det Konservative Folkeparti,C,4
Præstøkredsen,1. Dalby,Anders Stausholm,Det Konservative Folkeparti,C,0
Præstøkredsen,1. Dalby,Bent Stryhn,Det Konservative Folkeparti,C,2
Præstøkredsen,1. Dalby,Partiliste,Centrum-Demokraterne,D,28
Præstøkredsen,1. Dalby,Lis Kirkegaard,Centrum-Demokraterne,D,3
Præstøkredsen,1. Dalby,Ove Dideriksen,Centrum-Demokraterne,D,1
Præstøkredsen,1. Dalby,Ulrich Pade,Centrum-Demokraterne,D,0
Præstøkredsen,1. Dalby,Ingolf Møller Pedersen,Centrum-Demokraterne,D,0
Præstøkredsen,1. Dalby,Bjarne Strømskov,Centrum-Demokraterne,D,0
