kreds,valgsted_navn,kandidat_navn,parti,partibogstav,stemmer
Holbækkredsen,1. Administrationscentret,Partiliste,Socialdemokratiet,A,618
Holbækkredsen,1. Administrationscentret,Thomas Adelskov,Socialdemokratiet,A,351
Holbækkredsen,1. Administrationscentret,Sandy Brinck,Socialdemokratiet,A,93
Holbækkredsen,1. Administrationscentret,Jacob Buksti,Socialdemokratiet,A,16
Holbækkredsen,1. Administrationscentret,John Dyrby,Socialdemokratiet,A,4
Holbækkredsen,1. Administrationscentret,Svend Erik Larsen,Socialdemokratiet,A,2
Holbækkredsen,1. Administrationscentret,Alice A. Sarp,Socialdemokratiet,A,21
Holbækkredsen,1. Administrationscentret,Partiliste,Det Radikale Venstre,B,365
Holbækkredsen,1. Administrationscentret,Ole Glahn,Det Radikale Venstre,B,159
Holbækkredsen,1. Administrationscentret,Martin Johansson,Det Radikale Venstre,B,4
Holbækkredsen,1. Administrationscentret,Ida Jørgensen,Det Radikale Venstre,B,79
Holbækkredsen,1. Administrationscentret,Tomas Bech Madsen,Det Radikale Venstre,B,1
Holbækkredsen,1. Administrationscentret,Stig Nielsen,Det Radikale Venstre,B,2
Holbækkredsen,1. Administrationscentret,Finn Skjærlund,Det Radikale Venstre,B,0
Holbækkredsen,1. Administrationscentret,Partiliste,Det Konservative Folkeparti,C,239
Holbækkredsen,1. Administrationscentret,Brian Mikkelsen,Det Konservative Folkeparti,C,269
Holbækkredsen,1. Administrationscentret,Johnny E. Balsved,Det Konservative Folkeparti,C,11
Holbækkredsen,1. Administrationscentret,Andreas Boisen,Det Konservative Folkeparti,C,6
Holbækkredsen,1. Administrationscentret,Ivan Lilleng,Det Konservative Folkeparti,C,4
Holbækkredsen,1. Administrationscentret,Lykke Outzen,Det Konservative Folkeparti,C,12
Holbækkredsen,1. Administrationscentret,Mikkel Scheel,Det Konservative Folkeparti,C,2
Holbækkredsen,1. Administrationscentret,Partiliste,Centrum-Demokraterne,D,48
Holbækkredsen,1. Administrationscentret,Annie Lunde Hansen,Centrum-Demokraterne,D,9
Holbækkredsen,1. Administrationscentret,Torben Bangsmann,Centrum-Demokraterne,D,1
Holbækkredsen,1. Administrationscentret,Poul Gøttrup Hansen,Centrum-Demokraterne,D,1
Holbækkredsen,1. Administrationscentret,Mogens von Jessen,Centrum-Demokraterne,D,0
Holbækkredsen,1. Administrationscentret,Flemming Nielsen,Centrum-Demokraterne,D,2
Holbækkredsen,1. Administrationscentret,Emrah Tuncer,Centrum-Demokraterne,D,5
Holbækkredsen,1. Administrationscentret,Partiliste,Socialistisk Folkeparti,F,188
Holbækkredsen,1. Administrationscentret,Gitte Løvgren,Socialistisk Folkeparti,F,68
Holbækkredsen,1. Administrationscentret,Marianne Hoff Andersen,Socialistisk Folkeparti,F,2
Holbækkredsen,1. Administrationscentret,Herluf Forchhammer,Socialistisk Folkeparti,F,5
Holbækkredsen,1. Administrationscentret,Marianne Madsen,Socialistisk Folkeparti,F,2
Holbækkredsen,1. Administrationscentret,Torsten Ringgaard,Socialistisk Folkeparti,F,1
Holbækkredsen,1. Administrationscentret,Ole Sohn,Socialistisk Folkeparti,F,98
Holbækkredsen,1. Administrationscentret,Partiliste,Kristendemokraterne,K,30
Holbækkredsen,1. Administrationscentret,Dan Billeskov,Kristendemokraterne,K,1
Holbækkredsen,1. Administrationscentret,Mette Guldager,Kristendemokraterne,K,4
Holbækkredsen,1. Administrationscentret,Susanne Chordt Hansen,Kristendemokraterne,K,0
Holbækkredsen,1. Administrationscentret,Henrik Pedersen,Kristendemokraterne,K,0
Holbækkredsen,1. Administrationscentret,Danny Petersen,Kristendemokraterne,K,0
Holbækkredsen,1. Administrationscentret,Partiliste,Minoritetspartiet,M,7
Holbækkredsen,1. Administrationscentret,Niels Gjern Johansen,Minoritetspartiet,M,3
Holbækkredsen,1. Administrationscentret,Arne Olsen,Minoritetspartiet,M,1
Holbækkredsen,1. Administrationscentret,Partiliste,Dansk Folkeparti,O,398
Holbækkredsen,1. Administrationscentret,Henrik Brodersen,Dansk Folkeparti,O,30
Holbækkredsen,1. Administrationscentret,Mia Falkenberg,Dansk Folkeparti,O,29
Holbækkredsen,1. Administrationscentret,John Harpøth,Dansk Folkeparti,O,8
Holbækkredsen,1. Administrationscentret,Peter Lotinga,Dansk Folkeparti,O,1
Holbækkredsen,1. Administrationscentret,Fritz Neumann,Dansk Folkeparti,O,1
Holbækkredsen,1. Administrationscentret,Poul Nødgaard,Dansk Folkeparti,O,25
Holbækkredsen,1. Administrationscentret,Partiliste,"Venstre, Danmarks Liberale Parti",V,554
Holbækkredsen,1. Administrationscentret,Palle Andersen,"Venstre, Danmarks Liberale Parti",V,208
Holbækkredsen,1. Administrationscentret,Troels Christensen,"Venstre, Danmarks Liberale Parti",V,4
Holbækkredsen,1. Administrationscentret,Bertel Haarder,"Venstre, Danmarks Liberale Parti",V,302
Holbækkredsen,1. Administrationscentret,Jacob Jensen,"Venstre, Danmarks Liberale Parti",V,31
Holbækkredsen,1. Administrationscentret,Marianne Pedersen,"Venstre, Danmarks Liberale Parti",V,25
Holbækkredsen,1. Administrationscentret,Johnny Persson,"Venstre, Danmarks Liberale Parti",V,1
Holbækkredsen,1. Administrationscentret,Partiliste,Enhedslisten - De Rød-Grønne,Ø,172
Holbækkredsen,1. Administrationscentret,Jørgen Randløv Madsen,Enhedslisten - De Rød-Grønne,Ø,13
Holbækkredsen,1. Administrationscentret,Thomas Clausen,Enhedslisten - De Rød-Grønne,Ø,1
Holbækkredsen,1. Administrationscentret,Anja Härle Eberhardt,Enhedslisten - De Rød-Grønne,Ø,10
Holbækkredsen,1. Administrationscentret,Mogens A. Julsdorf,Enhedslisten - De Rød-Grønne,Ø,0
Holbækkredsen,1. Administrationscentret,Ole Steen Larsen,Enhedslisten - De Rød-Grønne,Ø,0
Holbækkredsen,1. Administrationscentret,Rita Madsen,Enhedslisten - De Rød-Grønne,Ø,4
Holbækkredsen,1. Administrationscentret,Bent A. Jespersen,(Uden for parti),(Uden for parti),0
Holbækkredsen,1. Tølløse Hallen,Partiliste,Socialdemokratiet,A,356
Holbækkredsen,1. Tølløse Hallen,Thomas Adelskov,Socialdemokratiet,A,256
Holbækkredsen,1. Tølløse Hallen,Sandy Brinck,Socialdemokratiet,A,56
Holbækkredsen,1. Tølløse Hallen,Jacob Buksti,Socialdemokratiet,A,12
Holbækkredsen,1. Tølløse Hallen,John Dyrby,Socialdemokratiet,A,1
Holbækkredsen,1. Tølløse Hallen,Svend Erik Larsen,Socialdemokratiet,A,3
Holbækkredsen,1. Tølløse Hallen,Alice A. Sarp,Socialdemokratiet,A,10
Holbækkredsen,1. Tølløse Hallen,Partiliste,Det Radikale Venstre,B,189
Holbækkredsen,1. Tølløse Hallen,Ole Glahn,Det Radikale Venstre,B,68
Holbækkredsen,1. Tølløse Hallen,Martin Johansson,Det Radikale Venstre,B,2
Holbækkredsen,1. Tølløse Hallen,Ida Jørgensen,Det Radikale Venstre,B,40
Holbækkredsen,1. Tølløse Hallen,Tomas Bech Madsen,Det Radikale Venstre,B,1
Holbækkredsen,1. Tølløse Hallen,Stig Nielsen,Det Radikale Venstre,B,2
Holbækkredsen,1. Tølløse Hallen,Finn Skjærlund,Det Radikale Venstre,B,6
Holbækkredsen,1. Tølløse Hallen,Partiliste,Det Konservative Folkeparti,C,120
Holbækkredsen,1. Tølløse Hallen,Brian Mikkelsen,Det Konservative Folkeparti,C,104
Holbækkredsen,1. Tølløse Hallen,Johnny E. Balsved,Det Konservative Folkeparti,C,1
Holbækkredsen,1. Tølløse Hallen,Andreas Boisen,Det Konservative Folkeparti,C,4
Holbækkredsen,1. Tølløse Hallen,Ivan Lilleng,Det Konservative Folkeparti,C,0
Holbækkredsen,1. Tølløse Hallen,Lykke Outzen,Det Konservative Folkeparti,C,8
Holbækkredsen,1. Tølløse Hallen,Mikkel Scheel,Det Konservative Folkeparti,C,4
Holbækkredsen,1. Tølløse Hallen,Partiliste,Centrum-Demokraterne,D,33
Holbækkredsen,1. Tølløse Hallen,Annie Lunde Hansen,Centrum-Demokraterne,D,9
Holbækkredsen,1. Tølløse Hallen,Torben Bangsmann,Centrum-Demokraterne,D,0
Holbækkredsen,1. Tølløse Hallen,Poul Gøttrup Hansen,Centrum-Demokraterne,D,1
Holbækkredsen,1. Tølløse Hallen,Mogens von Jessen,Centrum-Demokraterne,D,0
Holbækkredsen,1. Tølløse Hallen,Flemming Nielsen,Centrum-Demokraterne,D,4
Holbækkredsen,1. Tølløse Hallen,Emrah Tuncer,Centrum-Demokraterne,D,1
Holbækkredsen,1. Tølløse Hallen,Partiliste,Socialistisk Folkeparti,F,100
Holbækkredsen,1. Tølløse Hallen,Gitte Løvgren,Socialistisk Folkeparti,F,42
Holbækkredsen,1. Tølløse Hallen,Marianne Hoff Andersen,Socialistisk Folkeparti,F,1
Holbækkredsen,1. Tølløse Hallen,Herluf Forchhammer,Socialistisk Folkeparti,F,2
