Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Frederikshavnkredsen,1. Skagen,Partiliste,Socialdemokratiet,549,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Bjarne Laustsen,Socialdemokratiet,1128,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Ole Christensen,Socialdemokratiet,5,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Ole Vagn Christensen,Socialdemokratiet,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Lene Hansen,Socialdemokratiet,19,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Orla Hav,Socialdemokratiet,214,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Per Husted,Socialdemokratiet,1,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Flemming Møller Mortensen,Socialdemokratiet,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Anna Kirsten Olesen,Socialdemokratiet,6,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Rasmus Prehn,Socialdemokratiet,12,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Partiliste,Det Radikale Venstre,111,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Torsten B. Jakobsen,Det Radikale Venstre,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Daniel Nyboe Andersen,Det Radikale Venstre,10,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Jacob Erle,Det Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Bo Fink,Det Radikale Venstre,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Nana Sofia Hansen,Det Radikale Venstre,5,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Marianne Jelved,Det Radikale Venstre,37,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Karina Kroustrup,Det Radikale Venstre,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Vagn Kvist,Det Radikale Venstre,1,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Leon Sebbelin,Det Radikale Venstre,1,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Partiliste,Det Konservative Folkeparti,129,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Daniel Rugholm,Det Konservative Folkeparti,27,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Lene Espersen,Det Konservative Folkeparti,403,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Anders Hvashøj,Det Konservative Folkeparti,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Thomas Krarup,Det Konservative Folkeparti,0,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Dan Kristensen,Det Konservative Folkeparti,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Knud Kristensen,Det Konservative Folkeparti,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Tage Leegaard,Det Konservative Folkeparti,1,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Jakob Axel Nielsen,Det Konservative Folkeparti,48,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Partiliste,SF - Socialistisk Folkeparti,256,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Mogens Ove Madsen,SF - Socialistisk Folkeparti,30,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Pernille Vigsø Bagge,SF - Socialistisk Folkeparti,71,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Grete F. Bonde,SF - Socialistisk Folkeparti,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Karl H. Bornhøft,SF - Socialistisk Folkeparti,23,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Anders Bøge,SF - Socialistisk Folkeparti,2,Nordjyllands Storkreds
Frederikshavnkredsen,1. Skagen,Jesper Stormly Enevoldsen,SF - Socialistisk Folkeparti,2,Nordjyllands Storkreds
