Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Rønnekredsen,7. Klemensker,Partiliste,Socialdemokratiet,158,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Jeppe Kofod,Socialdemokratiet,390,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Jacob Lund,Socialdemokratiet,7,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Inge Munch,Socialdemokratiet,3,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Partiliste,Radikale Venstre,62,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Bente Johansen,Radikale Venstre,12,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Signe Kjøller,Radikale Venstre,3,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Partiliste,Det Konservative Folkeparti,20,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Kirstine van Sabben,Det Konservative Folkeparti,40,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Jens Rathmann Hansen,Det Konservative Folkeparti,2,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Partiliste,SF - Socialistisk Folkeparti,88,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Leif Olsen,SF - Socialistisk Folkeparti,11,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Poul Overlund-Sørensen,SF - Socialistisk Folkeparti,9,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Partiliste,Liberal Alliance,26,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Anders Bülow,Liberal Alliance,6,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Visti Lund Brok,Liberal Alliance,6,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Partiliste,Kristendemokraterne,39,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Hartvig Mumm,Kristendemokraterne,11,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Hans Ole Bech,Kristendemokraterne,9,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Partiliste,Dansk Folkeparti,165,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Linda Kofoed Persson,Dansk Folkeparti,16,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Peter Kofod Poulsen,Dansk Folkeparti,31,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Partiliste,"Venstre, Danmarks Liberale Parti",155,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",356,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Martin Sten Jørgensen,"Venstre, Danmarks Liberale Parti",21,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Else Merete Knoop,"Venstre, Danmarks Liberale Parti",7,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Partiliste,Enhedslisten - De Rød-Grønne,68,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Inger V. Johansen,Enhedslisten - De Rød-Grønne,7,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Morten Riis,Enhedslisten - De Rød-Grønne,30,Bornholms Storkreds
Rønnekredsen,7. Klemensker,Bjarne Thyregod,Enhedslisten - De Rød-Grønne,3,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,Socialdemokratiet,1044,Bornholms Storkreds
Rønnekredsen,8. Rønne,Jeppe Kofod,Socialdemokratiet,2813,Bornholms Storkreds
Rønnekredsen,8. Rønne,Jacob Lund,Socialdemokratiet,50,Bornholms Storkreds
Rønnekredsen,8. Rønne,Inge Munch,Socialdemokratiet,45,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,Radikale Venstre,453,Bornholms Storkreds
Rønnekredsen,8. Rønne,Bente Johansen,Radikale Venstre,83,Bornholms Storkreds
Rønnekredsen,8. Rønne,Signe Kjøller,Radikale Venstre,25,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,Det Konservative Folkeparti,137,Bornholms Storkreds
Rønnekredsen,8. Rønne,Kirstine van Sabben,Det Konservative Folkeparti,76,Bornholms Storkreds
Rønnekredsen,8. Rønne,Jens Rathmann Hansen,Det Konservative Folkeparti,5,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,SF - Socialistisk Folkeparti,546,Bornholms Storkreds
Rønnekredsen,8. Rønne,Leif Olsen,SF - Socialistisk Folkeparti,100,Bornholms Storkreds
Rønnekredsen,8. Rønne,Poul Overlund-Sørensen,SF - Socialistisk Folkeparti,85,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,Liberal Alliance,146,Bornholms Storkreds
Rønnekredsen,8. Rønne,Anders Bülow,Liberal Alliance,24,Bornholms Storkreds
Rønnekredsen,8. Rønne,Visti Lund Brok,Liberal Alliance,2,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,Kristendemokraterne,102,Bornholms Storkreds
Rønnekredsen,8. Rønne,Hartvig Mumm,Kristendemokraterne,19,Bornholms Storkreds
Rønnekredsen,8. Rønne,Hans Ole Bech,Kristendemokraterne,55,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,Dansk Folkeparti,678,Bornholms Storkreds
Rønnekredsen,8. Rønne,Linda Kofoed Persson,Dansk Folkeparti,64,Bornholms Storkreds
Rønnekredsen,8. Rønne,Peter Kofod Poulsen,Dansk Folkeparti,180,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,"Venstre, Danmarks Liberale Parti",713,Bornholms Storkreds
Rønnekredsen,8. Rønne,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",1288,Bornholms Storkreds
Rønnekredsen,8. Rønne,Martin Sten Jørgensen,"Venstre, Danmarks Liberale Parti",134,Bornholms Storkreds
Rønnekredsen,8. Rønne,Else Merete Knoop,"Venstre, Danmarks Liberale Parti",48,Bornholms Storkreds
Rønnekredsen,8. Rønne,Partiliste,Enhedslisten - De Rød-Grønne,434,Bornholms Storkreds
Rønnekredsen,8. Rønne,Inger V. Johansen,Enhedslisten - De Rød-Grønne,31,Bornholms Storkreds
Rønnekredsen,8. Rønne,Morten Riis,Enhedslisten - De Rød-Grønne,156,Bornholms Storkreds
Rønnekredsen,8. Rønne,Bjarne Thyregod,Enhedslisten - De Rød-Grønne,10,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,Socialdemokratiet,199,Bornholms Storkreds
Rønnekredsen,9. Hasle,Jeppe Kofod,Socialdemokratiet,514,Bornholms Storkreds
Rønnekredsen,9. Hasle,Jacob Lund,Socialdemokratiet,18,Bornholms Storkreds
Rønnekredsen,9. Hasle,Inge Munch,Socialdemokratiet,10,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,Radikale Venstre,73,Bornholms Storkreds
Rønnekredsen,9. Hasle,Bente Johansen,Radikale Venstre,22,Bornholms Storkreds
Rønnekredsen,9. Hasle,Signe Kjøller,Radikale Venstre,9,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,Det Konservative Folkeparti,16,Bornholms Storkreds
Rønnekredsen,9. Hasle,Kirstine van Sabben,Det Konservative Folkeparti,15,Bornholms Storkreds
Rønnekredsen,9. Hasle,Jens Rathmann Hansen,Det Konservative Folkeparti,1,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,SF - Socialistisk Folkeparti,94,Bornholms Storkreds
Rønnekredsen,9. Hasle,Leif Olsen,SF - Socialistisk Folkeparti,28,Bornholms Storkreds
Rønnekredsen,9. Hasle,Poul Overlund-Sørensen,SF - Socialistisk Folkeparti,12,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,Liberal Alliance,30,Bornholms Storkreds
Rønnekredsen,9. Hasle,Anders Bülow,Liberal Alliance,4,Bornholms Storkreds
Rønnekredsen,9. Hasle,Visti Lund Brok,Liberal Alliance,1,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,Kristendemokraterne,26,Bornholms Storkreds
Rønnekredsen,9. Hasle,Hartvig Mumm,Kristendemokraterne,5,Bornholms Storkreds
Rønnekredsen,9. Hasle,Hans Ole Bech,Kristendemokraterne,15,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,Dansk Folkeparti,160,Bornholms Storkreds
Rønnekredsen,9. Hasle,Linda Kofoed Persson,Dansk Folkeparti,19,Bornholms Storkreds
Rønnekredsen,9. Hasle,Peter Kofod Poulsen,Dansk Folkeparti,48,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,"Venstre, Danmarks Liberale Parti",196,Bornholms Storkreds
Rønnekredsen,9. Hasle,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",348,Bornholms Storkreds
Rønnekredsen,9. Hasle,Martin Sten Jørgensen,"Venstre, Danmarks Liberale Parti",14,Bornholms Storkreds
Rønnekredsen,9. Hasle,Else Merete Knoop,"Venstre, Danmarks Liberale Parti",11,Bornholms Storkreds
Rønnekredsen,9. Hasle,Partiliste,Enhedslisten - De Rød-Grønne,110,Bornholms Storkreds
Rønnekredsen,9. Hasle,Inger V. Johansen,Enhedslisten - De Rød-Grønne,4,Bornholms Storkreds
Rønnekredsen,9. Hasle,Morten Riis,Enhedslisten - De Rød-Grønne,38,Bornholms Storkreds
Rønnekredsen,9. Hasle,Bjarne Thyregod,Enhedslisten - De Rød-Grønne,2,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Partiliste,Socialdemokratiet,10,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Jeppe Kofod,Socialdemokratiet,3,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Jacob Lund,Socialdemokratiet,0,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Inge Munch,Socialdemokratiet,0,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Partiliste,Radikale Venstre,4,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Bente Johansen,Radikale Venstre,2,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Signe Kjøller,Radikale Venstre,0,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Partiliste,Det Konservative Folkeparti,1,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Jens Rathmann Hansen,Det Konservative Folkeparti,0,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Kirstine van Sabben,Det Konservative Folkeparti,0,Bornholms Storkreds
Aakirkebykredsen,0. Christiansø,Partiliste,SF - Socialistisk Folkeparti,10,Bornholms Storkreds
