Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Socialdemokratiet,831,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Pernille Rosenkrantz-Theil,Socialdemokratiet,549,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Poul Andersen,Socialdemokratiet,18,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Trine Bramsen,Socialdemokratiet,90,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Carsten Hansen,Socialdemokratiet,129,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jan Johansen,Socialdemokratiet,23,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Niels Christian Nielsen,Socialdemokratiet,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Julie Skovsby,Socialdemokratiet,36,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Hans Stavnsager,Socialdemokratiet,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Radikale Venstre,683,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Emil Dyred,Radikale Venstre,70,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Camilla Hersom,Radikale Venstre,99,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Tage Krogh Nielsen,Radikale Venstre,14,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mathias Kryspin Sørensen,Radikale Venstre,35,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Det Konservative Folkeparti,197,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Orris,Det Konservative Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mark Grossmann,Det Konservative Folkeparti,21,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Flemming Hansen,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mai Henriksen,Det Konservative Folkeparti,119,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Vivi Kier,Det Konservative Folkeparti,35,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jørgen Lundsgaard,Det Konservative Folkeparti,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Henrik Ørum Nissen,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Franz Rohde,Det Konservative Folkeparti,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,SF - Socialistisk Folkeparti,630,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anne Baastrup,SF - Socialistisk Folkeparti,142,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Emilie Dahler,SF - Socialistisk Folkeparti,27,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mikkel Dragmose-Hansen,SF - Socialistisk Folkeparti,10,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Karsten Hønge,SF - Socialistisk Folkeparti,55,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Winni Jørgensen,SF - Socialistisk Folkeparti,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Sanne Schroll,SF - Socialistisk Folkeparti,54,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Annette Vilhelmsen,SF - Socialistisk Folkeparti,30,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Helle Waagner,SF - Socialistisk Folkeparti,14,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Liberal Alliance,340,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Merete Riisager,Liberal Alliance,53,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Henrik Elkjær,Liberal Alliance,15,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bettina Eriksen,Liberal Alliance,12,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Thomas Frederiksen,Liberal Alliance,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Thomas Gulløv Longhi,Liberal Alliance,22,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Kristendemokraterne,27,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Suresh Jeyasingham,Kristendemokraterne,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Maria Lykke Bentsen,Kristendemokraterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Erik Damm,Kristendemokraterne,3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Rise Eskildsen,Kristendemokraterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jens Peter Lauge Giversen,Kristendemokraterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jess Henriksen,Kristendemokraterne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Friis Knudsen,Kristendemokraterne,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jens Ole Madsen,Kristendemokraterne,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Henrik Engedal Nissen,Kristendemokraterne,2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Dansk Folkeparti,423,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Poul Fischer,Dansk Folkeparti,16,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Alex Ahrendtsen,Dansk Folkeparti,54,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Pernille Bendixen,Dansk Folkeparti,18,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jens Henrik Thulesen Dahl,Dansk Folkeparti,52,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Mads Fredeløkke,Dansk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,René Lundegaard,Dansk Folkeparti,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anne Møllegaard Mortensen,Dansk Folkeparti,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Tina Petersen,Dansk Folkeparti,20,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,"Venstre, Danmarks Liberale Parti",824,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",192,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",17,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jane Heitmann,"Venstre, Danmarks Liberale Parti",35,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Claus Houden,"Venstre, Danmarks Liberale Parti",13,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Per Kristensen,"Venstre, Danmarks Liberale Parti",11,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",146,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Kenneth Muhs,"Venstre, Danmarks Liberale Parti",2,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bent Soelberg,"Venstre, Danmarks Liberale Parti",3,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Enhedslisten - De Rød-Grønne,538,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Pernille Skipper,Enhedslisten - De Rød-Grønne,132,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Anna Rytter,Enhedslisten - De Rød-Grønne,37,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Vibeke Syppli Enrum,Enhedslisten - De Rød-Grønne,6,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Theis Nielsen,Enhedslisten - De Rød-Grønne,0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Bjarne Speth Hansen,Enhedslisten - De Rød-Grønne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Paw Nielsen,Enhedslisten - De Rød-Grønne,1,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Jesper Kiel,Enhedslisten - De Rød-Grønne,4,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lene Junker,Enhedslisten - De Rød-Grønne,18,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Michael Ellegaard,(Uden for parti),0,Fyns Storkreds
Odense Østkredsen,1. Skt. Jørgens Hallen,Lars Grønbæk Larsen,(Uden for parti),2,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Partiliste,Socialdemokratiet,954,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Pernille Rosenkrantz-Theil,Socialdemokratiet,673,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Poul Andersen,Socialdemokratiet,38,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Trine Bramsen,Socialdemokratiet,108,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Carsten Hansen,Socialdemokratiet,245,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Jan Johansen,Socialdemokratiet,41,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Niels Christian Nielsen,Socialdemokratiet,6,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Julie Skovsby,Socialdemokratiet,42,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Hans Stavnsager,Socialdemokratiet,6,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Partiliste,Radikale Venstre,494,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Emil Dyred,Radikale Venstre,43,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Camilla Hersom,Radikale Venstre,85,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Tage Krogh Nielsen,Radikale Venstre,4,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Mathias Kryspin Sørensen,Radikale Venstre,19,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Partiliste,Det Konservative Folkeparti,139,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Anders Orris,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Mark Grossmann,Det Konservative Folkeparti,21,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Flemming Hansen,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Mai Henriksen,Det Konservative Folkeparti,75,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Vivi Kier,Det Konservative Folkeparti,51,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Jørgen Lundsgaard,Det Konservative Folkeparti,5,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Henrik Ørum Nissen,Det Konservative Folkeparti,1,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Franz Rohde,Det Konservative Folkeparti,2,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Partiliste,SF - Socialistisk Folkeparti,505,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Anne Baastrup,SF - Socialistisk Folkeparti,144,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Emilie Dahler,SF - Socialistisk Folkeparti,19,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Mikkel Dragmose-Hansen,SF - Socialistisk Folkeparti,5,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Karsten Hønge,SF - Socialistisk Folkeparti,72,Fyns Storkreds
Odense Østkredsen,2. Sct. Hans Skole,Winni Jørgensen,SF - Socialistisk Folkeparti,6,Fyns Storkreds
