Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Socialdemokratiet,620,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Thomas Horn,Socialdemokratiet,505,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Christine Antorini,Socialdemokratiet,134,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Klaus Hækkerup,Socialdemokratiet,20,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Nick Hækkerup,Socialdemokratiet,81,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Marianne Stendell,Socialdemokratiet,9,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Kristine Thrane,Socialdemokratiet,16,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Radikale Venstre,174,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Helge Vagn Jacobsen,Radikale Venstre,21,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Christian Friis Bach,Radikale Venstre,10,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Helle Løvgreen Mølvig,Radikale Venstre,6,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Margrethe Vestager,Radikale Venstre,469,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Det Konservative Folkeparti,139,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Isabella Meyer,Det Konservative Folkeparti,39,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Mette Abildgaard,Det Konservative Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Casper Strunge Andersen,Det Konservative Folkeparti,3,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Lars Barfoed,Det Konservative Folkeparti,137,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Lars N. Carstensen,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Rasmus Mahler,Det Konservative Folkeparti,0,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Partiliste,SF - Socialistisk Folkeparti,390,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Andreas Holck Høeg-Petersen,SF - Socialistisk Folkeparti,70,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Hanne Berg,SF - Socialistisk Folkeparti,39,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Michael Buk,SF - Socialistisk Folkeparti,5,Nordsjællands Storkreds
Helsingørkredsen,1. Helsingør Hallen,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,57,Nordsjællands Storkreds
