Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Lollandkredsen,1. Errindlev,Partiliste,Socialdemokratiet,71,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Vibeke Grave,Socialdemokratiet,75,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Lennart Damsbo-Andersen,Socialdemokratiet,19,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Kaare Dybvad,Socialdemokratiet,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Mette Gjerskov,Socialdemokratiet,1,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Jeannie Thorving Hansen,Socialdemokratiet,1,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Magnus Heunicke,Socialdemokratiet,2,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Ole Hækkerup,Socialdemokratiet,5,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Bodil Kornbek,Socialdemokratiet,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Rasmus Horn Langhoff,Socialdemokratiet,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Henrik Sass Larsen,Socialdemokratiet,3,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Martin Leider Olsen,Socialdemokratiet,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,John Dyrby Paulsen,Socialdemokratiet,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Partiliste,Radikale Venstre,15,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Hans-Christian Andersen,Radikale Venstre,3,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Jon Ahrensbøll,Radikale Venstre,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Steen Erik Baldus,Radikale Venstre,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Mikkel Balle,Radikale Venstre,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Jan Heidebo,Radikale Venstre,1,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Linda Kristiansen,Radikale Venstre,1,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Kim Pagels,Radikale Venstre,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Rasmus Helveg Petersen,Radikale Venstre,2,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Zenia Stampe,Radikale Venstre,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Kristian Stokholm,Radikale Venstre,2,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Jeppe Trolle,Radikale Venstre,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Partiliste,Det Konservative Folkeparti,6,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Linda Sommer,Det Konservative Folkeparti,8,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Anette Brix,Det Konservative Folkeparti,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Ulla Margrethe Hansen,Det Konservative Folkeparti,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Mikkel Lundemann Jensen,Det Konservative Folkeparti,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,0,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Rune Kristensen,Det Konservative Folkeparti,1,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Brian Mikkelsen,Det Konservative Folkeparti,2,Sjællands Storkreds
Lollandkredsen,1. Errindlev,Kristian Egebæk Mortensen,Det Konservative Folkeparti,0,Sjællands Storkreds
