Kreds,valgsted_navn,kandidat_navn,parti,stemmer,Storkreds
Struerkredsen,1. Lemvig,Partiliste,Socialdemokratiet,386,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Rasmus Lynghøj,Socialdemokratiet,534,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Anders Andreasen,Socialdemokratiet,13,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Peder Christensen,Socialdemokratiet,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Lars Fibæk,Socialdemokratiet,4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Karin Gaardsted,Socialdemokratiet,5,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Mogens Jensen,Socialdemokratiet,14,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Thomas Jensen,Socialdemokratiet,4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Annette Lind,Socialdemokratiet,81,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Lene Nørlund,Socialdemokratiet,6,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Mads Panny,Socialdemokratiet,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Frank Heidemann Sørensen,Socialdemokratiet,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Partiliste,Radikale Venstre,216,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Claus Hansen,Radikale Venstre,81,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Sanne Bjørn,Radikale Venstre,10,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Brian Bruhn,Radikale Venstre,4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Jes Juul Lauesen,Radikale Venstre,2,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Erika Lorentsen,Radikale Venstre,6,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Andreas Steenberg,Radikale Venstre,14,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Partiliste,Det Konservative Folkeparti,71,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Andreas Bjerregaard,Det Konservative Folkeparti,4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Frank Borch-Olsen,Det Konservative Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Anne Hansen,Det Konservative Folkeparti,2,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Camilla Hertzum Johansen,Det Konservative Folkeparti,2,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Esben Salling Larsen,Det Konservative Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Helge Adam Møller,Det Konservative Folkeparti,48,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Anna Margrethe Engbæk Schmidt,Det Konservative Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,John Thorsø,Det Konservative Folkeparti,30,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Tove Videbæk,Det Konservative Folkeparti,18,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Partiliste,SF - Socialistisk Folkeparti,135,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Kristen Touborg,SF - Socialistisk Folkeparti,362,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Ulla Blok,SF - Socialistisk Folkeparti,4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Morten Colbert,SF - Socialistisk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Steen Gade,SF - Socialistisk Folkeparti,18,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Søren Gytz,SF - Socialistisk Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Maren Holm,SF - Socialistisk Folkeparti,10,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Sidsel Homann,SF - Socialistisk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,John Nim,SF - Socialistisk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Naja Kjær Poulsen,SF - Socialistisk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Michael Thomsen,SF - Socialistisk Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Pia Vestergaard,SF - Socialistisk Folkeparti,5,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Partiliste,Liberal Alliance,128,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Leif Mikkelsen,Liberal Alliance,87,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Anton Benkestok,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Morten Boeck-Hansen,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Allan Daasbjerg,Liberal Alliance,5,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Anne Kathrine Kirk,Liberal Alliance,14,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,John Robert Knudsen,Liberal Alliance,4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Allan Leer-Holm,Liberal Alliance,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Vibeke Riemer,Liberal Alliance,2,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Partiliste,Kristendemokraterne,29,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Jakob From Høeg,Kristendemokraterne,3,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Kristian Andersen,Kristendemokraterne,7,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Kurt Bech,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Peter Bjerre,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Karlo Brondbjerg,Kristendemokraterne,2,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Esther Jakobsen,Kristendemokraterne,42,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Christian Medom Jensen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Per Ørum Jørgensen,Kristendemokraterne,190,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Isabella Arendt Laursen,Kristendemokraterne,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Jens Kr. M. Nielsen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Kirsten Nielsen,Kristendemokraterne,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Elisabeth Wagner Olsen,Kristendemokraterne,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Partiliste,Dansk Folkeparti,400,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Søren Olesen,Dansk Folkeparti,127,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Preben Andersen,Dansk Folkeparti,11,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Karina Due,Dansk Folkeparti,5,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Bente Kronborg Flensted,Dansk Folkeparti,10,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Dennis Flydtkjær,Dansk Folkeparti,20,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Allan Steen Hansen,Dansk Folkeparti,3,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Christian Langballe,Dansk Folkeparti,32,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Leif Lund,Dansk Folkeparti,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Simon Vanggaard Nielsen,Dansk Folkeparti,2,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Benny Ragner,Dansk Folkeparti,1,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Susanne Thiim,Dansk Folkeparti,11,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Partiliste,"Venstre, Danmarks Liberale Parti",382,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",509,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Marianne Bredal,"Venstre, Danmarks Liberale Parti",71,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Søren Green,"Venstre, Danmarks Liberale Parti",5,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Kristian Jensen,"Venstre, Danmarks Liberale Parti",188,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Ole Jespersen,"Venstre, Danmarks Liberale Parti",4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Vibeke Juel,"Venstre, Danmarks Liberale Parti",0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Esben Lunde Larsen,"Venstre, Danmarks Liberale Parti",23,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",17,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Mads Rørvig,"Venstre, Danmarks Liberale Parti",5,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Helge Sander,"Venstre, Danmarks Liberale Parti",22,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Inger Støjberg,"Venstre, Danmarks Liberale Parti",126,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Partiliste,Enhedslisten - De Rød-Grønne,80,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Frederik Madsen,Enhedslisten - De Rød-Grønne,13,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Lars Dohn,Enhedslisten - De Rød-Grønne,4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Emil Axelgaard,Enhedslisten - De Rød-Grønne,5,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Lene Fruelund,Enhedslisten - De Rød-Grønne,4,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,2,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Heidi Steenberg,Enhedslisten - De Rød-Grønne,3,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Simon Kristensen,Enhedslisten - De Rød-Grønne,0,Vestjyllands Storkreds
Struerkredsen,1. Lemvig,Torben A. Hansen,Enhedslisten - De Rød-Grønne,1,Vestjyllands Storkreds
