Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Rønnekredsen,7. Klemensker,Partiliste,Socialdemokratiet,130
Rønnekredsen,7. Klemensker,Lea Wermelin,Socialdemokratiet,229
Rønnekredsen,7. Klemensker,Lars Goldschmidt,Socialdemokratiet,11
Rønnekredsen,7. Klemensker,Claus Larsen-Jensen,Socialdemokratiet,84
Rønnekredsen,7. Klemensker,Partiliste,Radikale Venstre,14
Rønnekredsen,7. Klemensker,Bente Johansen,Radikale Venstre,9
Rønnekredsen,7. Klemensker,Partiliste,Det Konservative Folkeparti,6
Rønnekredsen,7. Klemensker,Kirstine van Sabben,Det Konservative Folkeparti,39
Rønnekredsen,7. Klemensker,Ianto Gerdes,Det Konservative Folkeparti,2
Rønnekredsen,7. Klemensker,Peter Kaas-Claesson,Det Konservative Folkeparti,1
Rønnekredsen,7. Klemensker,Partiliste,SF - Socialistisk Folkeparti,14
Rønnekredsen,7. Klemensker,Leif Olsen,SF - Socialistisk Folkeparti,13
Rønnekredsen,7. Klemensker,Poul Overlund-Sørensen,SF - Socialistisk Folkeparti,3
Rønnekredsen,7. Klemensker,Birgitte Kjøller Pedersen,SF - Socialistisk Folkeparti,5
Rønnekredsen,7. Klemensker,Partiliste,Liberal Alliance,27
Rønnekredsen,7. Klemensker,Per B. Frostholm,Liberal Alliance,17
Rønnekredsen,7. Klemensker,Carl Beck,Liberal Alliance,15
Rønnekredsen,7. Klemensker,Partiliste,Kristendemokraterne,38
Rønnekredsen,7. Klemensker,Niels Chresten Andersen,Kristendemokraterne,17
Rønnekredsen,7. Klemensker,Bjarne Hartung Kirkegaard,Kristendemokraterne,17
Rønnekredsen,7. Klemensker,Partiliste,Dansk Folkeparti,233
Rønnekredsen,7. Klemensker,Jørgen Mundt Andersen,Dansk Folkeparti,19
Rønnekredsen,7. Klemensker,Jess Christian Persson,Dansk Folkeparti,147
Rønnekredsen,7. Klemensker,Partiliste,"Venstre, Danmarks Liberale Parti",61
Rønnekredsen,7. Klemensker,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",287
Rønnekredsen,7. Klemensker,Else Merete Knoop,"Venstre, Danmarks Liberale Parti",12
Rønnekredsen,7. Klemensker,Carsten Scheibye,"Venstre, Danmarks Liberale Parti",10
Rønnekredsen,7. Klemensker,Partiliste,Enhedslisten - De Rød-Grønne,76
Rønnekredsen,7. Klemensker,Morten Riis,Enhedslisten - De Rød-Grønne,45
Rønnekredsen,7. Klemensker,Bo Haxthausen,Enhedslisten - De Rød-Grønne,6
Rønnekredsen,7. Klemensker,Partiliste,Alternativet,23
Rønnekredsen,7. Klemensker,Anne Thomas,Alternativet,31
Rønnekredsen,8. Rønne,Partiliste,Socialdemokratiet,1010
Rønnekredsen,8. Rønne,Lea Wermelin,Socialdemokratiet,1736
Rønnekredsen,8. Rønne,Lars Goldschmidt,Socialdemokratiet,122
Rønnekredsen,8. Rønne,Claus Larsen-Jensen,Socialdemokratiet,731
Rønnekredsen,8. Rønne,Partiliste,Radikale Venstre,100
Rønnekredsen,8. Rønne,Bente Johansen,Radikale Venstre,53
Rønnekredsen,8. Rønne,Partiliste,Det Konservative Folkeparti,68
Rønnekredsen,8. Rønne,Kirstine van Sabben,Det Konservative Folkeparti,76
Rønnekredsen,8. Rønne,Ianto Gerdes,Det Konservative Folkeparti,12
Rønnekredsen,8. Rønne,Peter Kaas-Claesson,Det Konservative Folkeparti,10
Rønnekredsen,8. Rønne,Partiliste,SF - Socialistisk Folkeparti,159
Rønnekredsen,8. Rønne,Leif Olsen,SF - Socialistisk Folkeparti,47
Rønnekredsen,8. Rønne,Poul Overlund-Sørensen,SF - Socialistisk Folkeparti,30
Rønnekredsen,8. Rønne,Birgitte Kjøller Pedersen,SF - Socialistisk Folkeparti,31
Rønnekredsen,8. Rønne,Partiliste,Liberal Alliance,228
Rønnekredsen,8. Rønne,Per B. Frostholm,Liberal Alliance,59
Rønnekredsen,8. Rønne,Carl Beck,Liberal Alliance,53
Rønnekredsen,8. Rønne,Partiliste,Kristendemokraterne,82
Rønnekredsen,8. Rønne,Niels Chresten Andersen,Kristendemokraterne,80
Rønnekredsen,8. Rønne,Bjarne Hartung Kirkegaard,Kristendemokraterne,41
Rønnekredsen,8. Rønne,Partiliste,Dansk Folkeparti,1026
Rønnekredsen,8. Rønne,Jørgen Mundt Andersen,Dansk Folkeparti,110
Rønnekredsen,8. Rønne,Jess Christian Persson,Dansk Folkeparti,593
Rønnekredsen,8. Rønne,Partiliste,"Venstre, Danmarks Liberale Parti",399
Rønnekredsen,8. Rønne,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",1086
Rønnekredsen,8. Rønne,Else Merete Knoop,"Venstre, Danmarks Liberale Parti",49
Rønnekredsen,8. Rønne,Carsten Scheibye,"Venstre, Danmarks Liberale Parti",82
Rønnekredsen,8. Rønne,Partiliste,Enhedslisten - De Rød-Grønne,478
Rønnekredsen,8. Rønne,Morten Riis,Enhedslisten - De Rød-Grønne,183
Rønnekredsen,8. Rønne,Bo Haxthausen,Enhedslisten - De Rød-Grønne,16
Rønnekredsen,8. Rønne,Partiliste,Alternativet,242
Rønnekredsen,8. Rønne,Anne Thomas,Alternativet,173
Rønnekredsen,9. Hasle,Partiliste,Socialdemokratiet,178
Rønnekredsen,9. Hasle,Lea Wermelin,Socialdemokratiet,316
Rønnekredsen,9. Hasle,Lars Goldschmidt,Socialdemokratiet,13
Rønnekredsen,9. Hasle,Claus Larsen-Jensen,Socialdemokratiet,116
Rønnekredsen,9. Hasle,Partiliste,Radikale Venstre,14
Rønnekredsen,9. Hasle,Bente Johansen,Radikale Venstre,14
Rønnekredsen,9. Hasle,Partiliste,Det Konservative Folkeparti,14
Rønnekredsen,9. Hasle,Kirstine van Sabben,Det Konservative Folkeparti,14
Rønnekredsen,9. Hasle,Ianto Gerdes,Det Konservative Folkeparti,1
Rønnekredsen,9. Hasle,Peter Kaas-Claesson,Det Konservative Folkeparti,1
Rønnekredsen,9. Hasle,Partiliste,SF - Socialistisk Folkeparti,20
Rønnekredsen,9. Hasle,Leif Olsen,SF - Socialistisk Folkeparti,10
Rønnekredsen,9. Hasle,Poul Overlund-Sørensen,SF - Socialistisk Folkeparti,5
Rønnekredsen,9. Hasle,Birgitte Kjøller Pedersen,SF - Socialistisk Folkeparti,5
Rønnekredsen,9. Hasle,Partiliste,Liberal Alliance,40
Rønnekredsen,9. Hasle,Per B. Frostholm,Liberal Alliance,6
Rønnekredsen,9. Hasle,Carl Beck,Liberal Alliance,11
Rønnekredsen,9. Hasle,Partiliste,Kristendemokraterne,18
Rønnekredsen,9. Hasle,Niels Chresten Andersen,Kristendemokraterne,14
Rønnekredsen,9. Hasle,Bjarne Hartung Kirkegaard,Kristendemokraterne,13
Rønnekredsen,9. Hasle,Partiliste,Dansk Folkeparti,216
Rønnekredsen,9. Hasle,Jørgen Mundt Andersen,Dansk Folkeparti,18
Rønnekredsen,9. Hasle,Jess Christian Persson,Dansk Folkeparti,212
Rønnekredsen,9. Hasle,Partiliste,"Venstre, Danmarks Liberale Parti",80
Rønnekredsen,9. Hasle,Peter Juel Jensen,"Venstre, Danmarks Liberale Parti",268
Rønnekredsen,9. Hasle,Else Merete Knoop,"Venstre, Danmarks Liberale Parti",14
