Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Socialdemokratiet,876
Odense Østkredsen,1. Skt. Jørgens Hallen,Erik Christensen,Socialdemokratiet,99
Odense Østkredsen,1. Skt. Jørgens Hallen,Trine Bramsen,Socialdemokratiet,170
Odense Østkredsen,1. Skt. Jørgens Hallen,Carsten Hansen,Socialdemokratiet,37
Odense Østkredsen,1. Skt. Jørgens Hallen,Jan Johansen,Socialdemokratiet,109
Odense Østkredsen,1. Skt. Jørgens Hallen,Dan Jørgensen,Socialdemokratiet,303
Odense Østkredsen,1. Skt. Jørgens Hallen,Chresten Anker Nielsen,Socialdemokratiet,7
Odense Østkredsen,1. Skt. Jørgens Hallen,Julie Skovsby,Socialdemokratiet,59
Odense Østkredsen,1. Skt. Jørgens Hallen,Frede Skaaning,Socialdemokratiet,5
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Radikale Venstre,311
Odense Østkredsen,1. Skt. Jørgens Hallen,Abir Al-Kalemji,Radikale Venstre,47
Odense Østkredsen,1. Skt. Jørgens Hallen,Bjørn Bjerrehøj,Radikale Venstre,41
Odense Østkredsen,1. Skt. Jørgens Hallen,Camilla Hersom,Radikale Venstre,61
Odense Østkredsen,1. Skt. Jørgens Hallen,Mathias von Jessen,Radikale Venstre,16
Odense Østkredsen,1. Skt. Jørgens Hallen,Gitte Madsen,Radikale Venstre,6
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Det Konservative Folkeparti,77
Odense Østkredsen,1. Skt. Jørgens Hallen,Mai Mercado,Det Konservative Folkeparti,103
Odense Østkredsen,1. Skt. Jørgens Hallen,Jonathan Bitzow,Det Konservative Folkeparti,21
Odense Østkredsen,1. Skt. Jørgens Hallen,Nicoline Damkjær,Det Konservative Folkeparti,2
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Johansson,Det Konservative Folkeparti,2
Odense Østkredsen,1. Skt. Jørgens Hallen,Henrik Nielsen,Det Konservative Folkeparti,7
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,SF - Socialistisk Folkeparti,217
Odense Østkredsen,1. Skt. Jørgens Hallen,Annette Vilhelmsen,SF - Socialistisk Folkeparti,60
Odense Østkredsen,1. Skt. Jørgens Hallen,Mikkel Dragmose-Hansen,SF - Socialistisk Folkeparti,10
Odense Østkredsen,1. Skt. Jørgens Hallen,Vagn Hansen,SF - Socialistisk Folkeparti,1
Odense Østkredsen,1. Skt. Jørgens Hallen,Rasmus Peter Henriksen,SF - Socialistisk Folkeparti,4
Odense Østkredsen,1. Skt. Jørgens Hallen,Karsten Hønge,SF - Socialistisk Folkeparti,83
Odense Østkredsen,1. Skt. Jørgens Hallen,Poul Erik Kristiansen,SF - Socialistisk Folkeparti,2
Odense Østkredsen,1. Skt. Jørgens Hallen,Marie Yvonne Rasmussen,SF - Socialistisk Folkeparti,13
Odense Østkredsen,1. Skt. Jørgens Hallen,Carl Valentin,SF - Socialistisk Folkeparti,50
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Liberal Alliance,578
Odense Østkredsen,1. Skt. Jørgens Hallen,Merete Riisager,Liberal Alliance,197
Odense Østkredsen,1. Skt. Jørgens Hallen,Karen Lasthein Andersen,Liberal Alliance,3
Odense Østkredsen,1. Skt. Jørgens Hallen,Jes V.N. Christiansen,Liberal Alliance,3
Odense Østkredsen,1. Skt. Jørgens Hallen,Jimmy Steen Eriksen,Liberal Alliance,8
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Kirkeby,Liberal Alliance,19
Odense Østkredsen,1. Skt. Jørgens Hallen,Thomas Wibroe Leth,Liberal Alliance,2
Odense Østkredsen,1. Skt. Jørgens Hallen,Mads Nørgaard,Liberal Alliance,10
Odense Østkredsen,1. Skt. Jørgens Hallen,Tonny Vest,Liberal Alliance,15
Odense Østkredsen,1. Skt. Jørgens Hallen,Peter Kaare Østergaard,Liberal Alliance,1
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Kristendemokraterne,30
Odense Østkredsen,1. Skt. Jørgens Hallen,Per Nansted,Kristendemokraterne,0
Odense Østkredsen,1. Skt. Jørgens Hallen,Rise Eskildsen,Kristendemokraterne,0
Odense Østkredsen,1. Skt. Jørgens Hallen,Anders Friis Knudsen,Kristendemokraterne,5
Odense Østkredsen,1. Skt. Jørgens Hallen,Kim B. Laursen,Kristendemokraterne,0
Odense Østkredsen,1. Skt. Jørgens Hallen,Simon Lavdal-Pedersen,Kristendemokraterne,0
Odense Østkredsen,1. Skt. Jørgens Hallen,Jens Ole Madsen,Kristendemokraterne,1
Odense Østkredsen,1. Skt. Jørgens Hallen,Lilian Vigtoft-Jessen,Kristendemokraterne,1
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Dansk Folkeparti,629
Odense Østkredsen,1. Skt. Jørgens Hallen,Betina Signe Stick,Dansk Folkeparti,17
Odense Østkredsen,1. Skt. Jørgens Hallen,Alex Ahrendtsen,Dansk Folkeparti,108
Odense Østkredsen,1. Skt. Jørgens Hallen,Pernille Bendixen,Dansk Folkeparti,71
Odense Østkredsen,1. Skt. Jørgens Hallen,Jens Henrik W. Thulesen Dahl,Dansk Folkeparti,103
Odense Østkredsen,1. Skt. Jørgens Hallen,Jesper Krarup,Dansk Folkeparti,11
Odense Østkredsen,1. Skt. Jørgens Hallen,Carsten Kudsk,Dansk Folkeparti,10
Odense Østkredsen,1. Skt. Jørgens Hallen,Åge Priisholm,Dansk Folkeparti,10
Odense Østkredsen,1. Skt. Jørgens Hallen,Dorthe Ullemose,Dansk Folkeparti,15
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,"Venstre, Danmarks Liberale Parti",612
Odense Østkredsen,1. Skt. Jørgens Hallen,Mark Grossmann,"Venstre, Danmarks Liberale Parti",49
Odense Østkredsen,1. Skt. Jørgens Hallen,Marlene Ambo-Rasmussen,"Venstre, Danmarks Liberale Parti",76
Odense Østkredsen,1. Skt. Jørgens Hallen,Erling Bonnesen,"Venstre, Danmarks Liberale Parti",39
Odense Østkredsen,1. Skt. Jørgens Hallen,Jane Heitmann,"Venstre, Danmarks Liberale Parti",32
Odense Østkredsen,1. Skt. Jørgens Hallen,Claus Houden,"Venstre, Danmarks Liberale Parti",27
Odense Østkredsen,1. Skt. Jørgens Hallen,Lars Chr. Lilleholt,"Venstre, Danmarks Liberale Parti",104
Odense Østkredsen,1. Skt. Jørgens Hallen,Anne Katrine Melvig,"Venstre, Danmarks Liberale Parti",9
Odense Østkredsen,1. Skt. Jørgens Hallen,Ole Pedersen,"Venstre, Danmarks Liberale Parti",19
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Enhedslisten - De Rød-Grønne,490
Odense Østkredsen,1. Skt. Jørgens Hallen,Pernille Skipper,Enhedslisten - De Rød-Grønne,407
Odense Østkredsen,1. Skt. Jørgens Hallen,Rune Lund,Enhedslisten - De Rød-Grønne,32
Odense Østkredsen,1. Skt. Jørgens Hallen,Jesper Kiel,Enhedslisten - De Rød-Grønne,3
Odense Østkredsen,1. Skt. Jørgens Hallen,Vibeke Syppli Enrum,Enhedslisten - De Rød-Grønne,8
Odense Østkredsen,1. Skt. Jørgens Hallen,Torsten Ringgaard,Enhedslisten - De Rød-Grønne,2
Odense Østkredsen,1. Skt. Jørgens Hallen,Reza Javid,Enhedslisten - De Rød-Grønne,11
Odense Østkredsen,1. Skt. Jørgens Hallen,Malene Rye Andersen,Enhedslisten - De Rød-Grønne,3
Odense Østkredsen,1. Skt. Jørgens Hallen,Per Jensen,Enhedslisten - De Rød-Grønne,3
Odense Østkredsen,1. Skt. Jørgens Hallen,Partiliste,Alternativet,527
Odense Østkredsen,1. Skt. Jørgens Hallen,Roger Matthisen,Alternativet,69
Odense Østkredsen,1. Skt. Jørgens Hallen,Nikolaj Amstrup,Alternativet,24
Odense Østkredsen,1. Skt. Jørgens Hallen,Karl Magnus Bidstrup,Alternativet,19
Odense Østkredsen,1. Skt. Jørgens Hallen,Henrik Halle,Alternativet,19
Odense Østkredsen,1. Skt. Jørgens Hallen,Dan Westerholt,Alternativet,17
