Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Hvidovrekredsen,1. Holmegårdshallen,Partiliste,Socialdemokratiet,438
Hvidovrekredsen,1. Holmegårdshallen,Kenneth F. Christensen,Socialdemokratiet,69
Hvidovrekredsen,1. Holmegårdshallen,Jeppe Bruus,Socialdemokratiet,4
Hvidovrekredsen,1. Holmegårdshallen,Morten Bødskov,Socialdemokratiet,55
Hvidovrekredsen,1. Holmegårdshallen,Mette Frederiksen,Socialdemokratiet,248
Hvidovrekredsen,1. Holmegårdshallen,Jesper Hostrup Hansen,Socialdemokratiet,1
Hvidovrekredsen,1. Holmegårdshallen,Mogens Lykketoft,Socialdemokratiet,53
Hvidovrekredsen,1. Holmegårdshallen,Simon Pihl Sørensen,Socialdemokratiet,1
Hvidovrekredsen,1. Holmegårdshallen,Mattias Tesfaye,Socialdemokratiet,97
Hvidovrekredsen,1. Holmegårdshallen,Partiliste,Radikale Venstre,100
Hvidovrekredsen,1. Holmegårdshallen,Susanne Wad Leth,Radikale Venstre,12
Hvidovrekredsen,1. Holmegårdshallen,Michael Blem Clausen,Radikale Venstre,2
Hvidovrekredsen,1. Holmegårdshallen,Özkan Ekiz,Radikale Venstre,6
Hvidovrekredsen,1. Holmegårdshallen,Helge Vagn Jacobsen,Radikale Venstre,2
Hvidovrekredsen,1. Holmegårdshallen,Sofie Carsten Nielsen,Radikale Venstre,37
Hvidovrekredsen,1. Holmegårdshallen,Jacob Juul Pedersen,Radikale Venstre,2
Hvidovrekredsen,1. Holmegårdshallen,Andreas Pourkamali,Radikale Venstre,2
Hvidovrekredsen,1. Holmegårdshallen,Cheri-Mae M. Williamson,Radikale Venstre,0
Hvidovrekredsen,1. Holmegårdshallen,Partiliste,Det Konservative Folkeparti,64
Hvidovrekredsen,1. Holmegårdshallen,Mads Holger Norgaard,Det Konservative Folkeparti,15
Hvidovrekredsen,1. Holmegårdshallen,Casper Strunge Andersen,Det Konservative Folkeparti,5
Hvidovrekredsen,1. Holmegårdshallen,Rasmus Jarlov,Det Konservative Folkeparti,19
Hvidovrekredsen,1. Holmegårdshallen,Merete Scheelsbeck,Det Konservative Folkeparti,10
Hvidovrekredsen,1. Holmegårdshallen,Henrik Sørensen,Det Konservative Folkeparti,0
Hvidovrekredsen,1. Holmegårdshallen,Partiliste,SF - Socialistisk Folkeparti,132
Hvidovrekredsen,1. Holmegårdshallen,Anders Wolf Andresen,SF - Socialistisk Folkeparti,19
Hvidovrekredsen,1. Holmegårdshallen,Serdal Benli,SF - Socialistisk Folkeparti,10
Hvidovrekredsen,1. Holmegårdshallen,Dorete Dandanell,SF - Socialistisk Folkeparti,7
Hvidovrekredsen,1. Holmegårdshallen,Arly Eskildsen,SF - Socialistisk Folkeparti,0
Hvidovrekredsen,1. Holmegårdshallen,Bilal Inekci,SF - Socialistisk Folkeparti,1
