Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Lyngbykredsen,1. Lyngby Midt,Partiliste,Socialdemokratiet,466
Lyngbykredsen,1. Lyngby Midt,Simon Pihl Sørensen,Socialdemokratiet,86
Lyngbykredsen,1. Lyngby Midt,Jeppe Bruus,Socialdemokratiet,5
Lyngbykredsen,1. Lyngby Midt,Morten Bødskov,Socialdemokratiet,20
Lyngbykredsen,1. Lyngby Midt,Kenneth F. Christensen,Socialdemokratiet,3
Lyngbykredsen,1. Lyngby Midt,Mette Frederiksen,Socialdemokratiet,233
Lyngbykredsen,1. Lyngby Midt,Jesper Hostrup Hansen,Socialdemokratiet,0
Lyngbykredsen,1. Lyngby Midt,Mogens Lykketoft,Socialdemokratiet,71
Lyngbykredsen,1. Lyngby Midt,Mattias Tesfaye,Socialdemokratiet,43
Lyngbykredsen,1. Lyngby Midt,Partiliste,Radikale Venstre,175
Lyngbykredsen,1. Lyngby Midt,Helge Vagn Jacobsen,Radikale Venstre,12
Lyngbykredsen,1. Lyngby Midt,Michael Blem Clausen,Radikale Venstre,4
Lyngbykredsen,1. Lyngby Midt,Özkan Ekiz,Radikale Venstre,6
Lyngbykredsen,1. Lyngby Midt,Susanne Wad Leth,Radikale Venstre,7
Lyngbykredsen,1. Lyngby Midt,Sofie Carsten Nielsen,Radikale Venstre,86
Lyngbykredsen,1. Lyngby Midt,Jacob Juul Pedersen,Radikale Venstre,6
Lyngbykredsen,1. Lyngby Midt,Andreas Pourkamali,Radikale Venstre,6
Lyngbykredsen,1. Lyngby Midt,Cheri-Mae M. Williamson,Radikale Venstre,3
Lyngbykredsen,1. Lyngby Midt,Partiliste,Det Konservative Folkeparti,105
Lyngbykredsen,1. Lyngby Midt,Rasmus Jarlov,Det Konservative Folkeparti,94
Lyngbykredsen,1. Lyngby Midt,Casper Strunge Andersen,Det Konservative Folkeparti,15
Lyngbykredsen,1. Lyngby Midt,Mads Holger Norgaard,Det Konservative Folkeparti,21
Lyngbykredsen,1. Lyngby Midt,Merete Scheelsbeck,Det Konservative Folkeparti,7
Lyngbykredsen,1. Lyngby Midt,Henrik Sørensen,Det Konservative Folkeparti,3
Lyngbykredsen,1. Lyngby Midt,Partiliste,SF - Socialistisk Folkeparti,102
Lyngbykredsen,1. Lyngby Midt,Dorete Dandanell,SF - Socialistisk Folkeparti,12
Lyngbykredsen,1. Lyngby Midt,Anders Wolf Andresen,SF - Socialistisk Folkeparti,2
Lyngbykredsen,1. Lyngby Midt,Serdal Benli,SF - Socialistisk Folkeparti,2
Lyngbykredsen,1. Lyngby Midt,Arly Eskildsen,SF - Socialistisk Folkeparti,6
Lyngbykredsen,1. Lyngby Midt,Bilal Inekci,SF - Socialistisk Folkeparti,0
