Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Brønshøjkredsen,31. 7. Brønshøj,Partiliste,Socialdemokratiet,353
Brønshøjkredsen,31. 7. Brønshøj,Yildiz Akdogan,Socialdemokratiet,72
Brønshøjkredsen,31. 7. Brønshøj,Ditte Brøndum,Socialdemokratiet,4
Brønshøjkredsen,31. 7. Brønshøj,Sine Heltberg,Socialdemokratiet,3
Brønshøjkredsen,31. 7. Brønshøj,Özkan Kocak,Socialdemokratiet,4
Brønshøjkredsen,31. 7. Brønshøj,Bo Kømler,Socialdemokratiet,2
Brønshøjkredsen,31. 7. Brønshøj,Lars Aslan Rasmussen,Socialdemokratiet,16
Brønshøjkredsen,31. 7. Brønshøj,Mette Reissmann,Socialdemokratiet,14
Brønshøjkredsen,31. 7. Brønshøj,Dennis Schnell-Lauritzen,Socialdemokratiet,2
Brønshøjkredsen,31. 7. Brønshøj,Simon Simonsen,Socialdemokratiet,5
Brønshøjkredsen,31. 7. Brønshøj,Peter Hummelgaard Thomsen,Socialdemokratiet,16
Brønshøjkredsen,31. 7. Brønshøj,Helle Thorning-Schmidt,Socialdemokratiet,341
Brønshøjkredsen,31. 7. Brønshøj,Kristian Westfall,Socialdemokratiet,0
Brønshøjkredsen,31. 7. Brønshøj,Partiliste,Radikale Venstre,94
Brønshøjkredsen,31. 7. Brønshøj,Søren Burcharth,Radikale Venstre,2
Brønshøjkredsen,31. 7. Brønshøj,Samira Nawa Amini,Radikale Venstre,7
Brønshøjkredsen,31. 7. Brønshøj,Ida Auken,Radikale Venstre,66
Brønshøjkredsen,31. 7. Brønshøj,Sophie Danneris,Radikale Venstre,1
Brønshøjkredsen,31. 7. Brønshøj,Pernille Boye Koch,Radikale Venstre,18
Brønshøjkredsen,31. 7. Brønshøj,Karsten Lauritsen,Radikale Venstre,0
Brønshøjkredsen,31. 7. Brønshøj,Lone Loklindt,Radikale Venstre,4
Brønshøjkredsen,31. 7. Brønshøj,Mia Nyegaard,Radikale Venstre,4
Brønshøjkredsen,31. 7. Brønshøj,Manu Sareen,Radikale Venstre,46
Brønshøjkredsen,31. 7. Brønshøj,Christian Scharling,Radikale Venstre,0
Brønshøjkredsen,31. 7. Brønshøj,André Just Vedgren,Radikale Venstre,3
Brønshøjkredsen,31. 7. Brønshøj,Niels Wanning,Radikale Venstre,0
Brønshøjkredsen,31. 7. Brønshøj,Partiliste,Det Konservative Folkeparti,76
Brønshøjkredsen,31. 7. Brønshøj,Lars Barfoed,Det Konservative Folkeparti,26
Brønshøjkredsen,31. 7. Brønshøj,Helle Bonnesen,Det Konservative Folkeparti,5
Brønshøjkredsen,31. 7. Brønshøj,Anne Ginderskov Hansen,Det Konservative Folkeparti,5
Brønshøjkredsen,31. 7. Brønshøj,Josefine Kofoed,Det Konservative Folkeparti,7
Brønshøjkredsen,31. 7. Brønshøj,Søren-Michael Pihl,Det Konservative Folkeparti,1
Brønshøjkredsen,31. 7. Brønshøj,Partiliste,SF - Socialistisk Folkeparti,80
Brønshøjkredsen,31. 7. Brønshøj,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,115
Brønshøjkredsen,31. 7. Brønshøj,Balder Mørk Andersen,SF - Socialistisk Folkeparti,2
Brønshøjkredsen,31. 7. Brønshøj,Neil Bloem,SF - Socialistisk Folkeparti,0
Brønshøjkredsen,31. 7. Brønshøj,Özlem Sara Cekic,SF - Socialistisk Folkeparti,55
Brønshøjkredsen,31. 7. Brønshøj,Leif Donbæk,SF - Socialistisk Folkeparti,1
Brønshøjkredsen,31. 7. Brønshøj,Kathrine Jensen,SF - Socialistisk Folkeparti,0
Brønshøjkredsen,31. 7. Brønshøj,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,1
Brønshøjkredsen,31. 7. Brønshøj,Klaus Mygind,SF - Socialistisk Folkeparti,1
Brønshøjkredsen,31. 7. Brønshøj,Jonas Niemann,SF - Socialistisk Folkeparti,2
Brønshøjkredsen,31. 7. Brønshøj,Halime Oguz,SF - Socialistisk Folkeparti,0
Brønshøjkredsen,31. 7. Brønshøj,Kirsten Sloth,SF - Socialistisk Folkeparti,0
Brønshøjkredsen,31. 7. Brønshøj,Sisse Marie Welling,SF - Socialistisk Folkeparti,3
Brønshøjkredsen,31. 7. Brønshøj,Partiliste,Liberal Alliance,156
Brønshøjkredsen,31. 7. Brønshøj,Simon Emil Ammitzbøll,Liberal Alliance,37
Brønshøjkredsen,31. 7. Brønshøj,Karina Bergmann,Liberal Alliance,5
Brønshøjkredsen,31. 7. Brønshøj,Rasmus Boserup,Liberal Alliance,4
Brønshøjkredsen,31. 7. Brønshøj,Patrick Donovan,Liberal Alliance,3
Brønshøjkredsen,31. 7. Brønshøj,Søren Juliussen,Liberal Alliance,0
Brønshøjkredsen,31. 7. Brønshøj,Kasper Heumann Kristensen,Liberal Alliance,2
Brønshøjkredsen,31. 7. Brønshøj,Laura Lindahl,Liberal Alliance,11
Brønshøjkredsen,31. 7. Brønshøj,Danny K. Malkowski,Liberal Alliance,1
Brønshøjkredsen,31. 7. Brønshøj,Partiliste,Kristendemokraterne,8
Brønshøjkredsen,31. 7. Brønshøj,Henrik Howardsen,Kristendemokraterne,0
Brønshøjkredsen,31. 7. Brønshøj,Sølve Jønsson,Kristendemokraterne,0
Brønshøjkredsen,31. 7. Brønshøj,Bess Serner-Pedersen,Kristendemokraterne,1
Brønshøjkredsen,31. 7. Brønshøj,Ingrid Feldbæk Wredstrøm,Kristendemokraterne,0
Brønshøjkredsen,31. 7. Brønshøj,Partiliste,Dansk Folkeparti,274
Brønshøjkredsen,31. 7. Brønshøj,Peter Skaarup,Dansk Folkeparti,188
Brønshøjkredsen,31. 7. Brønshøj,Preben Bille Brahe,Dansk Folkeparti,0
Brønshøjkredsen,31. 7. Brønshøj,Jette Dali,Dansk Folkeparti,2
Brønshøjkredsen,31. 7. Brønshøj,Morten Dreyer,Dansk Folkeparti,6
Brønshøjkredsen,31. 7. Brønshøj,Søren Lund Hansen,Dansk Folkeparti,1
