Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Nørrebrokredsen,20. 5. Nørrebro,Partiliste,Socialdemokratiet,667
Nørrebrokredsen,20. 5. Nørrebro,Lars Aslan Rasmussen,Socialdemokratiet,39
Nørrebrokredsen,20. 5. Nørrebro,Yildiz Akdogan,Socialdemokratiet,78
Nørrebrokredsen,20. 5. Nørrebro,Ditte Brøndum,Socialdemokratiet,4
Nørrebrokredsen,20. 5. Nørrebro,Sine Heltberg,Socialdemokratiet,5
Nørrebrokredsen,20. 5. Nørrebro,Özkan Kocak,Socialdemokratiet,22
Nørrebrokredsen,20. 5. Nørrebro,Bo Kømler,Socialdemokratiet,2
Nørrebrokredsen,20. 5. Nørrebro,Mette Reissmann,Socialdemokratiet,42
Nørrebrokredsen,20. 5. Nørrebro,Dennis Schnell-Lauritzen,Socialdemokratiet,6
Nørrebrokredsen,20. 5. Nørrebro,Simon Simonsen,Socialdemokratiet,4
Nørrebrokredsen,20. 5. Nørrebro,Peter Hummelgaard Thomsen,Socialdemokratiet,71
Nørrebrokredsen,20. 5. Nørrebro,Helle Thorning-Schmidt,Socialdemokratiet,609
Nørrebrokredsen,20. 5. Nørrebro,Kristian Westfall,Socialdemokratiet,4
Nørrebrokredsen,20. 5. Nørrebro,Partiliste,Radikale Venstre,393
Nørrebrokredsen,20. 5. Nørrebro,Manu Sareen,Radikale Venstre,111
Nørrebrokredsen,20. 5. Nørrebro,Samira Nawa Amini,Radikale Venstre,50
Nørrebrokredsen,20. 5. Nørrebro,Ida Auken,Radikale Venstre,288
Nørrebrokredsen,20. 5. Nørrebro,Søren Burcharth,Radikale Venstre,5
Nørrebrokredsen,20. 5. Nørrebro,Sophie Danneris,Radikale Venstre,13
Nørrebrokredsen,20. 5. Nørrebro,Pernille Boye Koch,Radikale Venstre,15
Nørrebrokredsen,20. 5. Nørrebro,Karsten Lauritsen,Radikale Venstre,1
Nørrebrokredsen,20. 5. Nørrebro,Lone Loklindt,Radikale Venstre,16
Nørrebrokredsen,20. 5. Nørrebro,Mia Nyegaard,Radikale Venstre,12
Nørrebrokredsen,20. 5. Nørrebro,Christian Scharling,Radikale Venstre,6
Nørrebrokredsen,20. 5. Nørrebro,André Just Vedgren,Radikale Venstre,8
Nørrebrokredsen,20. 5. Nørrebro,Niels Wanning,Radikale Venstre,15
Nørrebrokredsen,20. 5. Nørrebro,Partiliste,Det Konservative Folkeparti,78
