Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Slotskredsen,"5. 11. Kreds, Lindevang",Partiliste,Socialdemokratiet,797
Slotskredsen,"5. 11. Kreds, Lindevang",Sine Heltberg,Socialdemokratiet,94
Slotskredsen,"5. 11. Kreds, Lindevang",Yildiz Akdogan,Socialdemokratiet,50
Slotskredsen,"5. 11. Kreds, Lindevang",Ditte Brøndum,Socialdemokratiet,3
Slotskredsen,"5. 11. Kreds, Lindevang",Özkan Kocak,Socialdemokratiet,23
Slotskredsen,"5. 11. Kreds, Lindevang",Bo Kømler,Socialdemokratiet,0
Slotskredsen,"5. 11. Kreds, Lindevang",Lars Aslan Rasmussen,Socialdemokratiet,27
Slotskredsen,"5. 11. Kreds, Lindevang",Mette Reissmann,Socialdemokratiet,45
Slotskredsen,"5. 11. Kreds, Lindevang",Dennis Schnell-Lauritzen,Socialdemokratiet,10
Slotskredsen,"5. 11. Kreds, Lindevang",Simon Simonsen,Socialdemokratiet,1
Slotskredsen,"5. 11. Kreds, Lindevang",Peter Hummelgaard Thomsen,Socialdemokratiet,60
Slotskredsen,"5. 11. Kreds, Lindevang",Helle Thorning-Schmidt,Socialdemokratiet,783
Slotskredsen,"5. 11. Kreds, Lindevang",Kristian Westfall,Socialdemokratiet,0
Slotskredsen,"5. 11. Kreds, Lindevang",Partiliste,Radikale Venstre,329
Slotskredsen,"5. 11. Kreds, Lindevang",Karsten Lauritsen,Radikale Venstre,9
Slotskredsen,"5. 11. Kreds, Lindevang",Samira Nawa Amini,Radikale Venstre,32
Slotskredsen,"5. 11. Kreds, Lindevang",Ida Auken,Radikale Venstre,205
Slotskredsen,"5. 11. Kreds, Lindevang",Søren Burcharth,Radikale Venstre,3
Slotskredsen,"5. 11. Kreds, Lindevang",Sophie Danneris,Radikale Venstre,7
Slotskredsen,"5. 11. Kreds, Lindevang",Pernille Boye Koch,Radikale Venstre,17
Slotskredsen,"5. 11. Kreds, Lindevang",Lone Loklindt,Radikale Venstre,38
Slotskredsen,"5. 11. Kreds, Lindevang",Mia Nyegaard,Radikale Venstre,20
Slotskredsen,"5. 11. Kreds, Lindevang",Manu Sareen,Radikale Venstre,95
Slotskredsen,"5. 11. Kreds, Lindevang",Christian Scharling,Radikale Venstre,3
Slotskredsen,"5. 11. Kreds, Lindevang",André Just Vedgren,Radikale Venstre,4
Slotskredsen,"5. 11. Kreds, Lindevang",Niels Wanning,Radikale Venstre,3
Slotskredsen,"5. 11. Kreds, Lindevang",Partiliste,Det Konservative Folkeparti,247
Slotskredsen,"5. 11. Kreds, Lindevang",Lars Barfoed,Det Konservative Folkeparti,154
Slotskredsen,"5. 11. Kreds, Lindevang",Helle Bonnesen,Det Konservative Folkeparti,39
Slotskredsen,"5. 11. Kreds, Lindevang",Anne Ginderskov Hansen,Det Konservative Folkeparti,29
Slotskredsen,"5. 11. Kreds, Lindevang",Josefine Kofoed,Det Konservative Folkeparti,32
Slotskredsen,"5. 11. Kreds, Lindevang",Søren-Michael Pihl,Det Konservative Folkeparti,7
Slotskredsen,"5. 11. Kreds, Lindevang",Partiliste,SF - Socialistisk Folkeparti,149
Slotskredsen,"5. 11. Kreds, Lindevang",Pia Olsen Dyhr,SF - Socialistisk Folkeparti,178
Slotskredsen,"5. 11. Kreds, Lindevang",Balder Mørk Andersen,SF - Socialistisk Folkeparti,16
Slotskredsen,"5. 11. Kreds, Lindevang",Neil Bloem,SF - Socialistisk Folkeparti,7
Slotskredsen,"5. 11. Kreds, Lindevang",Özlem Sara Cekic,SF - Socialistisk Folkeparti,89
Slotskredsen,"5. 11. Kreds, Lindevang",Leif Donbæk,SF - Socialistisk Folkeparti,0
Slotskredsen,"5. 11. Kreds, Lindevang",Kathrine Jensen,SF - Socialistisk Folkeparti,3
Slotskredsen,"5. 11. Kreds, Lindevang",Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,2
Slotskredsen,"5. 11. Kreds, Lindevang",Klaus Mygind,SF - Socialistisk Folkeparti,0
Slotskredsen,"5. 11. Kreds, Lindevang",Jonas Niemann,SF - Socialistisk Folkeparti,2
Slotskredsen,"5. 11. Kreds, Lindevang",Halime Oguz,SF - Socialistisk Folkeparti,0
Slotskredsen,"5. 11. Kreds, Lindevang",Kirsten Sloth,SF - Socialistisk Folkeparti,4
Slotskredsen,"5. 11. Kreds, Lindevang",Sisse Marie Welling,SF - Socialistisk Folkeparti,8
Slotskredsen,"5. 11. Kreds, Lindevang",Partiliste,Liberal Alliance,533
Slotskredsen,"5. 11. Kreds, Lindevang",Laura Lindahl,Liberal Alliance,127
Slotskredsen,"5. 11. Kreds, Lindevang",Simon Emil Ammitzbøll,Liberal Alliance,150
Slotskredsen,"5. 11. Kreds, Lindevang",Karina Bergmann,Liberal Alliance,7
Slotskredsen,"5. 11. Kreds, Lindevang",Rasmus Boserup,Liberal Alliance,4
Slotskredsen,"5. 11. Kreds, Lindevang",Patrick Donovan,Liberal Alliance,10
Slotskredsen,"5. 11. Kreds, Lindevang",Søren Juliussen,Liberal Alliance,9
Slotskredsen,"5. 11. Kreds, Lindevang",Kasper Heumann Kristensen,Liberal Alliance,12
Slotskredsen,"5. 11. Kreds, Lindevang",Danny K. Malkowski,Liberal Alliance,22
Slotskredsen,"5. 11. Kreds, Lindevang",Partiliste,Kristendemokraterne,21
Slotskredsen,"5. 11. Kreds, Lindevang",Bess Serner-Pedersen,Kristendemokraterne,3
Slotskredsen,"5. 11. Kreds, Lindevang",Henrik Howardsen,Kristendemokraterne,3
Slotskredsen,"5. 11. Kreds, Lindevang",Sølve Jønsson,Kristendemokraterne,0
Slotskredsen,"5. 11. Kreds, Lindevang",Ingrid Feldbæk Wredstrøm,Kristendemokraterne,4
Slotskredsen,"5. 11. Kreds, Lindevang",Partiliste,Dansk Folkeparti,576
Slotskredsen,"5. 11. Kreds, Lindevang",Jette Dali,Dansk Folkeparti,28
Slotskredsen,"5. 11. Kreds, Lindevang",Preben Bille Brahe,Dansk Folkeparti,9
Slotskredsen,"5. 11. Kreds, Lindevang",Morten Dreyer,Dansk Folkeparti,10
Slotskredsen,"5. 11. Kreds, Lindevang",Søren Lund Hansen,Dansk Folkeparti,2
Slotskredsen,"5. 11. Kreds, Lindevang",Martin Henriksen,Dansk Folkeparti,47
Slotskredsen,"5. 11. Kreds, Lindevang",Paw Karslund,Dansk Folkeparti,4
Slotskredsen,"5. 11. Kreds, Lindevang",Else-Marie Madsen,Dansk Folkeparti,1
Slotskredsen,"5. 11. Kreds, Lindevang",Githa Nelander,Dansk Folkeparti,5
Slotskredsen,"5. 11. Kreds, Lindevang",Finn Rudaizky,Dansk Folkeparti,13
Slotskredsen,"5. 11. Kreds, Lindevang",Peter Skaarup,Dansk Folkeparti,289
Slotskredsen,"5. 11. Kreds, Lindevang",Karin Storgaard,Dansk Folkeparti,8
Slotskredsen,"5. 11. Kreds, Lindevang",Jens Vornøe,Dansk Folkeparti,1
Slotskredsen,"5. 11. Kreds, Lindevang",Partiliste,"Venstre, Danmarks Liberale Parti",605
Slotskredsen,"5. 11. Kreds, Lindevang",Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",216
