Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,Socialdemokratiet,274
Tårnbykredsen,1. Dragør Skole Syd,Peter Hummelgaard Thomsen,Socialdemokratiet,69
Tårnbykredsen,1. Dragør Skole Syd,Yildiz Akdogan,Socialdemokratiet,10
Tårnbykredsen,1. Dragør Skole Syd,Ditte Brøndum,Socialdemokratiet,3
Tårnbykredsen,1. Dragør Skole Syd,Sine Heltberg,Socialdemokratiet,1
Tårnbykredsen,1. Dragør Skole Syd,Özkan Kocak,Socialdemokratiet,2
Tårnbykredsen,1. Dragør Skole Syd,Bo Kømler,Socialdemokratiet,0
Tårnbykredsen,1. Dragør Skole Syd,Lars Aslan Rasmussen,Socialdemokratiet,6
Tårnbykredsen,1. Dragør Skole Syd,Mette Reissmann,Socialdemokratiet,13
Tårnbykredsen,1. Dragør Skole Syd,Dennis Schnell-Lauritzen,Socialdemokratiet,1
Tårnbykredsen,1. Dragør Skole Syd,Simon Simonsen,Socialdemokratiet,1
Tårnbykredsen,1. Dragør Skole Syd,Helle Thorning-Schmidt,Socialdemokratiet,390
Tårnbykredsen,1. Dragør Skole Syd,Kristian Westfall,Socialdemokratiet,0
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,Radikale Venstre,73
Tårnbykredsen,1. Dragør Skole Syd,Christian Scharling,Radikale Venstre,5
Tårnbykredsen,1. Dragør Skole Syd,Samira Nawa Amini,Radikale Venstre,5
Tårnbykredsen,1. Dragør Skole Syd,Ida Auken,Radikale Venstre,77
Tårnbykredsen,1. Dragør Skole Syd,Søren Burcharth,Radikale Venstre,0
Tårnbykredsen,1. Dragør Skole Syd,Sophie Danneris,Radikale Venstre,4
Tårnbykredsen,1. Dragør Skole Syd,Pernille Boye Koch,Radikale Venstre,2
Tårnbykredsen,1. Dragør Skole Syd,Karsten Lauritsen,Radikale Venstre,0
Tårnbykredsen,1. Dragør Skole Syd,Lone Loklindt,Radikale Venstre,4
Tårnbykredsen,1. Dragør Skole Syd,Mia Nyegaard,Radikale Venstre,2
Tårnbykredsen,1. Dragør Skole Syd,Manu Sareen,Radikale Venstre,28
Tårnbykredsen,1. Dragør Skole Syd,André Just Vedgren,Radikale Venstre,0
Tårnbykredsen,1. Dragør Skole Syd,Niels Wanning,Radikale Venstre,0
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,Det Konservative Folkeparti,117
Tårnbykredsen,1. Dragør Skole Syd,Josefine Kofoed,Det Konservative Folkeparti,52
Tårnbykredsen,1. Dragør Skole Syd,Lars Barfoed,Det Konservative Folkeparti,29
Tårnbykredsen,1. Dragør Skole Syd,Helle Bonnesen,Det Konservative Folkeparti,37
Tårnbykredsen,1. Dragør Skole Syd,Anne Ginderskov Hansen,Det Konservative Folkeparti,11
Tårnbykredsen,1. Dragør Skole Syd,Søren-Michael Pihl,Det Konservative Folkeparti,1
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,SF - Socialistisk Folkeparti,48
Tårnbykredsen,1. Dragør Skole Syd,Sisse Marie Welling,SF - Socialistisk Folkeparti,3
Tårnbykredsen,1. Dragør Skole Syd,Balder Mørk Andersen,SF - Socialistisk Folkeparti,1
Tårnbykredsen,1. Dragør Skole Syd,Neil Bloem,SF - Socialistisk Folkeparti,0
Tårnbykredsen,1. Dragør Skole Syd,Özlem Sara Cekic,SF - Socialistisk Folkeparti,22
Tårnbykredsen,1. Dragør Skole Syd,Leif Donbæk,SF - Socialistisk Folkeparti,0
Tårnbykredsen,1. Dragør Skole Syd,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,40
Tårnbykredsen,1. Dragør Skole Syd,Kathrine Jensen,SF - Socialistisk Folkeparti,0
Tårnbykredsen,1. Dragør Skole Syd,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,4
Tårnbykredsen,1. Dragør Skole Syd,Klaus Mygind,SF - Socialistisk Folkeparti,0
Tårnbykredsen,1. Dragør Skole Syd,Jonas Niemann,SF - Socialistisk Folkeparti,0
Tårnbykredsen,1. Dragør Skole Syd,Halime Oguz,SF - Socialistisk Folkeparti,0
Tårnbykredsen,1. Dragør Skole Syd,Kirsten Sloth,SF - Socialistisk Folkeparti,0
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,Liberal Alliance,270
Tårnbykredsen,1. Dragør Skole Syd,Simon Emil Ammitzbøll,Liberal Alliance,131
Tårnbykredsen,1. Dragør Skole Syd,Karina Bergmann,Liberal Alliance,9
Tårnbykredsen,1. Dragør Skole Syd,Rasmus Boserup,Liberal Alliance,0
Tårnbykredsen,1. Dragør Skole Syd,Patrick Donovan,Liberal Alliance,2
Tårnbykredsen,1. Dragør Skole Syd,Søren Juliussen,Liberal Alliance,1
Tårnbykredsen,1. Dragør Skole Syd,Kasper Heumann Kristensen,Liberal Alliance,2
Tårnbykredsen,1. Dragør Skole Syd,Laura Lindahl,Liberal Alliance,39
Tårnbykredsen,1. Dragør Skole Syd,Danny K. Malkowski,Liberal Alliance,4
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,Kristendemokraterne,2
Tårnbykredsen,1. Dragør Skole Syd,Henrik Howardsen,Kristendemokraterne,1
Tårnbykredsen,1. Dragør Skole Syd,Sølve Jønsson,Kristendemokraterne,0
Tårnbykredsen,1. Dragør Skole Syd,Bess Serner-Pedersen,Kristendemokraterne,0
Tårnbykredsen,1. Dragør Skole Syd,Ingrid Feldbæk Wredstrøm,Kristendemokraterne,0
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,Dansk Folkeparti,303
Tårnbykredsen,1. Dragør Skole Syd,Martin Henriksen,Dansk Folkeparti,89
Tårnbykredsen,1. Dragør Skole Syd,Preben Bille Brahe,Dansk Folkeparti,0
Tårnbykredsen,1. Dragør Skole Syd,Jette Dali,Dansk Folkeparti,1
Tårnbykredsen,1. Dragør Skole Syd,Morten Dreyer,Dansk Folkeparti,64
Tårnbykredsen,1. Dragør Skole Syd,Søren Lund Hansen,Dansk Folkeparti,1
Tårnbykredsen,1. Dragør Skole Syd,Paw Karslund,Dansk Folkeparti,12
Tårnbykredsen,1. Dragør Skole Syd,Else-Marie Madsen,Dansk Folkeparti,2
Tårnbykredsen,1. Dragør Skole Syd,Githa Nelander,Dansk Folkeparti,1
Tårnbykredsen,1. Dragør Skole Syd,Finn Rudaizky,Dansk Folkeparti,2
Tårnbykredsen,1. Dragør Skole Syd,Peter Skaarup,Dansk Folkeparti,91
Tårnbykredsen,1. Dragør Skole Syd,Karin Storgaard,Dansk Folkeparti,2
Tårnbykredsen,1. Dragør Skole Syd,Jens Vornøe,Dansk Folkeparti,5
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,"Venstre, Danmarks Liberale Parti",423
Tårnbykredsen,1. Dragør Skole Syd,Martin Geertsen,"Venstre, Danmarks Liberale Parti",105
Tårnbykredsen,1. Dragør Skole Syd,Colette Brix,"Venstre, Danmarks Liberale Parti",8
Tårnbykredsen,1. Dragør Skole Syd,Michael Jellesmark,"Venstre, Danmarks Liberale Parti",3
Tårnbykredsen,1. Dragør Skole Syd,Karina Rohrberg Jessen,"Venstre, Danmarks Liberale Parti",17
Tårnbykredsen,1. Dragør Skole Syd,Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",35
Tårnbykredsen,1. Dragør Skole Syd,Michael Lange,"Venstre, Danmarks Liberale Parti",3
Tårnbykredsen,1. Dragør Skole Syd,Anahita Malakians,"Venstre, Danmarks Liberale Parti",0
Tårnbykredsen,1. Dragør Skole Syd,Søren Pind,"Venstre, Danmarks Liberale Parti",129
Tårnbykredsen,1. Dragør Skole Syd,Uffe Ploug,"Venstre, Danmarks Liberale Parti",0
Tårnbykredsen,1. Dragør Skole Syd,Sven Aage Schlosrich,"Venstre, Danmarks Liberale Parti",0
Tårnbykredsen,1. Dragør Skole Syd,Kåre Traberg Smidt,"Venstre, Danmarks Liberale Parti",4
Tårnbykredsen,1. Dragør Skole Syd,Søren Sørensen,"Venstre, Danmarks Liberale Parti",0
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,Enhedslisten - De Rød-Grønne,47
Tårnbykredsen,1. Dragør Skole Syd,Sarah Glerup,Enhedslisten - De Rød-Grønne,2
Tårnbykredsen,1. Dragør Skole Syd,Johanne Schmidt-Nielsen,Enhedslisten - De Rød-Grønne,115
Tårnbykredsen,1. Dragør Skole Syd,Finn Sørensen,Enhedslisten - De Rød-Grønne,4
Tårnbykredsen,1. Dragør Skole Syd,Pelle Dragsted,Enhedslisten - De Rød-Grønne,4
Tårnbykredsen,1. Dragør Skole Syd,Rosa Lund,Enhedslisten - De Rød-Grønne,2
Tårnbykredsen,1. Dragør Skole Syd,Jette Gottlieb,Enhedslisten - De Rød-Grønne,3
Tårnbykredsen,1. Dragør Skole Syd,Jørgen Arbo-Bæhr,Enhedslisten - De Rød-Grønne,0
Tårnbykredsen,1. Dragør Skole Syd,Ninosca Victoria R. Velásquez,Enhedslisten - De Rød-Grønne,0
Tårnbykredsen,1. Dragør Skole Syd,Mads Paulsen,Enhedslisten - De Rød-Grønne,0
Tårnbykredsen,1. Dragør Skole Syd,Thyge Enevoldsen,Enhedslisten - De Rød-Grønne,0
Tårnbykredsen,1. Dragør Skole Syd,Gunna Starck,Enhedslisten - De Rød-Grønne,0
Tårnbykredsen,1. Dragør Skole Syd,Katrine Toft Mikkelsen,Enhedslisten - De Rød-Grønne,1
Tårnbykredsen,1. Dragør Skole Syd,Partiliste,Alternativet,49
Tårnbykredsen,1. Dragør Skole Syd,Uffe Elbæk,Alternativet,64
Tårnbykredsen,1. Dragør Skole Syd,Uzma Ahmed,Alternativet,3
Tårnbykredsen,1. Dragør Skole Syd,Nilas Bay-Foged,Alternativet,0
Tårnbykredsen,1. Dragør Skole Syd,Rolf Bjerre,Alternativet,0
Tårnbykredsen,1. Dragør Skole Syd,Morten Ellehauge,Alternativet,0
Tårnbykredsen,1. Dragør Skole Syd,Erik Valentin Fischer,Alternativet,1
Tårnbykredsen,1. Dragør Skole Syd,Rune Lundgaard Jørgensen,Alternativet,0
Tårnbykredsen,1. Dragør Skole Syd,Jan Kristoffersen,Alternativet,0
Tårnbykredsen,1. Dragør Skole Syd,Carolina Magdalene Maier,Alternativet,3
Tårnbykredsen,1. Dragør Skole Syd,Jacob Fuglsang Mikkelsen,Alternativet,1
Tårnbykredsen,1. Dragør Skole Syd,Franciska Rosenkilde,Alternativet,3
Tårnbykredsen,1. Dragør Skole Syd,Rune Wingård,Alternativet,0
Tårnbykredsen,1. Dragør Skole Syd,Kashif Ahmad,(Uden for parti),1
Tårnbykredsen,1. Dragør Skole Syd,Jan Elkjær,(Uden for parti),0
Tårnbykredsen,1. Dragør Skole Syd,Tom Gillesberg,(Uden for parti),0
Tårnbykredsen,1. Dragør Skole Syd,John Erik Wagner,(Uden for parti),0
Tårnbykredsen,1. Vestamager,Partiliste,Socialdemokratiet,373
Tårnbykredsen,1. Vestamager,Peter Hummelgaard Thomsen,Socialdemokratiet,153
Tårnbykredsen,1. Vestamager,Yildiz Akdogan,Socialdemokratiet,18
Tårnbykredsen,1. Vestamager,Ditte Brøndum,Socialdemokratiet,8
Tårnbykredsen,1. Vestamager,Sine Heltberg,Socialdemokratiet,3
Tårnbykredsen,1. Vestamager,Özkan Kocak,Socialdemokratiet,3
Tårnbykredsen,1. Vestamager,Bo Kømler,Socialdemokratiet,1
Tårnbykredsen,1. Vestamager,Lars Aslan Rasmussen,Socialdemokratiet,7
Tårnbykredsen,1. Vestamager,Mette Reissmann,Socialdemokratiet,27
Tårnbykredsen,1. Vestamager,Dennis Schnell-Lauritzen,Socialdemokratiet,4
Tårnbykredsen,1. Vestamager,Simon Simonsen,Socialdemokratiet,1
Tårnbykredsen,1. Vestamager,Helle Thorning-Schmidt,Socialdemokratiet,354
Tårnbykredsen,1. Vestamager,Kristian Westfall,Socialdemokratiet,2
Tårnbykredsen,1. Vestamager,Partiliste,Radikale Venstre,51
Tårnbykredsen,1. Vestamager,Christian Scharling,Radikale Venstre,1
Tårnbykredsen,1. Vestamager,Samira Nawa Amini,Radikale Venstre,9
Tårnbykredsen,1. Vestamager,Ida Auken,Radikale Venstre,31
Tårnbykredsen,1. Vestamager,Søren Burcharth,Radikale Venstre,0
Tårnbykredsen,1. Vestamager,Sophie Danneris,Radikale Venstre,2
Tårnbykredsen,1. Vestamager,Pernille Boye Koch,Radikale Venstre,1
Tårnbykredsen,1. Vestamager,Karsten Lauritsen,Radikale Venstre,0
