Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Valbykredsen,42. 8. Valby,Partiliste,Socialdemokratiet,673
Valbykredsen,42. 8. Valby,Mette Reissmann,Socialdemokratiet,177
Valbykredsen,42. 8. Valby,Yildiz Akdogan,Socialdemokratiet,66
Valbykredsen,42. 8. Valby,Ditte Brøndum,Socialdemokratiet,1
Valbykredsen,42. 8. Valby,Sine Heltberg,Socialdemokratiet,2
Valbykredsen,42. 8. Valby,Özkan Kocak,Socialdemokratiet,11
Valbykredsen,42. 8. Valby,Bo Kømler,Socialdemokratiet,0
Valbykredsen,42. 8. Valby,Lars Aslan Rasmussen,Socialdemokratiet,27
Valbykredsen,42. 8. Valby,Dennis Schnell-Lauritzen,Socialdemokratiet,9
Valbykredsen,42. 8. Valby,Simon Simonsen,Socialdemokratiet,5
Valbykredsen,42. 8. Valby,Peter Hummelgaard Thomsen,Socialdemokratiet,49
Valbykredsen,42. 8. Valby,Helle Thorning-Schmidt,Socialdemokratiet,691
Valbykredsen,42. 8. Valby,Kristian Westfall,Socialdemokratiet,2
Valbykredsen,42. 8. Valby,Partiliste,Radikale Venstre,263
Valbykredsen,42. 8. Valby,Niels Wanning,Radikale Venstre,4
Valbykredsen,42. 8. Valby,Samira Nawa Amini,Radikale Venstre,24
Valbykredsen,42. 8. Valby,Ida Auken,Radikale Venstre,170
Valbykredsen,42. 8. Valby,Søren Burcharth,Radikale Venstre,1
Valbykredsen,42. 8. Valby,Sophie Danneris,Radikale Venstre,6
Valbykredsen,42. 8. Valby,Pernille Boye Koch,Radikale Venstre,14
Valbykredsen,42. 8. Valby,Karsten Lauritsen,Radikale Venstre,3
Valbykredsen,42. 8. Valby,Lone Loklindt,Radikale Venstre,8
Valbykredsen,42. 8. Valby,Mia Nyegaard,Radikale Venstre,7
Valbykredsen,42. 8. Valby,Manu Sareen,Radikale Venstre,77
Valbykredsen,42. 8. Valby,Christian Scharling,Radikale Venstre,0
Valbykredsen,42. 8. Valby,André Just Vedgren,Radikale Venstre,3
Valbykredsen,42. 8. Valby,Partiliste,Det Konservative Folkeparti,101
Valbykredsen,42. 8. Valby,Søren-Michael Pihl,Det Konservative Folkeparti,7
Valbykredsen,42. 8. Valby,Lars Barfoed,Det Konservative Folkeparti,43
Valbykredsen,42. 8. Valby,Helle Bonnesen,Det Konservative Folkeparti,21
Valbykredsen,42. 8. Valby,Anne Ginderskov Hansen,Det Konservative Folkeparti,29
Valbykredsen,42. 8. Valby,Josefine Kofoed,Det Konservative Folkeparti,14
Valbykredsen,42. 8. Valby,Partiliste,SF - Socialistisk Folkeparti,183
Valbykredsen,42. 8. Valby,Sisse Marie Welling,SF - Socialistisk Folkeparti,18
Valbykredsen,42. 8. Valby,Balder Mørk Andersen,SF - Socialistisk Folkeparti,4
Valbykredsen,42. 8. Valby,Neil Bloem,SF - Socialistisk Folkeparti,5
Valbykredsen,42. 8. Valby,Özlem Sara Cekic,SF - Socialistisk Folkeparti,105
Valbykredsen,42. 8. Valby,Leif Donbæk,SF - Socialistisk Folkeparti,2
Valbykredsen,42. 8. Valby,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,165
Valbykredsen,42. 8. Valby,Kathrine Jensen,SF - Socialistisk Folkeparti,1
Valbykredsen,42. 8. Valby,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,8
Valbykredsen,42. 8. Valby,Klaus Mygind,SF - Socialistisk Folkeparti,1
Valbykredsen,42. 8. Valby,Jonas Niemann,SF - Socialistisk Folkeparti,2
Valbykredsen,42. 8. Valby,Halime Oguz,SF - Socialistisk Folkeparti,0
Valbykredsen,42. 8. Valby,Kirsten Sloth,SF - Socialistisk Folkeparti,1
Valbykredsen,42. 8. Valby,Partiliste,Liberal Alliance,386
Valbykredsen,42. 8. Valby,Laura Lindahl,Liberal Alliance,51
Valbykredsen,42. 8. Valby,Simon Emil Ammitzbøll,Liberal Alliance,91
Valbykredsen,42. 8. Valby,Karina Bergmann,Liberal Alliance,5
Valbykredsen,42. 8. Valby,Rasmus Boserup,Liberal Alliance,1
Valbykredsen,42. 8. Valby,Patrick Donovan,Liberal Alliance,5
Valbykredsen,42. 8. Valby,Søren Juliussen,Liberal Alliance,5
Valbykredsen,42. 8. Valby,Kasper Heumann Kristensen,Liberal Alliance,5
Valbykredsen,42. 8. Valby,Danny K. Malkowski,Liberal Alliance,9
Valbykredsen,42. 8. Valby,Partiliste,Kristendemokraterne,19
Valbykredsen,42. 8. Valby,Henrik Howardsen,Kristendemokraterne,3
Valbykredsen,42. 8. Valby,Sølve Jønsson,Kristendemokraterne,1
Valbykredsen,42. 8. Valby,Bess Serner-Pedersen,Kristendemokraterne,5
Valbykredsen,42. 8. Valby,Ingrid Feldbæk Wredstrøm,Kristendemokraterne,7
Valbykredsen,42. 8. Valby,Partiliste,Dansk Folkeparti,582
Valbykredsen,42. 8. Valby,Preben Bille Brahe,Dansk Folkeparti,9
Valbykredsen,42. 8. Valby,Jette Dali,Dansk Folkeparti,9
Valbykredsen,42. 8. Valby,Morten Dreyer,Dansk Folkeparti,8
Valbykredsen,42. 8. Valby,Søren Lund Hansen,Dansk Folkeparti,3
Valbykredsen,42. 8. Valby,Martin Henriksen,Dansk Folkeparti,33
Valbykredsen,42. 8. Valby,Paw Karslund,Dansk Folkeparti,5
Valbykredsen,42. 8. Valby,Else-Marie Madsen,Dansk Folkeparti,5
Valbykredsen,42. 8. Valby,Githa Nelander,Dansk Folkeparti,4
Valbykredsen,42. 8. Valby,Finn Rudaizky,Dansk Folkeparti,6
Valbykredsen,42. 8. Valby,Peter Skaarup,Dansk Folkeparti,160
Valbykredsen,42. 8. Valby,Karin Storgaard,Dansk Folkeparti,10
Valbykredsen,42. 8. Valby,Jens Vornøe,Dansk Folkeparti,4
Valbykredsen,42. 8. Valby,Partiliste,"Venstre, Danmarks Liberale Parti",479
Valbykredsen,42. 8. Valby,Colette Brix,"Venstre, Danmarks Liberale Parti",10
Valbykredsen,42. 8. Valby,Martin Geertsen,"Venstre, Danmarks Liberale Parti",32
Valbykredsen,42. 8. Valby,Michael Jellesmark,"Venstre, Danmarks Liberale Parti",3
Valbykredsen,42. 8. Valby,Karina Rohrberg Jessen,"Venstre, Danmarks Liberale Parti",14
Valbykredsen,42. 8. Valby,Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",46
Valbykredsen,42. 8. Valby,Michael Lange,"Venstre, Danmarks Liberale Parti",6
Valbykredsen,42. 8. Valby,Anahita Malakians,"Venstre, Danmarks Liberale Parti",3
Valbykredsen,42. 8. Valby,Søren Pind,"Venstre, Danmarks Liberale Parti",99
Valbykredsen,42. 8. Valby,Uffe Ploug,"Venstre, Danmarks Liberale Parti",0
Valbykredsen,42. 8. Valby,Sven Aage Schlosrich,"Venstre, Danmarks Liberale Parti",1
Valbykredsen,42. 8. Valby,Kåre Traberg Smidt,"Venstre, Danmarks Liberale Parti",13
Valbykredsen,42. 8. Valby,Søren Sørensen,"Venstre, Danmarks Liberale Parti",1
Valbykredsen,42. 8. Valby,Partiliste,Enhedslisten - De Rød-Grønne,296
Valbykredsen,42. 8. Valby,Jørgen Arbo-Bæhr,Enhedslisten - De Rød-Grønne,9
Valbykredsen,42. 8. Valby,Johanne Schmidt-Nielsen,Enhedslisten - De Rød-Grønne,594
Valbykredsen,42. 8. Valby,Finn Sørensen,Enhedslisten - De Rød-Grønne,13
Valbykredsen,42. 8. Valby,Pelle Dragsted,Enhedslisten - De Rød-Grønne,39
Valbykredsen,42. 8. Valby,Rosa Lund,Enhedslisten - De Rød-Grønne,20
Valbykredsen,42. 8. Valby,Jette Gottlieb,Enhedslisten - De Rød-Grønne,10
Valbykredsen,42. 8. Valby,Sarah Glerup,Enhedslisten - De Rød-Grønne,11
Valbykredsen,42. 8. Valby,Ninosca Victoria R. Velásquez,Enhedslisten - De Rød-Grønne,3
Valbykredsen,42. 8. Valby,Mads Paulsen,Enhedslisten - De Rød-Grønne,3
Valbykredsen,42. 8. Valby,Thyge Enevoldsen,Enhedslisten - De Rød-Grønne,0
Valbykredsen,42. 8. Valby,Gunna Starck,Enhedslisten - De Rød-Grønne,1
Valbykredsen,42. 8. Valby,Katrine Toft Mikkelsen,Enhedslisten - De Rød-Grønne,4
Valbykredsen,42. 8. Valby,Partiliste,Alternativet,292
Valbykredsen,42. 8. Valby,Uffe Elbæk,Alternativet,242
Valbykredsen,42. 8. Valby,Uzma Ahmed,Alternativet,9
Valbykredsen,42. 8. Valby,Nilas Bay-Foged,Alternativet,4
Valbykredsen,42. 8. Valby,Rolf Bjerre,Alternativet,8
Valbykredsen,42. 8. Valby,Morten Ellehauge,Alternativet,6
Valbykredsen,42. 8. Valby,Erik Valentin Fischer,Alternativet,0
Valbykredsen,42. 8. Valby,Rune Lundgaard Jørgensen,Alternativet,4
Valbykredsen,42. 8. Valby,Jan Kristoffersen,Alternativet,3
Valbykredsen,42. 8. Valby,Carolina Magdalene Maier,Alternativet,19
Valbykredsen,42. 8. Valby,Jacob Fuglsang Mikkelsen,Alternativet,4
Valbykredsen,42. 8. Valby,Franciska Rosenkilde,Alternativet,9
Valbykredsen,42. 8. Valby,Rune Wingård,Alternativet,9
Valbykredsen,42. 8. Valby,Kashif Ahmad,(Uden for parti),15
Valbykredsen,42. 8. Valby,Jan Elkjær,(Uden for parti),1
Valbykredsen,42. 8. Valby,Tom Gillesberg,(Uden for parti),1
Valbykredsen,42. 8. Valby,John Erik Wagner,(Uden for parti),1
Valbykredsen,43. 8. Nord,Partiliste,Socialdemokratiet,640
Valbykredsen,43. 8. Nord,Mette Reissmann,Socialdemokratiet,171
Valbykredsen,43. 8. Nord,Yildiz Akdogan,Socialdemokratiet,54
Valbykredsen,43. 8. Nord,Ditte Brøndum,Socialdemokratiet,2
Valbykredsen,43. 8. Nord,Sine Heltberg,Socialdemokratiet,7
Valbykredsen,43. 8. Nord,Özkan Kocak,Socialdemokratiet,14
Valbykredsen,43. 8. Nord,Bo Kømler,Socialdemokratiet,0
Valbykredsen,43. 8. Nord,Lars Aslan Rasmussen,Socialdemokratiet,19
Valbykredsen,43. 8. Nord,Dennis Schnell-Lauritzen,Socialdemokratiet,5
Valbykredsen,43. 8. Nord,Simon Simonsen,Socialdemokratiet,3
Valbykredsen,43. 8. Nord,Peter Hummelgaard Thomsen,Socialdemokratiet,43
Valbykredsen,43. 8. Nord,Helle Thorning-Schmidt,Socialdemokratiet,631
Valbykredsen,43. 8. Nord,Kristian Westfall,Socialdemokratiet,8
Valbykredsen,43. 8. Nord,Partiliste,Radikale Venstre,304
Valbykredsen,43. 8. Nord,Niels Wanning,Radikale Venstre,9
Valbykredsen,43. 8. Nord,Samira Nawa Amini,Radikale Venstre,28
Valbykredsen,43. 8. Nord,Ida Auken,Radikale Venstre,200
Valbykredsen,43. 8. Nord,Søren Burcharth,Radikale Venstre,2
Valbykredsen,43. 8. Nord,Sophie Danneris,Radikale Venstre,3
Valbykredsen,43. 8. Nord,Pernille Boye Koch,Radikale Venstre,12
Valbykredsen,43. 8. Nord,Karsten Lauritsen,Radikale Venstre,6
Valbykredsen,43. 8. Nord,Lone Loklindt,Radikale Venstre,13
Valbykredsen,43. 8. Nord,Mia Nyegaard,Radikale Venstre,9
Valbykredsen,43. 8. Nord,Manu Sareen,Radikale Venstre,85
Valbykredsen,43. 8. Nord,Christian Scharling,Radikale Venstre,4
Valbykredsen,43. 8. Nord,André Just Vedgren,Radikale Venstre,7
Valbykredsen,43. 8. Nord,Partiliste,Det Konservative Folkeparti,101
Valbykredsen,43. 8. Nord,Søren-Michael Pihl,Det Konservative Folkeparti,11
Valbykredsen,43. 8. Nord,Lars Barfoed,Det Konservative Folkeparti,24
Valbykredsen,43. 8. Nord,Helle Bonnesen,Det Konservative Folkeparti,17
Valbykredsen,43. 8. Nord,Anne Ginderskov Hansen,Det Konservative Folkeparti,21
Valbykredsen,43. 8. Nord,Josefine Kofoed,Det Konservative Folkeparti,14
Valbykredsen,43. 8. Nord,Partiliste,SF - Socialistisk Folkeparti,179
Valbykredsen,43. 8. Nord,Sisse Marie Welling,SF - Socialistisk Folkeparti,21
Valbykredsen,43. 8. Nord,Balder Mørk Andersen,SF - Socialistisk Folkeparti,12
Valbykredsen,43. 8. Nord,Neil Bloem,SF - Socialistisk Folkeparti,19
Valbykredsen,43. 8. Nord,Özlem Sara Cekic,SF - Socialistisk Folkeparti,116
Valbykredsen,43. 8. Nord,Leif Donbæk,SF - Socialistisk Folkeparti,2
Valbykredsen,43. 8. Nord,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,167
Valbykredsen,43. 8. Nord,Kathrine Jensen,SF - Socialistisk Folkeparti,4
Valbykredsen,43. 8. Nord,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,8
Valbykredsen,43. 8. Nord,Klaus Mygind,SF - Socialistisk Folkeparti,3
Valbykredsen,43. 8. Nord,Jonas Niemann,SF - Socialistisk Folkeparti,3
Valbykredsen,43. 8. Nord,Halime Oguz,SF - Socialistisk Folkeparti,1
Valbykredsen,43. 8. Nord,Kirsten Sloth,SF - Socialistisk Folkeparti,1
Valbykredsen,43. 8. Nord,Partiliste,Liberal Alliance,471
Valbykredsen,43. 8. Nord,Laura Lindahl,Liberal Alliance,53
Valbykredsen,43. 8. Nord,Simon Emil Ammitzbøll,Liberal Alliance,113
Valbykredsen,43. 8. Nord,Karina Bergmann,Liberal Alliance,4
Valbykredsen,43. 8. Nord,Rasmus Boserup,Liberal Alliance,3
Valbykredsen,43. 8. Nord,Patrick Donovan,Liberal Alliance,3
Valbykredsen,43. 8. Nord,Søren Juliussen,Liberal Alliance,0
Valbykredsen,43. 8. Nord,Kasper Heumann Kristensen,Liberal Alliance,9
Valbykredsen,43. 8. Nord,Danny K. Malkowski,Liberal Alliance,12
Valbykredsen,43. 8. Nord,Partiliste,Kristendemokraterne,18
Valbykredsen,43. 8. Nord,Henrik Howardsen,Kristendemokraterne,8
Valbykredsen,43. 8. Nord,Sølve Jønsson,Kristendemokraterne,0
Valbykredsen,43. 8. Nord,Bess Serner-Pedersen,Kristendemokraterne,4
Valbykredsen,43. 8. Nord,Ingrid Feldbæk Wredstrøm,Kristendemokraterne,3
Valbykredsen,43. 8. Nord,Partiliste,Dansk Folkeparti,571
Valbykredsen,43. 8. Nord,Preben Bille Brahe,Dansk Folkeparti,10
Valbykredsen,43. 8. Nord,Jette Dali,Dansk Folkeparti,8
Valbykredsen,43. 8. Nord,Morten Dreyer,Dansk Folkeparti,4
Valbykredsen,43. 8. Nord,Søren Lund Hansen,Dansk Folkeparti,2
Valbykredsen,43. 8. Nord,Martin Henriksen,Dansk Folkeparti,51
Valbykredsen,43. 8. Nord,Paw Karslund,Dansk Folkeparti,5
Valbykredsen,43. 8. Nord,Else-Marie Madsen,Dansk Folkeparti,5
Valbykredsen,43. 8. Nord,Githa Nelander,Dansk Folkeparti,4
Valbykredsen,43. 8. Nord,Finn Rudaizky,Dansk Folkeparti,7
Valbykredsen,43. 8. Nord,Peter Skaarup,Dansk Folkeparti,191
Valbykredsen,43. 8. Nord,Karin Storgaard,Dansk Folkeparti,6
Valbykredsen,43. 8. Nord,Jens Vornøe,Dansk Folkeparti,3
Valbykredsen,43. 8. Nord,Partiliste,"Venstre, Danmarks Liberale Parti",502
Valbykredsen,43. 8. Nord,Colette Brix,"Venstre, Danmarks Liberale Parti",14
Valbykredsen,43. 8. Nord,Martin Geertsen,"Venstre, Danmarks Liberale Parti",36
Valbykredsen,43. 8. Nord,Michael Jellesmark,"Venstre, Danmarks Liberale Parti",7
Valbykredsen,43. 8. Nord,Karina Rohrberg Jessen,"Venstre, Danmarks Liberale Parti",15
Valbykredsen,43. 8. Nord,Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",53
Valbykredsen,43. 8. Nord,Michael Lange,"Venstre, Danmarks Liberale Parti",5
Valbykredsen,43. 8. Nord,Anahita Malakians,"Venstre, Danmarks Liberale Parti",3
Valbykredsen,43. 8. Nord,Søren Pind,"Venstre, Danmarks Liberale Parti",131
Valbykredsen,43. 8. Nord,Uffe Ploug,"Venstre, Danmarks Liberale Parti",3
Valbykredsen,43. 8. Nord,Sven Aage Schlosrich,"Venstre, Danmarks Liberale Parti",3
Valbykredsen,43. 8. Nord,Kåre Traberg Smidt,"Venstre, Danmarks Liberale Parti",5
Valbykredsen,43. 8. Nord,Søren Sørensen,"Venstre, Danmarks Liberale Parti",0
Valbykredsen,43. 8. Nord,Partiliste,Enhedslisten - De Rød-Grønne,390
Valbykredsen,43. 8. Nord,Jørgen Arbo-Bæhr,Enhedslisten - De Rød-Grønne,3
Valbykredsen,43. 8. Nord,Johanne Schmidt-Nielsen,Enhedslisten - De Rød-Grønne,654
Valbykredsen,43. 8. Nord,Finn Sørensen,Enhedslisten - De Rød-Grønne,18
Valbykredsen,43. 8. Nord,Pelle Dragsted,Enhedslisten - De Rød-Grønne,26
Valbykredsen,43. 8. Nord,Rosa Lund,Enhedslisten - De Rød-Grønne,18
Valbykredsen,43. 8. Nord,Jette Gottlieb,Enhedslisten - De Rød-Grønne,13
Valbykredsen,43. 8. Nord,Sarah Glerup,Enhedslisten - De Rød-Grønne,14
Valbykredsen,43. 8. Nord,Ninosca Victoria R. Velásquez,Enhedslisten - De Rød-Grønne,4
Valbykredsen,43. 8. Nord,Mads Paulsen,Enhedslisten - De Rød-Grønne,5
Valbykredsen,43. 8. Nord,Thyge Enevoldsen,Enhedslisten - De Rød-Grønne,0
Valbykredsen,43. 8. Nord,Gunna Starck,Enhedslisten - De Rød-Grønne,1
Valbykredsen,43. 8. Nord,Katrine Toft Mikkelsen,Enhedslisten - De Rød-Grønne,1
Valbykredsen,43. 8. Nord,Partiliste,Alternativet,375
Valbykredsen,43. 8. Nord,Uffe Elbæk,Alternativet,281
Valbykredsen,43. 8. Nord,Uzma Ahmed,Alternativet,15
Valbykredsen,43. 8. Nord,Nilas Bay-Foged,Alternativet,8
Valbykredsen,43. 8. Nord,Rolf Bjerre,Alternativet,12
Valbykredsen,43. 8. Nord,Morten Ellehauge,Alternativet,1
Valbykredsen,43. 8. Nord,Erik Valentin Fischer,Alternativet,1
Valbykredsen,43. 8. Nord,Rune Lundgaard Jørgensen,Alternativet,4
Valbykredsen,43. 8. Nord,Jan Kristoffersen,Alternativet,1
Valbykredsen,43. 8. Nord,Carolina Magdalene Maier,Alternativet,22
Valbykredsen,43. 8. Nord,Jacob Fuglsang Mikkelsen,Alternativet,3
Valbykredsen,43. 8. Nord,Franciska Rosenkilde,Alternativet,16
Valbykredsen,43. 8. Nord,Rune Wingård,Alternativet,4
Valbykredsen,43. 8. Nord,Kashif Ahmad,(Uden for parti),15
Valbykredsen,43. 8. Nord,Jan Elkjær,(Uden for parti),1
Valbykredsen,43. 8. Nord,Tom Gillesberg,(Uden for parti),2
Valbykredsen,43. 8. Nord,John Erik Wagner,(Uden for parti),0
Valbykredsen,44. 8. Syd,Partiliste,Socialdemokratiet,400
Valbykredsen,44. 8. Syd,Mette Reissmann,Socialdemokratiet,154
Valbykredsen,44. 8. Syd,Yildiz Akdogan,Socialdemokratiet,26
Valbykredsen,44. 8. Syd,Ditte Brøndum,Socialdemokratiet,2
Valbykredsen,44. 8. Syd,Sine Heltberg,Socialdemokratiet,2
Valbykredsen,44. 8. Syd,Özkan Kocak,Socialdemokratiet,10
Valbykredsen,44. 8. Syd,Bo Kømler,Socialdemokratiet,0
Valbykredsen,44. 8. Syd,Lars Aslan Rasmussen,Socialdemokratiet,14
Valbykredsen,44. 8. Syd,Dennis Schnell-Lauritzen,Socialdemokratiet,3
Valbykredsen,44. 8. Syd,Simon Simonsen,Socialdemokratiet,2
Valbykredsen,44. 8. Syd,Peter Hummelgaard Thomsen,Socialdemokratiet,26
Valbykredsen,44. 8. Syd,Helle Thorning-Schmidt,Socialdemokratiet,425
Valbykredsen,44. 8. Syd,Kristian Westfall,Socialdemokratiet,0
Valbykredsen,44. 8. Syd,Partiliste,Radikale Venstre,72
Valbykredsen,44. 8. Syd,Niels Wanning,Radikale Venstre,0
Valbykredsen,44. 8. Syd,Samira Nawa Amini,Radikale Venstre,7
Valbykredsen,44. 8. Syd,Ida Auken,Radikale Venstre,45
Valbykredsen,44. 8. Syd,Søren Burcharth,Radikale Venstre,0
Valbykredsen,44. 8. Syd,Sophie Danneris,Radikale Venstre,3
Valbykredsen,44. 8. Syd,Pernille Boye Koch,Radikale Venstre,3
Valbykredsen,44. 8. Syd,Karsten Lauritsen,Radikale Venstre,1
Valbykredsen,44. 8. Syd,Lone Loklindt,Radikale Venstre,0
Valbykredsen,44. 8. Syd,Mia Nyegaard,Radikale Venstre,6
Valbykredsen,44. 8. Syd,Manu Sareen,Radikale Venstre,28
Valbykredsen,44. 8. Syd,Christian Scharling,Radikale Venstre,2
Valbykredsen,44. 8. Syd,André Just Vedgren,Radikale Venstre,0
Valbykredsen,44. 8. Syd,Partiliste,Det Konservative Folkeparti,45
Valbykredsen,44. 8. Syd,Søren-Michael Pihl,Det Konservative Folkeparti,6
Valbykredsen,44. 8. Syd,Lars Barfoed,Det Konservative Folkeparti,15
Valbykredsen,44. 8. Syd,Helle Bonnesen,Det Konservative Folkeparti,7
Valbykredsen,44. 8. Syd,Anne Ginderskov Hansen,Det Konservative Folkeparti,3
Valbykredsen,44. 8. Syd,Josefine Kofoed,Det Konservative Folkeparti,7
Valbykredsen,44. 8. Syd,Partiliste,SF - Socialistisk Folkeparti,80
Valbykredsen,44. 8. Syd,Sisse Marie Welling,SF - Socialistisk Folkeparti,6
Valbykredsen,44. 8. Syd,Balder Mørk Andersen,SF - Socialistisk Folkeparti,2
Valbykredsen,44. 8. Syd,Neil Bloem,SF - Socialistisk Folkeparti,3
Valbykredsen,44. 8. Syd,Özlem Sara Cekic,SF - Socialistisk Folkeparti,37
Valbykredsen,44. 8. Syd,Leif Donbæk,SF - Socialistisk Folkeparti,0
Valbykredsen,44. 8. Syd,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,44
Valbykredsen,44. 8. Syd,Kathrine Jensen,SF - Socialistisk Folkeparti,2
Valbykredsen,44. 8. Syd,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,1
Valbykredsen,44. 8. Syd,Klaus Mygind,SF - Socialistisk Folkeparti,0
Valbykredsen,44. 8. Syd,Jonas Niemann,SF - Socialistisk Folkeparti,0
Valbykredsen,44. 8. Syd,Halime Oguz,SF - Socialistisk Folkeparti,1
Valbykredsen,44. 8. Syd,Kirsten Sloth,SF - Socialistisk Folkeparti,0
Valbykredsen,44. 8. Syd,Partiliste,Liberal Alliance,149
Valbykredsen,44. 8. Syd,Laura Lindahl,Liberal Alliance,21
Valbykredsen,44. 8. Syd,Simon Emil Ammitzbøll,Liberal Alliance,43
Valbykredsen,44. 8. Syd,Karina Bergmann,Liberal Alliance,0
Valbykredsen,44. 8. Syd,Rasmus Boserup,Liberal Alliance,3
Valbykredsen,44. 8. Syd,Patrick Donovan,Liberal Alliance,0
Valbykredsen,44. 8. Syd,Søren Juliussen,Liberal Alliance,1
Valbykredsen,44. 8. Syd,Kasper Heumann Kristensen,Liberal Alliance,2
Valbykredsen,44. 8. Syd,Danny K. Malkowski,Liberal Alliance,5
Valbykredsen,44. 8. Syd,Partiliste,Kristendemokraterne,8
Valbykredsen,44. 8. Syd,Henrik Howardsen,Kristendemokraterne,0
Valbykredsen,44. 8. Syd,Sølve Jønsson,Kristendemokraterne,1
Valbykredsen,44. 8. Syd,Bess Serner-Pedersen,Kristendemokraterne,1
Valbykredsen,44. 8. Syd,Ingrid Feldbæk Wredstrøm,Kristendemokraterne,1
Valbykredsen,44. 8. Syd,Partiliste,Dansk Folkeparti,456
Valbykredsen,44. 8. Syd,Preben Bille Brahe,Dansk Folkeparti,10
Valbykredsen,44. 8. Syd,Jette Dali,Dansk Folkeparti,8
Valbykredsen,44. 8. Syd,Morten Dreyer,Dansk Folkeparti,4
Valbykredsen,44. 8. Syd,Søren Lund Hansen,Dansk Folkeparti,5
Valbykredsen,44. 8. Syd,Martin Henriksen,Dansk Folkeparti,48
Valbykredsen,44. 8. Syd,Paw Karslund,Dansk Folkeparti,3
Valbykredsen,44. 8. Syd,Else-Marie Madsen,Dansk Folkeparti,6
Valbykredsen,44. 8. Syd,Githa Nelander,Dansk Folkeparti,4
Valbykredsen,44. 8. Syd,Finn Rudaizky,Dansk Folkeparti,12
