Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Vesterbrokredsen,49. 9. Vesterbro,Partiliste,Socialdemokratiet,428
Vesterbrokredsen,49. 9. Vesterbro,Kristian Westfall,Socialdemokratiet,16
Vesterbrokredsen,49. 9. Vesterbro,Yildiz Akdogan,Socialdemokratiet,62
Vesterbrokredsen,49. 9. Vesterbro,Ditte Brøndum,Socialdemokratiet,3
Vesterbrokredsen,49. 9. Vesterbro,Sine Heltberg,Socialdemokratiet,4
Vesterbrokredsen,49. 9. Vesterbro,Özkan Kocak,Socialdemokratiet,5
Vesterbrokredsen,49. 9. Vesterbro,Bo Kømler,Socialdemokratiet,1
Vesterbrokredsen,49. 9. Vesterbro,Lars Aslan Rasmussen,Socialdemokratiet,24
Vesterbrokredsen,49. 9. Vesterbro,Mette Reissmann,Socialdemokratiet,26
Vesterbrokredsen,49. 9. Vesterbro,Dennis Schnell-Lauritzen,Socialdemokratiet,2
Vesterbrokredsen,49. 9. Vesterbro,Simon Simonsen,Socialdemokratiet,7
Vesterbrokredsen,49. 9. Vesterbro,Peter Hummelgaard Thomsen,Socialdemokratiet,49
Vesterbrokredsen,49. 9. Vesterbro,Helle Thorning-Schmidt,Socialdemokratiet,525
Vesterbrokredsen,49. 9. Vesterbro,Partiliste,Radikale Venstre,331
Vesterbrokredsen,49. 9. Vesterbro,Ida Auken,Radikale Venstre,207
Vesterbrokredsen,49. 9. Vesterbro,Samira Nawa Amini,Radikale Venstre,31
Vesterbrokredsen,49. 9. Vesterbro,Søren Burcharth,Radikale Venstre,2
Vesterbrokredsen,49. 9. Vesterbro,Sophie Danneris,Radikale Venstre,6
Vesterbrokredsen,49. 9. Vesterbro,Pernille Boye Koch,Radikale Venstre,13
Vesterbrokredsen,49. 9. Vesterbro,Karsten Lauritsen,Radikale Venstre,3
Vesterbrokredsen,49. 9. Vesterbro,Lone Loklindt,Radikale Venstre,18
Vesterbrokredsen,49. 9. Vesterbro,Mia Nyegaard,Radikale Venstre,13
Vesterbrokredsen,49. 9. Vesterbro,Manu Sareen,Radikale Venstre,99
Vesterbrokredsen,49. 9. Vesterbro,Christian Scharling,Radikale Venstre,7
Vesterbrokredsen,49. 9. Vesterbro,André Just Vedgren,Radikale Venstre,5
Vesterbrokredsen,49. 9. Vesterbro,Niels Wanning,Radikale Venstre,8
Vesterbrokredsen,49. 9. Vesterbro,Partiliste,Det Konservative Folkeparti,52
Vesterbrokredsen,49. 9. Vesterbro,Helle Bonnesen,Det Konservative Folkeparti,16
Vesterbrokredsen,49. 9. Vesterbro,Lars Barfoed,Det Konservative Folkeparti,8
Vesterbrokredsen,49. 9. Vesterbro,Anne Ginderskov Hansen,Det Konservative Folkeparti,13
Vesterbrokredsen,49. 9. Vesterbro,Josefine Kofoed,Det Konservative Folkeparti,8
Vesterbrokredsen,49. 9. Vesterbro,Søren-Michael Pihl,Det Konservative Folkeparti,1
Vesterbrokredsen,49. 9. Vesterbro,Partiliste,SF - Socialistisk Folkeparti,190
Vesterbrokredsen,49. 9. Vesterbro,Özlem Sara Cekic,SF - Socialistisk Folkeparti,133
Vesterbrokredsen,49. 9. Vesterbro,Balder Mørk Andersen,SF - Socialistisk Folkeparti,8
Vesterbrokredsen,49. 9. Vesterbro,Neil Bloem,SF - Socialistisk Folkeparti,5
Vesterbrokredsen,49. 9. Vesterbro,Leif Donbæk,SF - Socialistisk Folkeparti,3
