Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Brønderslevkredsen,1. Agersted,Partiliste,Socialdemokratiet,71
Brønderslevkredsen,1. Agersted,Ane Halsboe-Jørgensen,Socialdemokratiet,33
Brønderslevkredsen,1. Agersted,Peter Duetoft,Socialdemokratiet,3
Brønderslevkredsen,1. Agersted,Orla Hav,Socialdemokratiet,15
Brønderslevkredsen,1. Agersted,Per Husted,Socialdemokratiet,0
Brønderslevkredsen,1. Agersted,Simon Kollerup,Socialdemokratiet,0
Brønderslevkredsen,1. Agersted,Bjarne Laustsen,Socialdemokratiet,18
Brønderslevkredsen,1. Agersted,Flemming Møller Mortensen,Socialdemokratiet,3
Brønderslevkredsen,1. Agersted,Rasmus Prehn,Socialdemokratiet,2
Brønderslevkredsen,1. Agersted,Morten Ryom,Socialdemokratiet,0
Brønderslevkredsen,1. Agersted,Partiliste,Radikale Venstre,3
Brønderslevkredsen,1. Agersted,Jesper Hansen,Radikale Venstre,1
Brønderslevkredsen,1. Agersted,Daniel Nyboe Andersen,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Kasper Bagnkop,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Thomas Høj,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Marianne Jelved,Radikale Venstre,1
Brønderslevkredsen,1. Agersted,Kjeld Lundager Jørgensen,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Helle Sommer Kjærgaard,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Louise Lundbeck Krog,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Giajenthiran Velmurugan,Radikale Venstre,0
Brønderslevkredsen,1. Agersted,Partiliste,Det Konservative Folkeparti,2
Brønderslevkredsen,1. Agersted,Daniel Rugholm,Det Konservative Folkeparti,4
Brønderslevkredsen,1. Agersted,Henrik Dalgaard,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Torben Overgaard,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Line Vanggaard Pedersen,Det Konservative Folkeparti,8
Brønderslevkredsen,1. Agersted,Morten Thiessen,Det Konservative Folkeparti,0
Brønderslevkredsen,1. Agersted,Partiliste,SF - Socialistisk Folkeparti,11
Brønderslevkredsen,1. Agersted,Anders Tendal Christiansen,SF - Socialistisk Folkeparti,1
Brønderslevkredsen,1. Agersted,Paul Rode Andersen,SF - Socialistisk Folkeparti,4
Brønderslevkredsen,1. Agersted,Thomas Klimek,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Thomas Krog,SF - Socialistisk Folkeparti,2
Brønderslevkredsen,1. Agersted,Peder Larsen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Thorkil Olesen,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Lisbeth Bech Poulsen,SF - Socialistisk Folkeparti,2
Brønderslevkredsen,1. Agersted,Frank Tronborg,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Jacob Klivager Vestergaard,SF - Socialistisk Folkeparti,0
Brønderslevkredsen,1. Agersted,Partiliste,Liberal Alliance,12
Brønderslevkredsen,1. Agersted,Thyra Frank,Liberal Alliance,2
Brønderslevkredsen,1. Agersted,Christina Egelund,Liberal Alliance,6
Brønderslevkredsen,1. Agersted,Claus Hermansen,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Klaus Hjulmand,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Martin K. Madsen,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Bo Ritterbusch,Liberal Alliance,2
Brønderslevkredsen,1. Agersted,Henrik Viholm,Liberal Alliance,0
Brønderslevkredsen,1. Agersted,Partiliste,Kristendemokraterne,1
Brønderslevkredsen,1. Agersted,Britta Eckhardt,Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Lene Meng Andersen,Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Nick Hansen,Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Ruth Tidemand Nielsen,Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Inger Ottesen,Kristendemokraterne,0
Brønderslevkredsen,1. Agersted,Partiliste,Dansk Folkeparti,95
Brønderslevkredsen,1. Agersted,Erik Høgh-Sørensen,Dansk Folkeparti,2
Brønderslevkredsen,1. Agersted,Lise Bech,Dansk Folkeparti,3
Brønderslevkredsen,1. Agersted,Bent Bøgsted,Dansk Folkeparti,34
Brønderslevkredsen,1. Agersted,Tommy Degn,Dansk Folkeparti,1
Brønderslevkredsen,1. Agersted,Gert Ingolf Johansen,Dansk Folkeparti,1
Brønderslevkredsen,1. Agersted,Morten Marinus,Dansk Folkeparti,7
Brønderslevkredsen,1. Agersted,Ib Poulsen,Dansk Folkeparti,1
Brønderslevkredsen,1. Agersted,Laila Sortland,Dansk Folkeparti,0
Brønderslevkredsen,1. Agersted,Kristoffer Hjort Storm,Dansk Folkeparti,5
Brønderslevkredsen,1. Agersted,Partiliste,"Venstre, Danmarks Liberale Parti",25
Brønderslevkredsen,1. Agersted,Anders Broholm,"Venstre, Danmarks Liberale Parti",33
Brønderslevkredsen,1. Agersted,Kristian Andersen,"Venstre, Danmarks Liberale Parti",2
Brønderslevkredsen,1. Agersted,Per Bisgaard,"Venstre, Danmarks Liberale Parti",0
Brønderslevkredsen,1. Agersted,Mogens Brag,"Venstre, Danmarks Liberale Parti",34
Brønderslevkredsen,1. Agersted,Søren Gade,"Venstre, Danmarks Liberale Parti",43
Brønderslevkredsen,1. Agersted,Preben Bang Henriksen,"Venstre, Danmarks Liberale Parti",19
Brønderslevkredsen,1. Agersted,Karsten Lauritzen,"Venstre, Danmarks Liberale Parti",4
Brønderslevkredsen,1. Agersted,Mariann Nørgaard,"Venstre, Danmarks Liberale Parti",3
Brønderslevkredsen,1. Agersted,Torsten Schack Pedersen,"Venstre, Danmarks Liberale Parti",0
Brønderslevkredsen,1. Agersted,Partiliste,Enhedslisten - De Rød-Grønne,25
Brønderslevkredsen,1. Agersted,Emma Lyng Svensson,Enhedslisten - De Rød-Grønne,4
Brønderslevkredsen,1. Agersted,Stine Brix,Enhedslisten - De Rød-Grønne,9
Brønderslevkredsen,1. Agersted,Peder Hvelplund,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Susanne Flydtkjær,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Bo Fink,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Britta Glargard,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Miguel J. Valentine,Enhedslisten - De Rød-Grønne,1
Brønderslevkredsen,1. Agersted,Cæcilie Lyndgaard Andersen,Enhedslisten - De Rød-Grønne,0
Brønderslevkredsen,1. Agersted,Povl Erik Andersen,Enhedslisten - De Rød-Grønne,3
