Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Thistedkredsen,1. Sejerslev,Partiliste,Socialdemokratiet,40
Thistedkredsen,1. Sejerslev,Simon Kollerup,Socialdemokratiet,151
Thistedkredsen,1. Sejerslev,Peter Duetoft,Socialdemokratiet,1
Thistedkredsen,1. Sejerslev,Ane Halsboe-Jørgensen,Socialdemokratiet,1
Thistedkredsen,1. Sejerslev,Orla Hav,Socialdemokratiet,0
Thistedkredsen,1. Sejerslev,Per Husted,Socialdemokratiet,0
Thistedkredsen,1. Sejerslev,Bjarne Laustsen,Socialdemokratiet,0
Thistedkredsen,1. Sejerslev,Flemming Møller Mortensen,Socialdemokratiet,1
Thistedkredsen,1. Sejerslev,Rasmus Prehn,Socialdemokratiet,0
Thistedkredsen,1. Sejerslev,Morten Ryom,Socialdemokratiet,0
Thistedkredsen,1. Sejerslev,Partiliste,Radikale Venstre,7
Thistedkredsen,1. Sejerslev,Helle Sommer Kjærgaard,Radikale Venstre,2
Thistedkredsen,1. Sejerslev,Daniel Nyboe Andersen,Radikale Venstre,0
Thistedkredsen,1. Sejerslev,Kasper Bagnkop,Radikale Venstre,0
Thistedkredsen,1. Sejerslev,Jesper Hansen,Radikale Venstre,0
Thistedkredsen,1. Sejerslev,Thomas Høj,Radikale Venstre,0
Thistedkredsen,1. Sejerslev,Marianne Jelved,Radikale Venstre,3
Thistedkredsen,1. Sejerslev,Kjeld Lundager Jørgensen,Radikale Venstre,0
Thistedkredsen,1. Sejerslev,Louise Lundbeck Krog,Radikale Venstre,0
Thistedkredsen,1. Sejerslev,Giajenthiran Velmurugan,Radikale Venstre,0
Thistedkredsen,1. Sejerslev,Partiliste,Det Konservative Folkeparti,8
Thistedkredsen,1. Sejerslev,Daniel Rugholm,Det Konservative Folkeparti,1
Thistedkredsen,1. Sejerslev,Henrik Dalgaard,Det Konservative Folkeparti,1
Thistedkredsen,1. Sejerslev,Torben Overgaard,Det Konservative Folkeparti,2
Thistedkredsen,1. Sejerslev,Line Vanggaard Pedersen,Det Konservative Folkeparti,0
Thistedkredsen,1. Sejerslev,Morten Thiessen,Det Konservative Folkeparti,0
Thistedkredsen,1. Sejerslev,Partiliste,SF - Socialistisk Folkeparti,9
Thistedkredsen,1. Sejerslev,Thorkil Olesen,SF - Socialistisk Folkeparti,0
Thistedkredsen,1. Sejerslev,Paul Rode Andersen,SF - Socialistisk Folkeparti,0
Thistedkredsen,1. Sejerslev,Anders Tendal Christiansen,SF - Socialistisk Folkeparti,0
Thistedkredsen,1. Sejerslev,Thomas Klimek,SF - Socialistisk Folkeparti,0
Thistedkredsen,1. Sejerslev,Thomas Krog,SF - Socialistisk Folkeparti,0
Thistedkredsen,1. Sejerslev,Peder Larsen,SF - Socialistisk Folkeparti,0
Thistedkredsen,1. Sejerslev,Lisbeth Bech Poulsen,SF - Socialistisk Folkeparti,1
Thistedkredsen,1. Sejerslev,Frank Tronborg,SF - Socialistisk Folkeparti,0
Thistedkredsen,1. Sejerslev,Jacob Klivager Vestergaard,SF - Socialistisk Folkeparti,0
Thistedkredsen,1. Sejerslev,Partiliste,Liberal Alliance,8
Thistedkredsen,1. Sejerslev,Thyra Frank,Liberal Alliance,1
Thistedkredsen,1. Sejerslev,Christina Egelund,Liberal Alliance,0
Thistedkredsen,1. Sejerslev,Claus Hermansen,Liberal Alliance,0
Thistedkredsen,1. Sejerslev,Klaus Hjulmand,Liberal Alliance,0
Thistedkredsen,1. Sejerslev,Martin K. Madsen,Liberal Alliance,0
Thistedkredsen,1. Sejerslev,Bo Ritterbusch,Liberal Alliance,2
Thistedkredsen,1. Sejerslev,Henrik Viholm,Liberal Alliance,0
Thistedkredsen,1. Sejerslev,Partiliste,Kristendemokraterne,3
Thistedkredsen,1. Sejerslev,Inger Ottesen,Kristendemokraterne,5
Thistedkredsen,1. Sejerslev,Lene Meng Andersen,Kristendemokraterne,0
Thistedkredsen,1. Sejerslev,Britta Eckhardt,Kristendemokraterne,0
Thistedkredsen,1. Sejerslev,Nick Hansen,Kristendemokraterne,1
Thistedkredsen,1. Sejerslev,Ruth Tidemand Nielsen,Kristendemokraterne,0
Thistedkredsen,1. Sejerslev,Partiliste,Dansk Folkeparti,72
Thistedkredsen,1. Sejerslev,Lise Bech,Dansk Folkeparti,12
Thistedkredsen,1. Sejerslev,Bent Bøgsted,Dansk Folkeparti,0
Thistedkredsen,1. Sejerslev,Tommy Degn,Dansk Folkeparti,1
Thistedkredsen,1. Sejerslev,Erik Høgh-Sørensen,Dansk Folkeparti,0
Thistedkredsen,1. Sejerslev,Gert Ingolf Johansen,Dansk Folkeparti,0
Thistedkredsen,1. Sejerslev,Morten Marinus,Dansk Folkeparti,0
Thistedkredsen,1. Sejerslev,Ib Poulsen,Dansk Folkeparti,27
Thistedkredsen,1. Sejerslev,Laila Sortland,Dansk Folkeparti,0
Thistedkredsen,1. Sejerslev,Kristoffer Hjort Storm,Dansk Folkeparti,0
Thistedkredsen,1. Sejerslev,Partiliste,"Venstre, Danmarks Liberale Parti",21
Thistedkredsen,1. Sejerslev,Torsten Schack Pedersen,"Venstre, Danmarks Liberale Parti",90
Thistedkredsen,1. Sejerslev,Kristian Andersen,"Venstre, Danmarks Liberale Parti",0
Thistedkredsen,1. Sejerslev,Per Bisgaard,"Venstre, Danmarks Liberale Parti",1
Thistedkredsen,1. Sejerslev,Mogens Brag,"Venstre, Danmarks Liberale Parti",0
Thistedkredsen,1. Sejerslev,Anders Broholm,"Venstre, Danmarks Liberale Parti",0
Thistedkredsen,1. Sejerslev,Søren Gade,"Venstre, Danmarks Liberale Parti",31
Thistedkredsen,1. Sejerslev,Preben Bang Henriksen,"Venstre, Danmarks Liberale Parti",0
Thistedkredsen,1. Sejerslev,Karsten Lauritzen,"Venstre, Danmarks Liberale Parti",0
Thistedkredsen,1. Sejerslev,Mariann Nørgaard,"Venstre, Danmarks Liberale Parti",0
Thistedkredsen,1. Sejerslev,Partiliste,Enhedslisten - De Rød-Grønne,14
Thistedkredsen,1. Sejerslev,Bo Fink,Enhedslisten - De Rød-Grønne,7
Thistedkredsen,1. Sejerslev,Stine Brix,Enhedslisten - De Rød-Grønne,3
Thistedkredsen,1. Sejerslev,Peder Hvelplund,Enhedslisten - De Rød-Grønne,0
Thistedkredsen,1. Sejerslev,Susanne Flydtkjær,Enhedslisten - De Rød-Grønne,1
Thistedkredsen,1. Sejerslev,Britta Glargard,Enhedslisten - De Rød-Grønne,0
