Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Fredensborgkredsen,1. Asminderød,Partiliste,Socialdemokratiet,520
Fredensborgkredsen,1. Asminderød,Christine Antorini,Socialdemokratiet,99
Fredensborgkredsen,1. Asminderød,Nick Hækkerup,Socialdemokratiet,160
Fredensborgkredsen,1. Asminderød,Miki Dam Larsen,Socialdemokratiet,4
Fredensborgkredsen,1. Asminderød,Malou Lunderød,Socialdemokratiet,12
Fredensborgkredsen,1. Asminderød,Pernille Schnoor,Socialdemokratiet,76
Fredensborgkredsen,1. Asminderød,Partiliste,Radikale Venstre,71
Fredensborgkredsen,1. Asminderød,Kristian Hegaard,Radikale Venstre,23
Fredensborgkredsen,1. Asminderød,Anne Marie Geisler Andersen,Radikale Venstre,15
Fredensborgkredsen,1. Asminderød,Camilla Kampmann,Radikale Venstre,3
Fredensborgkredsen,1. Asminderød,Henrik Klitgaard,Radikale Venstre,2
Fredensborgkredsen,1. Asminderød,Martin Lidegaard,Radikale Venstre,89
Fredensborgkredsen,1. Asminderød,Helle Løvgreen Mølvig,Radikale Venstre,0
Fredensborgkredsen,1. Asminderød,Partiliste,Det Konservative Folkeparti,111
Fredensborgkredsen,1. Asminderød,Mette Thiesen,Det Konservative Folkeparti,48
Fredensborgkredsen,1. Asminderød,Mette Abildgaard,Det Konservative Folkeparti,33
Fredensborgkredsen,1. Asminderød,Thorkild Gruelund,Det Konservative Folkeparti,3
Fredensborgkredsen,1. Asminderød,Erik Lund,Det Konservative Folkeparti,9
Fredensborgkredsen,1. Asminderød,Pernille Vermund,Det Konservative Folkeparti,21
Fredensborgkredsen,1. Asminderød,Partiliste,SF - Socialistisk Folkeparti,70
Fredensborgkredsen,1. Asminderød,Trine Torp,SF - Socialistisk Folkeparti,32
Fredensborgkredsen,1. Asminderød,Nikolaj Bührmann,SF - Socialistisk Folkeparti,0
Fredensborgkredsen,1. Asminderød,Bente Borg Donkin,SF - Socialistisk Folkeparti,1
Fredensborgkredsen,1. Asminderød,Lars Iversen,SF - Socialistisk Folkeparti,5
Fredensborgkredsen,1. Asminderød,Teis Volstrup,SF - Socialistisk Folkeparti,9
Fredensborgkredsen,1. Asminderød,Partiliste,Liberal Alliance,162
Fredensborgkredsen,1. Asminderød,Niels Westy,Liberal Alliance,18
Fredensborgkredsen,1. Asminderød,Karsten Andersen,Liberal Alliance,1
Fredensborgkredsen,1. Asminderød,May-Britt Buch-Kattrup,Liberal Alliance,28
Fredensborgkredsen,1. Asminderød,Palle Christiansen,Liberal Alliance,1
Fredensborgkredsen,1. Asminderød,Anne-Marie Tørnes Hansen,Liberal Alliance,1
Fredensborgkredsen,1. Asminderød,Tommy Højegaard,Liberal Alliance,0
Fredensborgkredsen,1. Asminderød,Elisabeth Ildal,Liberal Alliance,5
Fredensborgkredsen,1. Asminderød,Jonathan Nielsen,Liberal Alliance,2
Fredensborgkredsen,1. Asminderød,Anders Samuelsen,Liberal Alliance,311
Fredensborgkredsen,1. Asminderød,Partiliste,Kristendemokraterne,4
Fredensborgkredsen,1. Asminderød,Stig Grenov,Kristendemokraterne,28
Fredensborgkredsen,1. Asminderød,Andreas Peters-Lehm,Kristendemokraterne,0
Fredensborgkredsen,1. Asminderød,Gert Svendsen,Kristendemokraterne,0
Fredensborgkredsen,1. Asminderød,Partiliste,Dansk Folkeparti,550
Fredensborgkredsen,1. Asminderød,Lucas Hultgren,Dansk Folkeparti,25
Fredensborgkredsen,1. Asminderød,Pia Adelsteen,Dansk Folkeparti,28
Fredensborgkredsen,1. Asminderød,Marlene Harpsøe,Dansk Folkeparti,77
Fredensborgkredsen,1. Asminderød,Gitte Hemmingsen,Dansk Folkeparti,14
Fredensborgkredsen,1. Asminderød,Glen Madsen,Dansk Folkeparti,18
Fredensborgkredsen,1. Asminderød,Jan Erik Messmann,Dansk Folkeparti,15
Fredensborgkredsen,1. Asminderød,Partiliste,"Venstre, Danmarks Liberale Parti",447
Fredensborgkredsen,1. Asminderød,Tinne Borch Jacobsen,"Venstre, Danmarks Liberale Parti",114
Fredensborgkredsen,1. Asminderød,Hans Andersen,"Venstre, Danmarks Liberale Parti",10
Fredensborgkredsen,1. Asminderød,Claus Hjort Frederiksen,"Venstre, Danmarks Liberale Parti",109
Fredensborgkredsen,1. Asminderød,Søren Hyldgaard,"Venstre, Danmarks Liberale Parti",14
Fredensborgkredsen,1. Asminderød,Sophie Løhde,"Venstre, Danmarks Liberale Parti",140
Fredensborgkredsen,1. Asminderød,Klaus Markussen,"Venstre, Danmarks Liberale Parti",15
Fredensborgkredsen,1. Asminderød,Partiliste,Enhedslisten - De Rød-Grønne,156
Fredensborgkredsen,1. Asminderød,Helle Osther Friedrichsen,Enhedslisten - De Rød-Grønne,19
Fredensborgkredsen,1. Asminderød,Maria Reumert Gjerding,Enhedslisten - De Rød-Grønne,20
Fredensborgkredsen,1. Asminderød,Øjvind Vilsholm,Enhedslisten - De Rød-Grønne,2
Fredensborgkredsen,1. Asminderød,Torben Kjær,Enhedslisten - De Rød-Grønne,1
Fredensborgkredsen,1. Asminderød,Margit Kjeldgaard,Enhedslisten - De Rød-Grønne,4
Fredensborgkredsen,1. Asminderød,Kent Weiss Holst,Enhedslisten - De Rød-Grønne,0
Fredensborgkredsen,1. Asminderød,Partiliste,Alternativet,139
Fredensborgkredsen,1. Asminderød,Christian Poll,Alternativet,19
Fredensborgkredsen,1. Asminderød,Michael Macdonald Arnskov,Alternativet,3
Fredensborgkredsen,1. Asminderød,Lasse Danielsen,Alternativet,4
Fredensborgkredsen,1. Asminderød,Bina Seff,Alternativet,13
Fredensborgkredsen,1. Asminderød,Aleks Jensen,(Uden for parti),0
Fredensborgkredsen,1. Asminderød,Gert Lassen,(Uden for parti),0
Fredensborgkredsen,1. Hørsholm,Partiliste,Socialdemokratiet,352
Fredensborgkredsen,1. Hørsholm,Christine Antorini,Socialdemokratiet,91
Fredensborgkredsen,1. Hørsholm,Nick Hækkerup,Socialdemokratiet,69
Fredensborgkredsen,1. Hørsholm,Miki Dam Larsen,Socialdemokratiet,3
Fredensborgkredsen,1. Hørsholm,Malou Lunderød,Socialdemokratiet,6
Fredensborgkredsen,1. Hørsholm,Pernille Schnoor,Socialdemokratiet,103
Fredensborgkredsen,1. Hørsholm,Partiliste,Radikale Venstre,100
Fredensborgkredsen,1. Hørsholm,Kristian Hegaard,Radikale Venstre,10
Fredensborgkredsen,1. Hørsholm,Anne Marie Geisler Andersen,Radikale Venstre,12
Fredensborgkredsen,1. Hørsholm,Camilla Kampmann,Radikale Venstre,6
Fredensborgkredsen,1. Hørsholm,Henrik Klitgaard,Radikale Venstre,9
Fredensborgkredsen,1. Hørsholm,Martin Lidegaard,Radikale Venstre,166
Fredensborgkredsen,1. Hørsholm,Helle Løvgreen Mølvig,Radikale Venstre,3
Fredensborgkredsen,1. Hørsholm,Partiliste,Det Konservative Folkeparti,168
Fredensborgkredsen,1. Hørsholm,Mette Thiesen,Det Konservative Folkeparti,101
Fredensborgkredsen,1. Hørsholm,Mette Abildgaard,Det Konservative Folkeparti,37
Fredensborgkredsen,1. Hørsholm,Thorkild Gruelund,Det Konservative Folkeparti,59
Fredensborgkredsen,1. Hørsholm,Erik Lund,Det Konservative Folkeparti,12
Fredensborgkredsen,1. Hørsholm,Pernille Vermund,Det Konservative Folkeparti,32
Fredensborgkredsen,1. Hørsholm,Partiliste,SF - Socialistisk Folkeparti,59
Fredensborgkredsen,1. Hørsholm,Trine Torp,SF - Socialistisk Folkeparti,25
Fredensborgkredsen,1. Hørsholm,Nikolaj Bührmann,SF - Socialistisk Folkeparti,1
Fredensborgkredsen,1. Hørsholm,Bente Borg Donkin,SF - Socialistisk Folkeparti,2
Fredensborgkredsen,1. Hørsholm,Lars Iversen,SF - Socialistisk Folkeparti,13
Fredensborgkredsen,1. Hørsholm,Teis Volstrup,SF - Socialistisk Folkeparti,5
Fredensborgkredsen,1. Hørsholm,Partiliste,Liberal Alliance,244
Fredensborgkredsen,1. Hørsholm,Niels Westy,Liberal Alliance,23
Fredensborgkredsen,1. Hørsholm,Karsten Andersen,Liberal Alliance,0
Fredensborgkredsen,1. Hørsholm,May-Britt Buch-Kattrup,Liberal Alliance,27
Fredensborgkredsen,1. Hørsholm,Palle Christiansen,Liberal Alliance,2
Fredensborgkredsen,1. Hørsholm,Anne-Marie Tørnes Hansen,Liberal Alliance,7
Fredensborgkredsen,1. Hørsholm,Tommy Højegaard,Liberal Alliance,0
Fredensborgkredsen,1. Hørsholm,Elisabeth Ildal,Liberal Alliance,4
Fredensborgkredsen,1. Hørsholm,Jonathan Nielsen,Liberal Alliance,2
Fredensborgkredsen,1. Hørsholm,Anders Samuelsen,Liberal Alliance,408
Fredensborgkredsen,1. Hørsholm,Partiliste,Kristendemokraterne,4
Fredensborgkredsen,1. Hørsholm,Stig Grenov,Kristendemokraterne,9
Fredensborgkredsen,1. Hørsholm,Andreas Peters-Lehm,Kristendemokraterne,0
Fredensborgkredsen,1. Hørsholm,Gert Svendsen,Kristendemokraterne,0
Fredensborgkredsen,1. Hørsholm,Partiliste,Dansk Folkeparti,495
Fredensborgkredsen,1. Hørsholm,Lucas Hultgren,Dansk Folkeparti,16
Fredensborgkredsen,1. Hørsholm,Pia Adelsteen,Dansk Folkeparti,27
Fredensborgkredsen,1. Hørsholm,Marlene Harpsøe,Dansk Folkeparti,16
Fredensborgkredsen,1. Hørsholm,Gitte Hemmingsen,Dansk Folkeparti,10
Fredensborgkredsen,1. Hørsholm,Glen Madsen,Dansk Folkeparti,29
Fredensborgkredsen,1. Hørsholm,Jan Erik Messmann,Dansk Folkeparti,17
Fredensborgkredsen,1. Hørsholm,Partiliste,"Venstre, Danmarks Liberale Parti",593
Fredensborgkredsen,1. Hørsholm,Tinne Borch Jacobsen,"Venstre, Danmarks Liberale Parti",75
Fredensborgkredsen,1. Hørsholm,Hans Andersen,"Venstre, Danmarks Liberale Parti",8
Fredensborgkredsen,1. Hørsholm,Claus Hjort Frederiksen,"Venstre, Danmarks Liberale Parti",210
Fredensborgkredsen,1. Hørsholm,Søren Hyldgaard,"Venstre, Danmarks Liberale Parti",29
Fredensborgkredsen,1. Hørsholm,Sophie Løhde,"Venstre, Danmarks Liberale Parti",189
Fredensborgkredsen,1. Hørsholm,Klaus Markussen,"Venstre, Danmarks Liberale Parti",3
Fredensborgkredsen,1. Hørsholm,Partiliste,Enhedslisten - De Rød-Grønne,112
Fredensborgkredsen,1. Hørsholm,Helle Osther Friedrichsen,Enhedslisten - De Rød-Grønne,14
Fredensborgkredsen,1. Hørsholm,Maria Reumert Gjerding,Enhedslisten - De Rød-Grønne,10
Fredensborgkredsen,1. Hørsholm,Øjvind Vilsholm,Enhedslisten - De Rød-Grønne,1
Fredensborgkredsen,1. Hørsholm,Torben Kjær,Enhedslisten - De Rød-Grønne,1
Fredensborgkredsen,1. Hørsholm,Margit Kjeldgaard,Enhedslisten - De Rød-Grønne,0
Fredensborgkredsen,1. Hørsholm,Kent Weiss Holst,Enhedslisten - De Rød-Grønne,0
Fredensborgkredsen,1. Hørsholm,Partiliste,Alternativet,96
Fredensborgkredsen,1. Hørsholm,Christian Poll,Alternativet,22
Fredensborgkredsen,1. Hørsholm,Michael Macdonald Arnskov,Alternativet,5
