Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Socialdemokratiet,1269
Helsingørkredsen,1. Helsingør Hallen,Pernille Schnoor,Socialdemokratiet,420
Helsingørkredsen,1. Helsingør Hallen,Christine Antorini,Socialdemokratiet,150
Helsingørkredsen,1. Helsingør Hallen,Nick Hækkerup,Socialdemokratiet,205
Helsingørkredsen,1. Helsingør Hallen,Miki Dam Larsen,Socialdemokratiet,13
Helsingørkredsen,1. Helsingør Hallen,Malou Lunderød,Socialdemokratiet,25
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Radikale Venstre,142
Helsingørkredsen,1. Helsingør Hallen,Camilla Kampmann,Radikale Venstre,25
Helsingørkredsen,1. Helsingør Hallen,Anne Marie Geisler Andersen,Radikale Venstre,15
Helsingørkredsen,1. Helsingør Hallen,Kristian Hegaard,Radikale Venstre,22
Helsingørkredsen,1. Helsingør Hallen,Henrik Klitgaard,Radikale Venstre,3
Helsingørkredsen,1. Helsingør Hallen,Martin Lidegaard,Radikale Venstre,158
Helsingørkredsen,1. Helsingør Hallen,Helle Løvgreen Mølvig,Radikale Venstre,2
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Det Konservative Folkeparti,173
Helsingørkredsen,1. Helsingør Hallen,Pernille Vermund,Det Konservative Folkeparti,222
Helsingørkredsen,1. Helsingør Hallen,Mette Abildgaard,Det Konservative Folkeparti,22
Helsingørkredsen,1. Helsingør Hallen,Thorkild Gruelund,Det Konservative Folkeparti,4
Helsingørkredsen,1. Helsingør Hallen,Erik Lund,Det Konservative Folkeparti,9
Helsingørkredsen,1. Helsingør Hallen,Mette Thiesen,Det Konservative Folkeparti,11
Helsingørkredsen,1. Helsingør Hallen,Partiliste,SF - Socialistisk Folkeparti,219
Helsingørkredsen,1. Helsingør Hallen,Bente Borg Donkin,SF - Socialistisk Folkeparti,105
Helsingørkredsen,1. Helsingør Hallen,Nikolaj Bührmann,SF - Socialistisk Folkeparti,10
Helsingørkredsen,1. Helsingør Hallen,Lars Iversen,SF - Socialistisk Folkeparti,1
Helsingørkredsen,1. Helsingør Hallen,Trine Torp,SF - Socialistisk Folkeparti,36
Helsingørkredsen,1. Helsingør Hallen,Teis Volstrup,SF - Socialistisk Folkeparti,22
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Liberal Alliance,176
Helsingørkredsen,1. Helsingør Hallen,Anders Samuelsen,Liberal Alliance,385
Helsingørkredsen,1. Helsingør Hallen,Karsten Andersen,Liberal Alliance,3
Helsingørkredsen,1. Helsingør Hallen,May-Britt Buch-Kattrup,Liberal Alliance,8
Helsingørkredsen,1. Helsingør Hallen,Palle Christiansen,Liberal Alliance,4
Helsingørkredsen,1. Helsingør Hallen,Anne-Marie Tørnes Hansen,Liberal Alliance,2
Helsingørkredsen,1. Helsingør Hallen,Tommy Højegaard,Liberal Alliance,0
Helsingørkredsen,1. Helsingør Hallen,Elisabeth Ildal,Liberal Alliance,7
Helsingørkredsen,1. Helsingør Hallen,Jonathan Nielsen,Liberal Alliance,14
Helsingørkredsen,1. Helsingør Hallen,Niels Westy,Liberal Alliance,7
Helsingørkredsen,1. Helsingør Hallen,Partiliste,Kristendemokraterne,12
Helsingørkredsen,1. Helsingør Hallen,Stig Grenov,Kristendemokraterne,17
