Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Grevekredsen,1. Arenaskolen,Partiliste,Socialdemokratiet,324
Grevekredsen,1. Arenaskolen,Astrid Krag,Socialdemokratiet,258
Grevekredsen,1. Arenaskolen,Tom Block,Socialdemokratiet,1
Grevekredsen,1. Arenaskolen,Lennart Damsbo-Andersen,Socialdemokratiet,1
Grevekredsen,1. Arenaskolen,Kaare Dybvad,Socialdemokratiet,3
Grevekredsen,1. Arenaskolen,Mette Gjerskov,Socialdemokratiet,5
Grevekredsen,1. Arenaskolen,Jeannie Thorving Hansen,Socialdemokratiet,1
Grevekredsen,1. Arenaskolen,Magnus Heunicke,Socialdemokratiet,18
Grevekredsen,1. Arenaskolen,Ole Hækkerup,Socialdemokratiet,2
Grevekredsen,1. Arenaskolen,Rasmus Horn Langhoff,Socialdemokratiet,1
Grevekredsen,1. Arenaskolen,Henrik Sass Larsen,Socialdemokratiet,45
Grevekredsen,1. Arenaskolen,Pernille Rosenkrantz-Theil,Socialdemokratiet,24
Grevekredsen,1. Arenaskolen,Kasper Roug,Socialdemokratiet,1
Grevekredsen,1. Arenaskolen,Partiliste,Radikale Venstre,27
Grevekredsen,1. Arenaskolen,Jeppe Trolle,Radikale Venstre,0
Grevekredsen,1. Arenaskolen,Troels Brandt,Radikale Venstre,1
Grevekredsen,1. Arenaskolen,Henriette Bødewadt,Radikale Venstre,2
Grevekredsen,1. Arenaskolen,Jan Heidebo,Radikale Venstre,0
Grevekredsen,1. Arenaskolen,Sean Littlewood,Radikale Venstre,0
Grevekredsen,1. Arenaskolen,Rasmus Helveg Petersen,Radikale Venstre,5
Grevekredsen,1. Arenaskolen,Zenia Stampe,Radikale Venstre,22
Grevekredsen,1. Arenaskolen,Emrah Tuncer,Radikale Venstre,0
Grevekredsen,1. Arenaskolen,Partiliste,Det Konservative Folkeparti,24
Grevekredsen,1. Arenaskolen,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,16
