Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Holbækkredsen,1. Holbæk Øst,Partiliste,Socialdemokratiet,795
Holbækkredsen,1. Holbæk Øst,Kaare Dybvad,Socialdemokratiet,503
Holbækkredsen,1. Holbæk Øst,Tom Block,Socialdemokratiet,3
Holbækkredsen,1. Holbæk Øst,Lennart Damsbo-Andersen,Socialdemokratiet,3
Holbækkredsen,1. Holbæk Øst,Mette Gjerskov,Socialdemokratiet,24
Holbækkredsen,1. Holbæk Øst,Jeannie Thorving Hansen,Socialdemokratiet,5
Holbækkredsen,1. Holbæk Øst,Magnus Heunicke,Socialdemokratiet,93
Holbækkredsen,1. Holbæk Øst,Ole Hækkerup,Socialdemokratiet,12
Holbækkredsen,1. Holbæk Øst,Astrid Krag,Socialdemokratiet,169
Holbækkredsen,1. Holbæk Øst,Rasmus Horn Langhoff,Socialdemokratiet,23
Holbækkredsen,1. Holbæk Øst,Henrik Sass Larsen,Socialdemokratiet,31
Holbækkredsen,1. Holbæk Øst,Pernille Rosenkrantz-Theil,Socialdemokratiet,85
Holbækkredsen,1. Holbæk Øst,Kasper Roug,Socialdemokratiet,3
Holbækkredsen,1. Holbæk Øst,Partiliste,Radikale Venstre,133
Holbækkredsen,1. Holbæk Øst,Rasmus Helveg Petersen,Radikale Venstre,67
Holbækkredsen,1. Holbæk Øst,Troels Brandt,Radikale Venstre,1
Holbækkredsen,1. Holbæk Øst,Henriette Bødewadt,Radikale Venstre,5
Holbækkredsen,1. Holbæk Øst,Jan Heidebo,Radikale Venstre,6
Holbækkredsen,1. Holbæk Øst,Sean Littlewood,Radikale Venstre,0
Holbækkredsen,1. Holbæk Øst,Zenia Stampe,Radikale Venstre,64
Holbækkredsen,1. Holbæk Øst,Jeppe Trolle,Radikale Venstre,1
Holbækkredsen,1. Holbæk Øst,Emrah Tuncer,Radikale Venstre,194
Holbækkredsen,1. Holbæk Øst,Partiliste,Det Konservative Folkeparti,61
Holbækkredsen,1. Holbæk Øst,Brian Mikkelsen,Det Konservative Folkeparti,140
Holbækkredsen,1. Holbæk Øst,Anette Brix,Det Konservative Folkeparti,8
Holbækkredsen,1. Holbæk Øst,Marie Louise Friderichsen,Det Konservative Folkeparti,4
Holbækkredsen,1. Holbæk Øst,Mikkel Lundemann Jensen,Det Konservative Folkeparti,3
Holbækkredsen,1. Holbæk Øst,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,5
Holbækkredsen,1. Holbæk Øst,Rune Kristensen,Det Konservative Folkeparti,1
Holbækkredsen,1. Holbæk Øst,Christian Wedell-Neergaard,Det Konservative Folkeparti,1
Holbækkredsen,1. Holbæk Øst,Partiliste,SF - Socialistisk Folkeparti,138
Holbækkredsen,1. Holbæk Øst,Bente Juul Røttig,SF - Socialistisk Folkeparti,24
Holbækkredsen,1. Holbæk Øst,Tina Boel,SF - Socialistisk Folkeparti,4
Holbækkredsen,1. Holbæk Øst,Meta Fuglsang,SF - Socialistisk Folkeparti,8
Holbækkredsen,1. Holbæk Øst,Michael Graakjær,SF - Socialistisk Folkeparti,0
Holbækkredsen,1. Holbæk Øst,Ulla Birk Johansen,SF - Socialistisk Folkeparti,1
Holbækkredsen,1. Holbæk Øst,Annemette Schønberg Johnsen,SF - Socialistisk Folkeparti,2
Holbækkredsen,1. Holbæk Øst,Hans Kristiansen,SF - Socialistisk Folkeparti,1
Holbækkredsen,1. Holbæk Øst,Trine Mach,SF - Socialistisk Folkeparti,6
Holbækkredsen,1. Holbæk Øst,Jacob Mark,SF - Socialistisk Folkeparti,6
Holbækkredsen,1. Holbæk Øst,Ronja Rose Ravnskov,SF - Socialistisk Folkeparti,1
Holbækkredsen,1. Holbæk Øst,Dorte Skovgård,SF - Socialistisk Folkeparti,0
Holbækkredsen,1. Holbæk Øst,Flemming Stenild,SF - Socialistisk Folkeparti,1
Holbækkredsen,1. Holbæk Øst,Partiliste,Liberal Alliance,330
Holbækkredsen,1. Holbæk Øst,Villum Christensen,Liberal Alliance,33
Holbækkredsen,1. Holbæk Øst,Henrik Boye,Liberal Alliance,3
Holbækkredsen,1. Holbæk Øst,Frederik Damgaard,Liberal Alliance,0
Holbækkredsen,1. Holbæk Øst,Knud Damgaard,Liberal Alliance,0
Holbækkredsen,1. Holbæk Øst,Kisser Franciska,Liberal Alliance,8
Holbækkredsen,1. Holbæk Øst,Andreas Hastrup,Liberal Alliance,20
Holbækkredsen,1. Holbæk Øst,Vibeke Hellmann,Liberal Alliance,3
Holbækkredsen,1. Holbæk Øst,Rikke Jakobsen,Liberal Alliance,8
Holbækkredsen,1. Holbæk Øst,Thomas Peder Lunden,Liberal Alliance,2
Holbækkredsen,1. Holbæk Øst,Thomas Vesth,Liberal Alliance,0
Holbækkredsen,1. Holbæk Øst,Partiliste,Kristendemokraterne,28
Holbækkredsen,1. Holbæk Øst,Egon Jakobsen,Kristendemokraterne,3
Holbækkredsen,1. Holbæk Øst,Mette Guldager,Kristendemokraterne,2
Holbækkredsen,1. Holbæk Øst,Jacob Hellwing,Kristendemokraterne,0
Holbækkredsen,1. Holbæk Øst,Per Kristensen,Kristendemokraterne,2
Holbækkredsen,1. Holbæk Øst,Lisbeth Rask Nielsen,Kristendemokraterne,1
Holbækkredsen,1. Holbæk Øst,Lasse Rasmussen,Kristendemokraterne,0
Holbækkredsen,1. Holbæk Øst,Martin Sørensen,Kristendemokraterne,0
Holbækkredsen,1. Holbæk Øst,Henning Østergaard-Christensen,Kristendemokraterne,0
Holbækkredsen,1. Holbæk Øst,Partiliste,Dansk Folkeparti,755
Holbækkredsen,1. Holbæk Øst,Jeppe Jakobsen,Dansk Folkeparti,55
Holbækkredsen,1. Holbæk Øst,Liselott Blixt,Dansk Folkeparti,31
Holbækkredsen,1. Holbæk Øst,Henrik Brodersen,Dansk Folkeparti,8
Holbækkredsen,1. Holbæk Øst,Gert Poul Christensen,Dansk Folkeparti,3
Holbækkredsen,1. Holbæk Øst,René Christensen,Dansk Folkeparti,8
Holbækkredsen,1. Holbæk Øst,Søren Espersen,Dansk Folkeparti,159
Holbækkredsen,1. Holbæk Øst,Heino Hahn,Dansk Folkeparti,2
Holbækkredsen,1. Holbæk Øst,Merete Dea Larsen,Dansk Folkeparti,9
Holbækkredsen,1. Holbæk Øst,Karin Nødgaard,Dansk Folkeparti,22
Holbækkredsen,1. Holbæk Øst,Per Nørhave,Dansk Folkeparti,8
Holbækkredsen,1. Holbæk Øst,Thomas Palmskov,Dansk Folkeparti,4
Holbækkredsen,1. Holbæk Øst,Eric Steffensen,Dansk Folkeparti,0
