Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Næstvedkredsen,1. Fuglebjerg Hallen,Partiliste,Socialdemokratiet,305
Næstvedkredsen,1. Fuglebjerg Hallen,Magnus Heunicke,Socialdemokratiet,271
Næstvedkredsen,1. Fuglebjerg Hallen,Tom Block,Socialdemokratiet,6
Næstvedkredsen,1. Fuglebjerg Hallen,Lennart Damsbo-Andersen,Socialdemokratiet,2
Næstvedkredsen,1. Fuglebjerg Hallen,Kaare Dybvad,Socialdemokratiet,2
Næstvedkredsen,1. Fuglebjerg Hallen,Mette Gjerskov,Socialdemokratiet,7
Næstvedkredsen,1. Fuglebjerg Hallen,Jeannie Thorving Hansen,Socialdemokratiet,7
Næstvedkredsen,1. Fuglebjerg Hallen,Ole Hækkerup,Socialdemokratiet,4
Næstvedkredsen,1. Fuglebjerg Hallen,Astrid Krag,Socialdemokratiet,48
Næstvedkredsen,1. Fuglebjerg Hallen,Rasmus Horn Langhoff,Socialdemokratiet,1
Næstvedkredsen,1. Fuglebjerg Hallen,Henrik Sass Larsen,Socialdemokratiet,11
Næstvedkredsen,1. Fuglebjerg Hallen,Pernille Rosenkrantz-Theil,Socialdemokratiet,31
Næstvedkredsen,1. Fuglebjerg Hallen,Kasper Roug,Socialdemokratiet,3
Næstvedkredsen,1. Fuglebjerg Hallen,Partiliste,Radikale Venstre,33
Næstvedkredsen,1. Fuglebjerg Hallen,Zenia Stampe,Radikale Venstre,16
Næstvedkredsen,1. Fuglebjerg Hallen,Troels Brandt,Radikale Venstre,1
Næstvedkredsen,1. Fuglebjerg Hallen,Henriette Bødewadt,Radikale Venstre,1
Næstvedkredsen,1. Fuglebjerg Hallen,Jan Heidebo,Radikale Venstre,1
Næstvedkredsen,1. Fuglebjerg Hallen,Sean Littlewood,Radikale Venstre,1
Næstvedkredsen,1. Fuglebjerg Hallen,Rasmus Helveg Petersen,Radikale Venstre,7
Næstvedkredsen,1. Fuglebjerg Hallen,Jeppe Trolle,Radikale Venstre,1
Næstvedkredsen,1. Fuglebjerg Hallen,Emrah Tuncer,Radikale Venstre,2
Næstvedkredsen,1. Fuglebjerg Hallen,Partiliste,Det Konservative Folkeparti,27
Næstvedkredsen,1. Fuglebjerg Hallen,Marie Louise Friderichsen,Det Konservative Folkeparti,4
Næstvedkredsen,1. Fuglebjerg Hallen,Anette Brix,Det Konservative Folkeparti,6
Næstvedkredsen,1. Fuglebjerg Hallen,Mikkel Lundemann Jensen,Det Konservative Folkeparti,1
Næstvedkredsen,1. Fuglebjerg Hallen,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,2
Næstvedkredsen,1. Fuglebjerg Hallen,Rune Kristensen,Det Konservative Folkeparti,4
Næstvedkredsen,1. Fuglebjerg Hallen,Brian Mikkelsen,Det Konservative Folkeparti,21
