Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Slagelsekredsen,1. Dalmose,Partiliste,Socialdemokratiet,154
Slagelsekredsen,1. Dalmose,Tom Block,Socialdemokratiet,41
Slagelsekredsen,1. Dalmose,Lennart Damsbo-Andersen,Socialdemokratiet,0
Slagelsekredsen,1. Dalmose,Kaare Dybvad,Socialdemokratiet,12
Slagelsekredsen,1. Dalmose,Mette Gjerskov,Socialdemokratiet,3
Slagelsekredsen,1. Dalmose,Jeannie Thorving Hansen,Socialdemokratiet,2
Slagelsekredsen,1. Dalmose,Magnus Heunicke,Socialdemokratiet,30
Slagelsekredsen,1. Dalmose,Ole Hækkerup,Socialdemokratiet,10
Slagelsekredsen,1. Dalmose,Astrid Krag,Socialdemokratiet,29
Slagelsekredsen,1. Dalmose,Rasmus Horn Langhoff,Socialdemokratiet,3
Slagelsekredsen,1. Dalmose,Henrik Sass Larsen,Socialdemokratiet,1
Slagelsekredsen,1. Dalmose,Pernille Rosenkrantz-Theil,Socialdemokratiet,10
Slagelsekredsen,1. Dalmose,Kasper Roug,Socialdemokratiet,0
Slagelsekredsen,1. Dalmose,Partiliste,Radikale Venstre,11
Slagelsekredsen,1. Dalmose,Troels Brandt,Radikale Venstre,6
Slagelsekredsen,1. Dalmose,Henriette Bødewadt,Radikale Venstre,1
Slagelsekredsen,1. Dalmose,Jan Heidebo,Radikale Venstre,2
Slagelsekredsen,1. Dalmose,Sean Littlewood,Radikale Venstre,0
Slagelsekredsen,1. Dalmose,Rasmus Helveg Petersen,Radikale Venstre,2
Slagelsekredsen,1. Dalmose,Zenia Stampe,Radikale Venstre,2
Slagelsekredsen,1. Dalmose,Jeppe Trolle,Radikale Venstre,0
Slagelsekredsen,1. Dalmose,Emrah Tuncer,Radikale Venstre,0
Slagelsekredsen,1. Dalmose,Partiliste,Det Konservative Folkeparti,17
Slagelsekredsen,1. Dalmose,Rune Kristensen,Det Konservative Folkeparti,3
Slagelsekredsen,1. Dalmose,Anette Brix,Det Konservative Folkeparti,0
Slagelsekredsen,1. Dalmose,Marie Louise Friderichsen,Det Konservative Folkeparti,1
Slagelsekredsen,1. Dalmose,Mikkel Lundemann Jensen,Det Konservative Folkeparti,0
Slagelsekredsen,1. Dalmose,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,0
Slagelsekredsen,1. Dalmose,Brian Mikkelsen,Det Konservative Folkeparti,10
Slagelsekredsen,1. Dalmose,Christian Wedell-Neergaard,Det Konservative Folkeparti,0
Slagelsekredsen,1. Dalmose,Partiliste,SF - Socialistisk Folkeparti,31
