Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Vordingborgkredsen,1. Vordingborg,Partiliste,Socialdemokratiet,402
Vordingborgkredsen,1. Vordingborg,Pernille Rosenkrantz-Theil,Socialdemokratiet,490
Vordingborgkredsen,1. Vordingborg,Tom Block,Socialdemokratiet,4
Vordingborgkredsen,1. Vordingborg,Lennart Damsbo-Andersen,Socialdemokratiet,4
Vordingborgkredsen,1. Vordingborg,Kaare Dybvad,Socialdemokratiet,3
Vordingborgkredsen,1. Vordingborg,Mette Gjerskov,Socialdemokratiet,4
Vordingborgkredsen,1. Vordingborg,Jeannie Thorving Hansen,Socialdemokratiet,5
Vordingborgkredsen,1. Vordingborg,Magnus Heunicke,Socialdemokratiet,78
Vordingborgkredsen,1. Vordingborg,Ole Hækkerup,Socialdemokratiet,6
Vordingborgkredsen,1. Vordingborg,Astrid Krag,Socialdemokratiet,47
Vordingborgkredsen,1. Vordingborg,Rasmus Horn Langhoff,Socialdemokratiet,2
Vordingborgkredsen,1. Vordingborg,Henrik Sass Larsen,Socialdemokratiet,12
Vordingborgkredsen,1. Vordingborg,Kasper Roug,Socialdemokratiet,7
Vordingborgkredsen,1. Vordingborg,Partiliste,Radikale Venstre,52
Vordingborgkredsen,1. Vordingborg,Jan Heidebo,Radikale Venstre,6
Vordingborgkredsen,1. Vordingborg,Troels Brandt,Radikale Venstre,2
Vordingborgkredsen,1. Vordingborg,Henriette Bødewadt,Radikale Venstre,1
Vordingborgkredsen,1. Vordingborg,Sean Littlewood,Radikale Venstre,0
Vordingborgkredsen,1. Vordingborg,Rasmus Helveg Petersen,Radikale Venstre,7
Vordingborgkredsen,1. Vordingborg,Zenia Stampe,Radikale Venstre,32
Vordingborgkredsen,1. Vordingborg,Jeppe Trolle,Radikale Venstre,1
Vordingborgkredsen,1. Vordingborg,Emrah Tuncer,Radikale Venstre,0
Vordingborgkredsen,1. Vordingborg,Partiliste,Det Konservative Folkeparti,49
Vordingborgkredsen,1. Vordingborg,Anette Brix,Det Konservative Folkeparti,17
Vordingborgkredsen,1. Vordingborg,Marie Louise Friderichsen,Det Konservative Folkeparti,6
Vordingborgkredsen,1. Vordingborg,Mikkel Lundemann Jensen,Det Konservative Folkeparti,1
Vordingborgkredsen,1. Vordingborg,Brigitte Klintskov Jerkel,Det Konservative Folkeparti,4
Vordingborgkredsen,1. Vordingborg,Rune Kristensen,Det Konservative Folkeparti,1
Vordingborgkredsen,1. Vordingborg,Brian Mikkelsen,Det Konservative Folkeparti,25
Vordingborgkredsen,1. Vordingborg,Christian Wedell-Neergaard,Det Konservative Folkeparti,6
Vordingborgkredsen,1. Vordingborg,Partiliste,SF - Socialistisk Folkeparti,81
Vordingborgkredsen,1. Vordingborg,Ulla Birk Johansen,SF - Socialistisk Folkeparti,30
Vordingborgkredsen,1. Vordingborg,Tina Boel,SF - Socialistisk Folkeparti,2
Vordingborgkredsen,1. Vordingborg,Meta Fuglsang,SF - Socialistisk Folkeparti,28
Vordingborgkredsen,1. Vordingborg,Michael Graakjær,SF - Socialistisk Folkeparti,1
Vordingborgkredsen,1. Vordingborg,Annemette Schønberg Johnsen,SF - Socialistisk Folkeparti,1
Vordingborgkredsen,1. Vordingborg,Hans Kristiansen,SF - Socialistisk Folkeparti,0
Vordingborgkredsen,1. Vordingborg,Trine Mach,SF - Socialistisk Folkeparti,0
Vordingborgkredsen,1. Vordingborg,Jacob Mark,SF - Socialistisk Folkeparti,6
Vordingborgkredsen,1. Vordingborg,Ronja Rose Ravnskov,SF - Socialistisk Folkeparti,1
Vordingborgkredsen,1. Vordingborg,Bente Juul Røttig,SF - Socialistisk Folkeparti,0
Vordingborgkredsen,1. Vordingborg,Dorte Skovgård,SF - Socialistisk Folkeparti,1
Vordingborgkredsen,1. Vordingborg,Flemming Stenild,SF - Socialistisk Folkeparti,6
Vordingborgkredsen,1. Vordingborg,Partiliste,Liberal Alliance,134
Vordingborgkredsen,1. Vordingborg,Villum Christensen,Liberal Alliance,15
Vordingborgkredsen,1. Vordingborg,Henrik Boye,Liberal Alliance,5
Vordingborgkredsen,1. Vordingborg,Frederik Damgaard,Liberal Alliance,1
Vordingborgkredsen,1. Vordingborg,Knud Damgaard,Liberal Alliance,0
Vordingborgkredsen,1. Vordingborg,Kisser Franciska,Liberal Alliance,3
Vordingborgkredsen,1. Vordingborg,Andreas Hastrup,Liberal Alliance,15
Vordingborgkredsen,1. Vordingborg,Vibeke Hellmann,Liberal Alliance,5
Vordingborgkredsen,1. Vordingborg,Rikke Jakobsen,Liberal Alliance,5
Vordingborgkredsen,1. Vordingborg,Thomas Peder Lunden,Liberal Alliance,0
Vordingborgkredsen,1. Vordingborg,Thomas Vesth,Liberal Alliance,0
Vordingborgkredsen,1. Vordingborg,Partiliste,Kristendemokraterne,9
Vordingborgkredsen,1. Vordingborg,Jacob Hellwing,Kristendemokraterne,1
Vordingborgkredsen,1. Vordingborg,Mette Guldager,Kristendemokraterne,0
Vordingborgkredsen,1. Vordingborg,Egon Jakobsen,Kristendemokraterne,0
Vordingborgkredsen,1. Vordingborg,Per Kristensen,Kristendemokraterne,0
Vordingborgkredsen,1. Vordingborg,Lisbeth Rask Nielsen,Kristendemokraterne,0
Vordingborgkredsen,1. Vordingborg,Lasse Rasmussen,Kristendemokraterne,1
Vordingborgkredsen,1. Vordingborg,Martin Sørensen,Kristendemokraterne,0
