Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Tønderkredsen,1. Bredebro,Partiliste,Socialdemokratiet,171
Tønderkredsen,1. Bredebro,Jan Salskov,Socialdemokratiet,15
Tønderkredsen,1. Bredebro,Niels Ole Beck,Socialdemokratiet,1
Tønderkredsen,1. Bredebro,Helle Due Buchvaldt,Socialdemokratiet,6
Tønderkredsen,1. Bredebro,Bjarne Corydon,Socialdemokratiet,12
Tønderkredsen,1. Bredebro,Benny Engelbrecht,Socialdemokratiet,10
Tønderkredsen,1. Bredebro,Ove Jensen,Socialdemokratiet,0
Tønderkredsen,1. Bredebro,Karen J. Klint,Socialdemokratiet,2
Tønderkredsen,1. Bredebro,Christian Rabjerg Madsen,Socialdemokratiet,0
Tønderkredsen,1. Bredebro,Frank Mosegaard,Socialdemokratiet,0
Tønderkredsen,1. Bredebro,John Nyborg,Socialdemokratiet,0
Tønderkredsen,1. Bredebro,Jesper Petersen,Socialdemokratiet,7
Tønderkredsen,1. Bredebro,Troels Ravn,Socialdemokratiet,5
Tønderkredsen,1. Bredebro,Anne Sina,Socialdemokratiet,62
Tønderkredsen,1. Bredebro,Partiliste,Radikale Venstre,7
Tønderkredsen,1. Bredebro,Stephan Kleinschmidt,Radikale Venstre,10
Tønderkredsen,1. Bredebro,Jonna Buch Andersen,Radikale Venstre,1
Tønderkredsen,1. Bredebro,Rune Christiansen,Radikale Venstre,0
Tønderkredsen,1. Bredebro,Marlene Borst Hansen,Radikale Venstre,0
Tønderkredsen,1. Bredebro,Ole Lynggaard Jørgensen,Radikale Venstre,0
Tønderkredsen,1. Bredebro,Lotte Rod,Radikale Venstre,0
Tønderkredsen,1. Bredebro,John Bach Thygesen,Radikale Venstre,1
Tønderkredsen,1. Bredebro,Hans Vestager,Radikale Venstre,0
Tønderkredsen,1. Bredebro,Partiliste,Det Konservative Folkeparti,14
Tønderkredsen,1. Bredebro,Mike Legarth,Det Konservative Folkeparti,14
Tønderkredsen,1. Bredebro,Dan Arnløv,Det Konservative Folkeparti,1
Tønderkredsen,1. Bredebro,Tine Roos Nørgaard,Det Konservative Folkeparti,1
Tønderkredsen,1. Bredebro,Tina Franson Spile,Det Konservative Folkeparti,0
Tønderkredsen,1. Bredebro,Peder Tørnqvist,Det Konservative Folkeparti,2
Tønderkredsen,1. Bredebro,Partiliste,SF - Socialistisk Folkeparti,12
Tønderkredsen,1. Bredebro,Henrik Møller,SF - Socialistisk Folkeparti,2
Tønderkredsen,1. Bredebro,Brian Bruhn,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Ida Damborg,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Karina Lorentzen Dehnhardt,SF - Socialistisk Folkeparti,7
Tønderkredsen,1. Bredebro,Hans Holmer,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Claus Larsen,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Susanne Mathiesen,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Rune Bai Nielsen,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Ronny Roy Nielsen,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Lars Olesen,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Einar Olsen,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Dennis Ørsted Petersen,SF - Socialistisk Folkeparti,0
Tønderkredsen,1. Bredebro,Hans Winther,SF - Socialistisk Folkeparti,1
Tønderkredsen,1. Bredebro,Partiliste,Liberal Alliance,34
Tønderkredsen,1. Bredebro,Mette Bock,Liberal Alliance,47
Tønderkredsen,1. Bredebro,Henrik Dahl,Liberal Alliance,11
Tønderkredsen,1. Bredebro,Sarah Maria Grønbæk,Liberal Alliance,0
Tønderkredsen,1. Bredebro,Steen Holm Iversen,Liberal Alliance,0
Tønderkredsen,1. Bredebro,Jakob Arendt Laursen,Liberal Alliance,0
