Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Herning Nordkredsen,13. Aulum,Partiliste,Socialdemokratiet,244
Herning Nordkredsen,13. Aulum,Anders Andreasen,Socialdemokratiet,17
Herning Nordkredsen,13. Aulum,Kasper Skov Andersen,Socialdemokratiet,3
Herning Nordkredsen,13. Aulum,Helle Dam,Socialdemokratiet,13
Herning Nordkredsen,13. Aulum,Lars Fibæk,Socialdemokratiet,0
Herning Nordkredsen,13. Aulum,Karin Gaardsted,Socialdemokratiet,6
Herning Nordkredsen,13. Aulum,Frank Heidemann,Socialdemokratiet,2
Herning Nordkredsen,13. Aulum,Mogens Jensen,Socialdemokratiet,152
Herning Nordkredsen,13. Aulum,Thomas Jensen,Socialdemokratiet,3
Herning Nordkredsen,13. Aulum,Annette Lind,Socialdemokratiet,62
Herning Nordkredsen,13. Aulum,Anne Paulin,Socialdemokratiet,9
Herning Nordkredsen,13. Aulum,Partiliste,Radikale Venstre,30
Herning Nordkredsen,13. Aulum,Erika Asmuss,Radikale Venstre,1
Herning Nordkredsen,13. Aulum,Sanne Bjørn,Radikale Venstre,0
Herning Nordkredsen,13. Aulum,Jes Juul Lauesen,Radikale Venstre,0
Herning Nordkredsen,13. Aulum,Johannes Lebech,Radikale Venstre,6
Herning Nordkredsen,13. Aulum,Andreas Steenberg,Radikale Venstre,10
Herning Nordkredsen,13. Aulum,Partiliste,Det Konservative Folkeparti,26
Herning Nordkredsen,13. Aulum,Søren Pape,Det Konservative Folkeparti,63
Herning Nordkredsen,13. Aulum,Pernille Bloch,Det Konservative Folkeparti,1
Herning Nordkredsen,13. Aulum,Jens-Henrik Kirk,Det Konservative Folkeparti,11
Herning Nordkredsen,13. Aulum,Jette Philipsen,Det Konservative Folkeparti,1
Herning Nordkredsen,13. Aulum,Tove Videbæk,Det Konservative Folkeparti,13
Herning Nordkredsen,13. Aulum,Orla Østerby,Det Konservative Folkeparti,1
Herning Nordkredsen,13. Aulum,Partiliste,SF - Socialistisk Folkeparti,36
Herning Nordkredsen,13. Aulum,Peter Nowack,SF - Socialistisk Folkeparti,2
Herning Nordkredsen,13. Aulum,Andreas Albertsen,SF - Socialistisk Folkeparti,0
Herning Nordkredsen,13. Aulum,Kai O. Andersen,SF - Socialistisk Folkeparti,0
Herning Nordkredsen,13. Aulum,Steen Gade,SF - Socialistisk Folkeparti,8
