Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Ikastkredsen,1. Ejstrup,Partiliste,Socialdemokratiet,162
Ikastkredsen,1. Ejstrup,Frank Heidemann,Socialdemokratiet,81
Ikastkredsen,1. Ejstrup,Kasper Skov Andersen,Socialdemokratiet,2
Ikastkredsen,1. Ejstrup,Anders Andreasen,Socialdemokratiet,1
Ikastkredsen,1. Ejstrup,Helle Dam,Socialdemokratiet,11
Ikastkredsen,1. Ejstrup,Lars Fibæk,Socialdemokratiet,0
Ikastkredsen,1. Ejstrup,Karin Gaardsted,Socialdemokratiet,4
Ikastkredsen,1. Ejstrup,Mogens Jensen,Socialdemokratiet,14
Ikastkredsen,1. Ejstrup,Thomas Jensen,Socialdemokratiet,5
Ikastkredsen,1. Ejstrup,Annette Lind,Socialdemokratiet,9
Ikastkredsen,1. Ejstrup,Anne Paulin,Socialdemokratiet,0
Ikastkredsen,1. Ejstrup,Partiliste,Radikale Venstre,17
Ikastkredsen,1. Ejstrup,Jes Juul Lauesen,Radikale Venstre,2
Ikastkredsen,1. Ejstrup,Erika Asmuss,Radikale Venstre,0
Ikastkredsen,1. Ejstrup,Sanne Bjørn,Radikale Venstre,0
Ikastkredsen,1. Ejstrup,Johannes Lebech,Radikale Venstre,1
Ikastkredsen,1. Ejstrup,Andreas Steenberg,Radikale Venstre,4
Ikastkredsen,1. Ejstrup,Partiliste,Det Konservative Folkeparti,9
Ikastkredsen,1. Ejstrup,Søren Pape,Det Konservative Folkeparti,39
Ikastkredsen,1. Ejstrup,Pernille Bloch,Det Konservative Folkeparti,0
Ikastkredsen,1. Ejstrup,Jens-Henrik Kirk,Det Konservative Folkeparti,0
Ikastkredsen,1. Ejstrup,Jette Philipsen,Det Konservative Folkeparti,4
Ikastkredsen,1. Ejstrup,Tove Videbæk,Det Konservative Folkeparti,7
Ikastkredsen,1. Ejstrup,Orla Østerby,Det Konservative Folkeparti,0
Ikastkredsen,1. Ejstrup,Partiliste,SF - Socialistisk Folkeparti,22
Ikastkredsen,1. Ejstrup,Anders Udengaard,SF - Socialistisk Folkeparti,5
Ikastkredsen,1. Ejstrup,Andreas Albertsen,SF - Socialistisk Folkeparti,0
Ikastkredsen,1. Ejstrup,Kai O. Andersen,SF - Socialistisk Folkeparti,0
Ikastkredsen,1. Ejstrup,Steen Gade,SF - Socialistisk Folkeparti,1
Ikastkredsen,1. Ejstrup,Hanne Jacobsen,SF - Socialistisk Folkeparti,0
Ikastkredsen,1. Ejstrup,Signe Munk,SF - Socialistisk Folkeparti,2
Ikastkredsen,1. Ejstrup,Susanne Buch Nielsen,SF - Socialistisk Folkeparti,1
Ikastkredsen,1. Ejstrup,Peter Nowack,SF - Socialistisk Folkeparti,2
Ikastkredsen,1. Ejstrup,August Vigen Smolarz,SF - Socialistisk Folkeparti,1
Ikastkredsen,1. Ejstrup,Gagendran Srisurendran,SF - Socialistisk Folkeparti,0
Ikastkredsen,1. Ejstrup,Michael Thomsen,SF - Socialistisk Folkeparti,0
Ikastkredsen,1. Ejstrup,Partiliste,Liberal Alliance,66
Ikastkredsen,1. Ejstrup,Leif Mikkelsen,Liberal Alliance,21
Ikastkredsen,1. Ejstrup,Lene Foged,Liberal Alliance,3
Ikastkredsen,1. Ejstrup,Emilia Djomina Hansen,Liberal Alliance,1
Ikastkredsen,1. Ejstrup,Jakob Hildebrandt Hansen,Liberal Alliance,0
Ikastkredsen,1. Ejstrup,Johnny Heinmann,Liberal Alliance,1
Ikastkredsen,1. Ejstrup,Kjeld Aagaard Kjærulff,Liberal Alliance,0
Ikastkredsen,1. Ejstrup,Keld Lorenzen,Liberal Alliance,0
Ikastkredsen,1. Ejstrup,Steffen Troldtoft,Liberal Alliance,0
Ikastkredsen,1. Ejstrup,Partiliste,Kristendemokraterne,12
Ikastkredsen,1. Ejstrup,Karlo Brondbjerg,Kristendemokraterne,3
Ikastkredsen,1. Ejstrup,Kristian Andersen,Kristendemokraterne,8
Ikastkredsen,1. Ejstrup,Verner B. Andersen,Kristendemokraterne,0
Ikastkredsen,1. Ejstrup,Brian Christensen,Kristendemokraterne,0
Ikastkredsen,1. Ejstrup,Knud Gaarn-Larsen,Kristendemokraterne,0
Ikastkredsen,1. Ejstrup,Jens Ove Kjeldsen,Kristendemokraterne,4
Ikastkredsen,1. Ejstrup,René Vester Kjær,Kristendemokraterne,0
Ikastkredsen,1. Ejstrup,Troels Moesgaard,Kristendemokraterne,5
Ikastkredsen,1. Ejstrup,Jens Kristian M. Nielsen,Kristendemokraterne,0
Ikastkredsen,1. Ejstrup,Kirsten Nørgaard Nielsen,Kristendemokraterne,0
Ikastkredsen,1. Ejstrup,Jacob Rabjerg,Kristendemokraterne,2
Ikastkredsen,1. Ejstrup,Partiliste,Dansk Folkeparti,427
Ikastkredsen,1. Ejstrup,Alex Rosenbæk,Dansk Folkeparti,52
Ikastkredsen,1. Ejstrup,Martin Lange Andersen,Dansk Folkeparti,2
Ikastkredsen,1. Ejstrup,Preben Andersen,Dansk Folkeparti,7
Ikastkredsen,1. Ejstrup,Karina Due,Dansk Folkeparti,9
Ikastkredsen,1. Ejstrup,Dennis Flydtkjær,Dansk Folkeparti,12
Ikastkredsen,1. Ejstrup,Anders Ladegaard,Dansk Folkeparti,9
Ikastkredsen,1. Ejstrup,Christian Langballe,Dansk Folkeparti,11
Ikastkredsen,1. Ejstrup,Jette Lund,Dansk Folkeparti,2
Ikastkredsen,1. Ejstrup,Richardt G. B. Møller,Dansk Folkeparti,0
Ikastkredsen,1. Ejstrup,Peter Pedersen,Dansk Folkeparti,1
Ikastkredsen,1. Ejstrup,Jan Berg Rasmussen,Dansk Folkeparti,12
Ikastkredsen,1. Ejstrup,Partiliste,"Venstre, Danmarks Liberale Parti",106
Ikastkredsen,1. Ejstrup,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",186
Ikastkredsen,1. Ejstrup,Marianne Bredal,"Venstre, Danmarks Liberale Parti",3
Ikastkredsen,1. Ejstrup,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",3
Ikastkredsen,1. Ejstrup,Nicolaj Dupont-Mersing,"Venstre, Danmarks Liberale Parti",3
Ikastkredsen,1. Ejstrup,Bent Jensen,"Venstre, Danmarks Liberale Parti",4
Ikastkredsen,1. Ejstrup,Kristian Jensen,"Venstre, Danmarks Liberale Parti",57
Ikastkredsen,1. Ejstrup,Esben Lunde Larsen,"Venstre, Danmarks Liberale Parti",6
Ikastkredsen,1. Ejstrup,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",3
Ikastkredsen,1. Ejstrup,Charlotte Rosenberg,"Venstre, Danmarks Liberale Parti",0
Ikastkredsen,1. Ejstrup,Mads Rørvig,"Venstre, Danmarks Liberale Parti",2
Ikastkredsen,1. Ejstrup,Inger Støjberg,"Venstre, Danmarks Liberale Parti",37
Ikastkredsen,1. Ejstrup,Partiliste,Enhedslisten - De Rød-Grønne,54
Ikastkredsen,1. Ejstrup,Torben A. Hansen,Enhedslisten - De Rød-Grønne,4
Ikastkredsen,1. Ejstrup,Jakob Sølvhøj,Enhedslisten - De Rød-Grønne,1
Ikastkredsen,1. Ejstrup,Malte Bang,Enhedslisten - De Rød-Grønne,1
Ikastkredsen,1. Ejstrup,Lea Maria Kielsholm,Enhedslisten - De Rød-Grønne,3
Ikastkredsen,1. Ejstrup,Heidi Steenberg Rud,Enhedslisten - De Rød-Grønne,2
Ikastkredsen,1. Ejstrup,Jørn Vedel Eriksen,Enhedslisten - De Rød-Grønne,0
Ikastkredsen,1. Ejstrup,Johnny Zaar,Enhedslisten - De Rød-Grønne,0
Ikastkredsen,1. Ejstrup,Frede Kloch Sørensen,Enhedslisten - De Rød-Grønne,0
Ikastkredsen,1. Ejstrup,Esben Andersen,Enhedslisten - De Rød-Grønne,0
Ikastkredsen,1. Ejstrup,Partiliste,Alternativet,17
Ikastkredsen,1. Ejstrup,Sascha Qvortrup,Alternativet,0
Ikastkredsen,1. Ejstrup,René Gade,Alternativet,0
Ikastkredsen,1. Ejstrup,Jørn Trabjerg Pedersen,Alternativet,2
Ikastkredsen,1. Ejstrup,Erik Sputnik,(Uden for parti),1
Ikastkredsen,2. Gludsted,Partiliste,Socialdemokratiet,31
Ikastkredsen,2. Gludsted,Frank Heidemann,Socialdemokratiet,18
Ikastkredsen,2. Gludsted,Kasper Skov Andersen,Socialdemokratiet,0
Ikastkredsen,2. Gludsted,Anders Andreasen,Socialdemokratiet,1
Ikastkredsen,2. Gludsted,Helle Dam,Socialdemokratiet,0
Ikastkredsen,2. Gludsted,Lars Fibæk,Socialdemokratiet,0
Ikastkredsen,2. Gludsted,Karin Gaardsted,Socialdemokratiet,1
Ikastkredsen,2. Gludsted,Mogens Jensen,Socialdemokratiet,7
Ikastkredsen,2. Gludsted,Thomas Jensen,Socialdemokratiet,0
Ikastkredsen,2. Gludsted,Annette Lind,Socialdemokratiet,2
Ikastkredsen,2. Gludsted,Anne Paulin,Socialdemokratiet,0
Ikastkredsen,2. Gludsted,Partiliste,Radikale Venstre,5
Ikastkredsen,2. Gludsted,Jes Juul Lauesen,Radikale Venstre,0
Ikastkredsen,2. Gludsted,Erika Asmuss,Radikale Venstre,0
Ikastkredsen,2. Gludsted,Sanne Bjørn,Radikale Venstre,0
Ikastkredsen,2. Gludsted,Johannes Lebech,Radikale Venstre,0
Ikastkredsen,2. Gludsted,Andreas Steenberg,Radikale Venstre,1
Ikastkredsen,2. Gludsted,Partiliste,Det Konservative Folkeparti,2
Ikastkredsen,2. Gludsted,Søren Pape,Det Konservative Folkeparti,9
Ikastkredsen,2. Gludsted,Pernille Bloch,Det Konservative Folkeparti,0
Ikastkredsen,2. Gludsted,Jens-Henrik Kirk,Det Konservative Folkeparti,1
Ikastkredsen,2. Gludsted,Jette Philipsen,Det Konservative Folkeparti,0
Ikastkredsen,2. Gludsted,Tove Videbæk,Det Konservative Folkeparti,1
Ikastkredsen,2. Gludsted,Orla Østerby,Det Konservative Folkeparti,0
Ikastkredsen,2. Gludsted,Partiliste,SF - Socialistisk Folkeparti,9
Ikastkredsen,2. Gludsted,Anders Udengaard,SF - Socialistisk Folkeparti,1
Ikastkredsen,2. Gludsted,Andreas Albertsen,SF - Socialistisk Folkeparti,0
Ikastkredsen,2. Gludsted,Kai O. Andersen,SF - Socialistisk Folkeparti,0
Ikastkredsen,2. Gludsted,Steen Gade,SF - Socialistisk Folkeparti,1
Ikastkredsen,2. Gludsted,Hanne Jacobsen,SF - Socialistisk Folkeparti,1
Ikastkredsen,2. Gludsted,Signe Munk,SF - Socialistisk Folkeparti,0
Ikastkredsen,2. Gludsted,Susanne Buch Nielsen,SF - Socialistisk Folkeparti,1
Ikastkredsen,2. Gludsted,Peter Nowack,SF - Socialistisk Folkeparti,0
Ikastkredsen,2. Gludsted,August Vigen Smolarz,SF - Socialistisk Folkeparti,0
Ikastkredsen,2. Gludsted,Gagendran Srisurendran,SF - Socialistisk Folkeparti,0
Ikastkredsen,2. Gludsted,Michael Thomsen,SF - Socialistisk Folkeparti,0
Ikastkredsen,2. Gludsted,Partiliste,Liberal Alliance,18
Ikastkredsen,2. Gludsted,Leif Mikkelsen,Liberal Alliance,3
Ikastkredsen,2. Gludsted,Lene Foged,Liberal Alliance,0
Ikastkredsen,2. Gludsted,Emilia Djomina Hansen,Liberal Alliance,0
Ikastkredsen,2. Gludsted,Jakob Hildebrandt Hansen,Liberal Alliance,0
Ikastkredsen,2. Gludsted,Johnny Heinmann,Liberal Alliance,0
Ikastkredsen,2. Gludsted,Kjeld Aagaard Kjærulff,Liberal Alliance,0
Ikastkredsen,2. Gludsted,Keld Lorenzen,Liberal Alliance,0
Ikastkredsen,2. Gludsted,Steffen Troldtoft,Liberal Alliance,2
Ikastkredsen,2. Gludsted,Partiliste,Kristendemokraterne,5
Ikastkredsen,2. Gludsted,Karlo Brondbjerg,Kristendemokraterne,1
Ikastkredsen,2. Gludsted,Kristian Andersen,Kristendemokraterne,6
Ikastkredsen,2. Gludsted,Verner B. Andersen,Kristendemokraterne,0
Ikastkredsen,2. Gludsted,Brian Christensen,Kristendemokraterne,0
Ikastkredsen,2. Gludsted,Knud Gaarn-Larsen,Kristendemokraterne,0
Ikastkredsen,2. Gludsted,Jens Ove Kjeldsen,Kristendemokraterne,0
Ikastkredsen,2. Gludsted,René Vester Kjær,Kristendemokraterne,0
Ikastkredsen,2. Gludsted,Troels Moesgaard,Kristendemokraterne,3
Ikastkredsen,2. Gludsted,Jens Kristian M. Nielsen,Kristendemokraterne,0
Ikastkredsen,2. Gludsted,Kirsten Nørgaard Nielsen,Kristendemokraterne,0
Ikastkredsen,2. Gludsted,Jacob Rabjerg,Kristendemokraterne,1
Ikastkredsen,2. Gludsted,Partiliste,Dansk Folkeparti,94
Ikastkredsen,2. Gludsted,Alex Rosenbæk,Dansk Folkeparti,13
Ikastkredsen,2. Gludsted,Martin Lange Andersen,Dansk Folkeparti,2
Ikastkredsen,2. Gludsted,Preben Andersen,Dansk Folkeparti,1
Ikastkredsen,2. Gludsted,Karina Due,Dansk Folkeparti,1
Ikastkredsen,2. Gludsted,Dennis Flydtkjær,Dansk Folkeparti,2
Ikastkredsen,2. Gludsted,Anders Ladegaard,Dansk Folkeparti,3
Ikastkredsen,2. Gludsted,Christian Langballe,Dansk Folkeparti,1
Ikastkredsen,2. Gludsted,Jette Lund,Dansk Folkeparti,0
Ikastkredsen,2. Gludsted,Richardt G. B. Møller,Dansk Folkeparti,0
Ikastkredsen,2. Gludsted,Peter Pedersen,Dansk Folkeparti,0
