Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Ringkøbingkredsen,1. Tarm,Partiliste,Socialdemokratiet,358
Ringkøbingkredsen,1. Tarm,Anders Andreasen,Socialdemokratiet,11
Ringkøbingkredsen,1. Tarm,Kasper Skov Andersen,Socialdemokratiet,3
Ringkøbingkredsen,1. Tarm,Helle Dam,Socialdemokratiet,11
Ringkøbingkredsen,1. Tarm,Lars Fibæk,Socialdemokratiet,2
Ringkøbingkredsen,1. Tarm,Karin Gaardsted,Socialdemokratiet,5
Ringkøbingkredsen,1. Tarm,Frank Heidemann,Socialdemokratiet,0
Ringkøbingkredsen,1. Tarm,Mogens Jensen,Socialdemokratiet,70
Ringkøbingkredsen,1. Tarm,Thomas Jensen,Socialdemokratiet,5
Ringkøbingkredsen,1. Tarm,Annette Lind,Socialdemokratiet,226
Ringkøbingkredsen,1. Tarm,Anne Paulin,Socialdemokratiet,2
Ringkøbingkredsen,1. Tarm,Partiliste,Radikale Venstre,40
Ringkøbingkredsen,1. Tarm,Erika Asmuss,Radikale Venstre,1
Ringkøbingkredsen,1. Tarm,Sanne Bjørn,Radikale Venstre,4
Ringkøbingkredsen,1. Tarm,Jes Juul Lauesen,Radikale Venstre,1
Ringkøbingkredsen,1. Tarm,Johannes Lebech,Radikale Venstre,9
Ringkøbingkredsen,1. Tarm,Andreas Steenberg,Radikale Venstre,10
Ringkøbingkredsen,1. Tarm,Partiliste,Det Konservative Folkeparti,20
Ringkøbingkredsen,1. Tarm,Søren Pape,Det Konservative Folkeparti,75
Ringkøbingkredsen,1. Tarm,Pernille Bloch,Det Konservative Folkeparti,2
Ringkøbingkredsen,1. Tarm,Jens-Henrik Kirk,Det Konservative Folkeparti,0
Ringkøbingkredsen,1. Tarm,Jette Philipsen,Det Konservative Folkeparti,2
Ringkøbingkredsen,1. Tarm,Tove Videbæk,Det Konservative Folkeparti,5
Ringkøbingkredsen,1. Tarm,Orla Østerby,Det Konservative Folkeparti,4
Ringkøbingkredsen,1. Tarm,Partiliste,SF - Socialistisk Folkeparti,41
Ringkøbingkredsen,1. Tarm,Andreas Albertsen,SF - Socialistisk Folkeparti,25
Ringkøbingkredsen,1. Tarm,Kai O. Andersen,SF - Socialistisk Folkeparti,1
Ringkøbingkredsen,1. Tarm,Steen Gade,SF - Socialistisk Folkeparti,18
Ringkøbingkredsen,1. Tarm,Hanne Jacobsen,SF - Socialistisk Folkeparti,0
Ringkøbingkredsen,1. Tarm,Signe Munk,SF - Socialistisk Folkeparti,0
Ringkøbingkredsen,1. Tarm,Susanne Buch Nielsen,SF - Socialistisk Folkeparti,2
Ringkøbingkredsen,1. Tarm,Peter Nowack,SF - Socialistisk Folkeparti,0
Ringkøbingkredsen,1. Tarm,August Vigen Smolarz,SF - Socialistisk Folkeparti,1
Ringkøbingkredsen,1. Tarm,Gagendran Srisurendran,SF - Socialistisk Folkeparti,12
Ringkøbingkredsen,1. Tarm,Michael Thomsen,SF - Socialistisk Folkeparti,1
Ringkøbingkredsen,1. Tarm,Anders Udengaard,SF - Socialistisk Folkeparti,0
Ringkøbingkredsen,1. Tarm,Partiliste,Liberal Alliance,70
Ringkøbingkredsen,1. Tarm,Leif Mikkelsen,Liberal Alliance,26
Ringkøbingkredsen,1. Tarm,Lene Foged,Liberal Alliance,10
Ringkøbingkredsen,1. Tarm,Emilia Djomina Hansen,Liberal Alliance,3
Ringkøbingkredsen,1. Tarm,Jakob Hildebrandt Hansen,Liberal Alliance,11
Ringkøbingkredsen,1. Tarm,Johnny Heinmann,Liberal Alliance,0
Ringkøbingkredsen,1. Tarm,Kjeld Aagaard Kjærulff,Liberal Alliance,0
Ringkøbingkredsen,1. Tarm,Keld Lorenzen,Liberal Alliance,1
Ringkøbingkredsen,1. Tarm,Steffen Troldtoft,Liberal Alliance,1
Ringkøbingkredsen,1. Tarm,Partiliste,Kristendemokraterne,17
Ringkøbingkredsen,1. Tarm,Kristian Andersen,Kristendemokraterne,226
Ringkøbingkredsen,1. Tarm,Verner B. Andersen,Kristendemokraterne,0
Ringkøbingkredsen,1. Tarm,Karlo Brondbjerg,Kristendemokraterne,0
Ringkøbingkredsen,1. Tarm,Brian Christensen,Kristendemokraterne,0
Ringkøbingkredsen,1. Tarm,Knud Gaarn-Larsen,Kristendemokraterne,1
Ringkøbingkredsen,1. Tarm,Jens Ove Kjeldsen,Kristendemokraterne,0
Ringkøbingkredsen,1. Tarm,René Vester Kjær,Kristendemokraterne,0
Ringkøbingkredsen,1. Tarm,Troels Moesgaard,Kristendemokraterne,0
Ringkøbingkredsen,1. Tarm,Jens Kristian M. Nielsen,Kristendemokraterne,1
Ringkøbingkredsen,1. Tarm,Kirsten Nørgaard Nielsen,Kristendemokraterne,1
Ringkøbingkredsen,1. Tarm,Jacob Rabjerg,Kristendemokraterne,0
Ringkøbingkredsen,1. Tarm,Partiliste,Dansk Folkeparti,397
Ringkøbingkredsen,1. Tarm,Dennis Flydtkjær,Dansk Folkeparti,257
Ringkøbingkredsen,1. Tarm,Martin Lange Andersen,Dansk Folkeparti,12
Ringkøbingkredsen,1. Tarm,Preben Andersen,Dansk Folkeparti,3
Ringkøbingkredsen,1. Tarm,Karina Due,Dansk Folkeparti,6
Ringkøbingkredsen,1. Tarm,Anders Ladegaard,Dansk Folkeparti,6
Ringkøbingkredsen,1. Tarm,Christian Langballe,Dansk Folkeparti,19
Ringkøbingkredsen,1. Tarm,Jette Lund,Dansk Folkeparti,6
Ringkøbingkredsen,1. Tarm,Richardt G. B. Møller,Dansk Folkeparti,1
Ringkøbingkredsen,1. Tarm,Peter Pedersen,Dansk Folkeparti,3
Ringkøbingkredsen,1. Tarm,Jan Berg Rasmussen,Dansk Folkeparti,12
Ringkøbingkredsen,1. Tarm,Alex Rosenbæk,Dansk Folkeparti,2
Ringkøbingkredsen,1. Tarm,Partiliste,"Venstre, Danmarks Liberale Parti",163
Ringkøbingkredsen,1. Tarm,Esben Lunde Larsen,"Venstre, Danmarks Liberale Parti",613
Ringkøbingkredsen,1. Tarm,Marianne Bredal,"Venstre, Danmarks Liberale Parti",7
Ringkøbingkredsen,1. Tarm,Thomas Danielsen,"Venstre, Danmarks Liberale Parti",2
Ringkøbingkredsen,1. Tarm,Nicolaj Dupont-Mersing,"Venstre, Danmarks Liberale Parti",5
Ringkøbingkredsen,1. Tarm,Bent Jensen,"Venstre, Danmarks Liberale Parti",0
Ringkøbingkredsen,1. Tarm,Kristian Jensen,"Venstre, Danmarks Liberale Parti",65
Ringkøbingkredsen,1. Tarm,Carsten Kissmeyer,"Venstre, Danmarks Liberale Parti",10
Ringkøbingkredsen,1. Tarm,Kristian Pihl Lorentzen,"Venstre, Danmarks Liberale Parti",10
