Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Viborg Østkredsen,9. Bjerringbro Nord,Partiliste,Socialdemokratiet,579
Viborg Østkredsen,9. Bjerringbro Nord,Kasper Skov Andersen,Socialdemokratiet,32
Viborg Østkredsen,9. Bjerringbro Nord,Anders Andreasen,Socialdemokratiet,5
Viborg Østkredsen,9. Bjerringbro Nord,Helle Dam,Socialdemokratiet,27
Viborg Østkredsen,9. Bjerringbro Nord,Lars Fibæk,Socialdemokratiet,0
Viborg Østkredsen,9. Bjerringbro Nord,Karin Gaardsted,Socialdemokratiet,262
Viborg Østkredsen,9. Bjerringbro Nord,Frank Heidemann,Socialdemokratiet,3
Viborg Østkredsen,9. Bjerringbro Nord,Mogens Jensen,Socialdemokratiet,44
Viborg Østkredsen,9. Bjerringbro Nord,Thomas Jensen,Socialdemokratiet,15
Viborg Østkredsen,9. Bjerringbro Nord,Annette Lind,Socialdemokratiet,20
Viborg Østkredsen,9. Bjerringbro Nord,Anne Paulin,Socialdemokratiet,20
Viborg Østkredsen,9. Bjerringbro Nord,Partiliste,Radikale Venstre,65
Viborg Østkredsen,9. Bjerringbro Nord,Sanne Bjørn,Radikale Venstre,7
Viborg Østkredsen,9. Bjerringbro Nord,Erika Asmuss,Radikale Venstre,1
Viborg Østkredsen,9. Bjerringbro Nord,Jes Juul Lauesen,Radikale Venstre,2
Viborg Østkredsen,9. Bjerringbro Nord,Johannes Lebech,Radikale Venstre,8
Viborg Østkredsen,9. Bjerringbro Nord,Andreas Steenberg,Radikale Venstre,11
Viborg Østkredsen,9. Bjerringbro Nord,Partiliste,Det Konservative Folkeparti,27
Viborg Østkredsen,9. Bjerringbro Nord,Søren Pape,Det Konservative Folkeparti,884
Viborg Østkredsen,9. Bjerringbro Nord,Pernille Bloch,Det Konservative Folkeparti,0
Viborg Østkredsen,9. Bjerringbro Nord,Jens-Henrik Kirk,Det Konservative Folkeparti,0
Viborg Østkredsen,9. Bjerringbro Nord,Jette Philipsen,Det Konservative Folkeparti,1
Viborg Østkredsen,9. Bjerringbro Nord,Tove Videbæk,Det Konservative Folkeparti,2
Viborg Østkredsen,9. Bjerringbro Nord,Orla Østerby,Det Konservative Folkeparti,0
Viborg Østkredsen,9. Bjerringbro Nord,Partiliste,SF - Socialistisk Folkeparti,80
Viborg Østkredsen,9. Bjerringbro Nord,Kai O. Andersen,SF - Socialistisk Folkeparti,3
Viborg Østkredsen,9. Bjerringbro Nord,Andreas Albertsen,SF - Socialistisk Folkeparti,0
Viborg Østkredsen,9. Bjerringbro Nord,Steen Gade,SF - Socialistisk Folkeparti,29
Viborg Østkredsen,9. Bjerringbro Nord,Hanne Jacobsen,SF - Socialistisk Folkeparti,0
Viborg Østkredsen,9. Bjerringbro Nord,Signe Munk,SF - Socialistisk Folkeparti,47
Viborg Østkredsen,9. Bjerringbro Nord,Susanne Buch Nielsen,SF - Socialistisk Folkeparti,1
Viborg Østkredsen,9. Bjerringbro Nord,Peter Nowack,SF - Socialistisk Folkeparti,1
Viborg Østkredsen,9. Bjerringbro Nord,August Vigen Smolarz,SF - Socialistisk Folkeparti,2
