Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Partiliste,Socialdemokratiet,348
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Christen Sørensen,Socialdemokratiet,35
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Kirsten Brosbøl,Socialdemokratiet,72
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Daniel Toft Jakobsen,Socialdemokratiet,6
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Leif Lahn Jensen,Socialdemokratiet,6
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Jens Joel,Socialdemokratiet,79
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Henrik Dam Kristensen,Socialdemokratiet,22
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Malte Larsen,Socialdemokratiet,3
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Maja Panduro,Socialdemokratiet,13
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Kim Qvist,Socialdemokratiet,48
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Thyge Risvig,Socialdemokratiet,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Nicolai Wammen,Socialdemokratiet,188
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Partiliste,Radikale Venstre,99
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Sander Jensen,Radikale Venstre,7
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Liv Holm Andersen,Radikale Venstre,20
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Carsten Bech,Radikale Venstre,4
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Casper Karup Hedegaard,Radikale Venstre,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Tom Brøcher Jakobsen,Radikale Venstre,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Jakob Lavrsen,Radikale Venstre,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Karen Melchior,Radikale Venstre,7
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Nils Sjøberg,Radikale Venstre,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Helle Bækkelund Sørensen,Radikale Venstre,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Svend Thorhauge,Radikale Venstre,4
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Morten Østergaard,Radikale Venstre,99
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Partiliste,Det Konservative Folkeparti,37
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Jens Salling,Det Konservative Folkeparti,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Katarina Ammitzbøll,Det Konservative Folkeparti,17
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Christian Hartmann,Det Konservative Folkeparti,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Naser Khader,Det Konservative Folkeparti,23
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Karsten Ulstrup Kristensen,Det Konservative Folkeparti,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Bjarne Lundgaard,Det Konservative Folkeparti,6
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Per Løkken,Det Konservative Folkeparti,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Samina Shah,Det Konservative Folkeparti,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Søren Vanting,Det Konservative Folkeparti,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Partiliste,SF - Socialistisk Folkeparti,102
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Laila Lauridsen,SF - Socialistisk Folkeparti,6
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Paw Amdisen,SF - Socialistisk Folkeparti,4
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Bjarne Andersen,SF - Socialistisk Folkeparti,2
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Eigil Andersen,SF - Socialistisk Folkeparti,11
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Kirsten Normann Andersen,SF - Socialistisk Folkeparti,14
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Kirstine Bille,SF - Socialistisk Folkeparti,7
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Mikkel Borch,SF - Socialistisk Folkeparti,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Jonas Dahl,SF - Socialistisk Folkeparti,19
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Lasse Eriksen,SF - Socialistisk Folkeparti,2
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Ann S. Pedersen,SF - Socialistisk Folkeparti,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Sanne Rubinke,SF - Socialistisk Folkeparti,3
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Partiliste,Liberal Alliance,164
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Ole Birk Olesen,Liberal Alliance,43
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Carsten Bach,Liberal Alliance,6
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Annette Bolvig,Liberal Alliance,4
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Lars Bro,Liberal Alliance,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Jesper Bræmer,Liberal Alliance,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Birgitte Nymann,Liberal Alliance,5
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Jakob Rixen,Liberal Alliance,4
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Per Zeidler,Liberal Alliance,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Partiliste,Kristendemokraterne,25
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Isabella A. Laursen,Kristendemokraterne,15
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Allan Axelsen,Kristendemokraterne,2
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Mathias M. Brosbøl,Kristendemokraterne,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Sven-Erik Jørgensen,Kristendemokraterne,1
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Simon Overby Kristensen,Kristendemokraterne,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Kristian S. Larsen,Kristendemokraterne,0
Aarhus Nordkredsen,"22. Gammelgårdskolen,Åbyhøj",Nils-Erik Mulvad,Kristendemokraterne,0
