Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Partiliste,Socialdemokratiet,531
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Kim Qvist,Socialdemokratiet,35
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Kirsten Brosbøl,Socialdemokratiet,91
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Daniel Toft Jakobsen,Socialdemokratiet,6
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Leif Lahn Jensen,Socialdemokratiet,8
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Jens Joel,Socialdemokratiet,131
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Henrik Dam Kristensen,Socialdemokratiet,35
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Malte Larsen,Socialdemokratiet,3
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Maja Panduro,Socialdemokratiet,23
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Thyge Risvig,Socialdemokratiet,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Christen Sørensen,Socialdemokratiet,34
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Nicolai Wammen,Socialdemokratiet,403
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Partiliste,Radikale Venstre,159
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Liv Holm Andersen,Radikale Venstre,35
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Carsten Bech,Radikale Venstre,2
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Casper Karup Hedegaard,Radikale Venstre,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Tom Brøcher Jakobsen,Radikale Venstre,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Sander Jensen,Radikale Venstre,9
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Jakob Lavrsen,Radikale Venstre,8
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Karen Melchior,Radikale Venstre,7
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Nils Sjøberg,Radikale Venstre,0
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Helle Bækkelund Sørensen,Radikale Venstre,2
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Svend Thorhauge,Radikale Venstre,7
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Morten Østergaard,Radikale Venstre,158
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Partiliste,Det Konservative Folkeparti,64
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Samina Shah,Det Konservative Folkeparti,6
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Katarina Ammitzbøll,Det Konservative Folkeparti,21
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Christian Hartmann,Det Konservative Folkeparti,4
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Naser Khader,Det Konservative Folkeparti,69
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Karsten Ulstrup Kristensen,Det Konservative Folkeparti,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Bjarne Lundgaard,Det Konservative Folkeparti,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Per Løkken,Det Konservative Folkeparti,0
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Jens Salling,Det Konservative Folkeparti,4
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Søren Vanting,Det Konservative Folkeparti,0
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Partiliste,SF - Socialistisk Folkeparti,155
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Eigil Andersen,SF - Socialistisk Folkeparti,13
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Paw Amdisen,SF - Socialistisk Folkeparti,5
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Bjarne Andersen,SF - Socialistisk Folkeparti,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Kirsten Normann Andersen,SF - Socialistisk Folkeparti,31
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Kirstine Bille,SF - Socialistisk Folkeparti,7
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Mikkel Borch,SF - Socialistisk Folkeparti,0
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Jonas Dahl,SF - Socialistisk Folkeparti,25
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Lasse Eriksen,SF - Socialistisk Folkeparti,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Laila Lauridsen,SF - Socialistisk Folkeparti,3
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Ann S. Pedersen,SF - Socialistisk Folkeparti,3
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Sanne Rubinke,SF - Socialistisk Folkeparti,8
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Partiliste,Liberal Alliance,322
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Ole Birk Olesen,Liberal Alliance,60
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Carsten Bach,Liberal Alliance,17
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Annette Bolvig,Liberal Alliance,7
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Lars Bro,Liberal Alliance,0
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Jesper Bræmer,Liberal Alliance,2
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Birgitte Nymann,Liberal Alliance,8
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Jakob Rixen,Liberal Alliance,8
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Per Zeidler,Liberal Alliance,2
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Partiliste,Kristendemokraterne,22
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Mathias M. Brosbøl,Kristendemokraterne,4
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Allan Axelsen,Kristendemokraterne,2
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Sven-Erik Jørgensen,Kristendemokraterne,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Simon Overby Kristensen,Kristendemokraterne,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Kristian S. Larsen,Kristendemokraterne,1
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Isabella A. Laursen,Kristendemokraterne,4
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Nils-Erik Mulvad,Kristendemokraterne,0
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Fridtjof Stidsen,Kristendemokraterne,0
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Esper Thidemann,Kristendemokraterne,0
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Partiliste,Dansk Folkeparti,424
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Knud N. Mathiesen,Dansk Folkeparti,31
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Johnny F. Andresen,Dansk Folkeparti,10
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Tilde Bork,Dansk Folkeparti,9
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Hans Braad,Dansk Folkeparti,8
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Hans Kristian Bundgaard-Skibby,Dansk Folkeparti,4
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Kim Christiansen,Dansk Folkeparti,10
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Per Dalgaard,Dansk Folkeparti,8
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Mette Hjermind Dencker,Dansk Folkeparti,40
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Claus Kvist Hansen,Dansk Folkeparti,5
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Michael Nedersøe,Dansk Folkeparti,2
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Hans Henrik Sørensen,Dansk Folkeparti,2
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Partiliste,"Venstre, Danmarks Liberale Parti",421
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Finn Thranum,"Venstre, Danmarks Liberale Parti",15
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Kim Andersen,"Venstre, Danmarks Liberale Parti",21
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Britt Bager,"Venstre, Danmarks Liberale Parti",54
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Gert Bjerregaard,"Venstre, Danmarks Liberale Parti",24
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Anders Buhl-Christensen,"Venstre, Danmarks Liberale Parti",2
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Anne-Mette Winther Christiansen,"Venstre, Danmarks Liberale Parti",7
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Jakob Ellemann-Jensen,"Venstre, Danmarks Liberale Parti",147
Aarhus Vestkredsen,"7. Rosenvangskolen,Viby J",Michael Aastrup Jensen,"Venstre, Danmarks Liberale Parti",12
