Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Djurskredsen,1. Ebeltoft,Partiliste,Socialdemokratiet,654
Djurskredsen,1. Ebeltoft,Leif Lahn Jensen,Socialdemokratiet,488
Djurskredsen,1. Ebeltoft,Kirsten Brosbøl,Socialdemokratiet,48
Djurskredsen,1. Ebeltoft,Daniel Toft Jakobsen,Socialdemokratiet,3
Djurskredsen,1. Ebeltoft,Jens Joel,Socialdemokratiet,19
Djurskredsen,1. Ebeltoft,Henrik Dam Kristensen,Socialdemokratiet,33
Djurskredsen,1. Ebeltoft,Malte Larsen,Socialdemokratiet,5
Djurskredsen,1. Ebeltoft,Maja Panduro,Socialdemokratiet,18
Djurskredsen,1. Ebeltoft,Kim Qvist,Socialdemokratiet,15
Djurskredsen,1. Ebeltoft,Thyge Risvig,Socialdemokratiet,0
Djurskredsen,1. Ebeltoft,Christen Sørensen,Socialdemokratiet,7
Djurskredsen,1. Ebeltoft,Nicolai Wammen,Socialdemokratiet,192
Djurskredsen,1. Ebeltoft,Partiliste,Radikale Venstre,63
Djurskredsen,1. Ebeltoft,Carsten Bech,Radikale Venstre,26
Djurskredsen,1. Ebeltoft,Liv Holm Andersen,Radikale Venstre,9
Djurskredsen,1. Ebeltoft,Casper Karup Hedegaard,Radikale Venstre,0
Djurskredsen,1. Ebeltoft,Tom Brøcher Jakobsen,Radikale Venstre,1
Djurskredsen,1. Ebeltoft,Sander Jensen,Radikale Venstre,2
Djurskredsen,1. Ebeltoft,Jakob Lavrsen,Radikale Venstre,0
Djurskredsen,1. Ebeltoft,Karen Melchior,Radikale Venstre,5
Djurskredsen,1. Ebeltoft,Nils Sjøberg,Radikale Venstre,0
Djurskredsen,1. Ebeltoft,Helle Bækkelund Sørensen,Radikale Venstre,1
Djurskredsen,1. Ebeltoft,Svend Thorhauge,Radikale Venstre,0
Djurskredsen,1. Ebeltoft,Morten Østergaard,Radikale Venstre,55
Djurskredsen,1. Ebeltoft,Partiliste,Det Konservative Folkeparti,101
Djurskredsen,1. Ebeltoft,Søren Vanting,Det Konservative Folkeparti,5
Djurskredsen,1. Ebeltoft,Katarina Ammitzbøll,Det Konservative Folkeparti,11
Djurskredsen,1. Ebeltoft,Christian Hartmann,Det Konservative Folkeparti,1
Djurskredsen,1. Ebeltoft,Naser Khader,Det Konservative Folkeparti,61
Djurskredsen,1. Ebeltoft,Karsten Ulstrup Kristensen,Det Konservative Folkeparti,0
Djurskredsen,1. Ebeltoft,Bjarne Lundgaard,Det Konservative Folkeparti,4
Djurskredsen,1. Ebeltoft,Per Løkken,Det Konservative Folkeparti,0
Djurskredsen,1. Ebeltoft,Jens Salling,Det Konservative Folkeparti,4
Djurskredsen,1. Ebeltoft,Samina Shah,Det Konservative Folkeparti,2
Djurskredsen,1. Ebeltoft,Partiliste,SF - Socialistisk Folkeparti,80
Djurskredsen,1. Ebeltoft,Kirstine Bille,SF - Socialistisk Folkeparti,292
Djurskredsen,1. Ebeltoft,Paw Amdisen,SF - Socialistisk Folkeparti,1
Djurskredsen,1. Ebeltoft,Bjarne Andersen,SF - Socialistisk Folkeparti,2
Djurskredsen,1. Ebeltoft,Eigil Andersen,SF - Socialistisk Folkeparti,0
Djurskredsen,1. Ebeltoft,Kirsten Normann Andersen,SF - Socialistisk Folkeparti,0
Djurskredsen,1. Ebeltoft,Mikkel Borch,SF - Socialistisk Folkeparti,8
Djurskredsen,1. Ebeltoft,Jonas Dahl,SF - Socialistisk Folkeparti,6
