Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Randers Sydkredsen,1. Kulturhuset Langå,Partiliste,Socialdemokratiet,241
Randers Sydkredsen,1. Kulturhuset Langå,Maja Panduro,Socialdemokratiet,277
Randers Sydkredsen,1. Kulturhuset Langå,Kirsten Brosbøl,Socialdemokratiet,5
Randers Sydkredsen,1. Kulturhuset Langå,Daniel Toft Jakobsen,Socialdemokratiet,2
Randers Sydkredsen,1. Kulturhuset Langå,Leif Lahn Jensen,Socialdemokratiet,4
Randers Sydkredsen,1. Kulturhuset Langå,Jens Joel,Socialdemokratiet,6
Randers Sydkredsen,1. Kulturhuset Langå,Henrik Dam Kristensen,Socialdemokratiet,7
Randers Sydkredsen,1. Kulturhuset Langå,Malte Larsen,Socialdemokratiet,89
Randers Sydkredsen,1. Kulturhuset Langå,Kim Qvist,Socialdemokratiet,0
Randers Sydkredsen,1. Kulturhuset Langå,Thyge Risvig,Socialdemokratiet,0
Randers Sydkredsen,1. Kulturhuset Langå,Christen Sørensen,Socialdemokratiet,3
Randers Sydkredsen,1. Kulturhuset Langå,Nicolai Wammen,Socialdemokratiet,40
Randers Sydkredsen,1. Kulturhuset Langå,Partiliste,Radikale Venstre,30
Randers Sydkredsen,1. Kulturhuset Langå,Casper Karup Hedegaard,Radikale Venstre,8
Randers Sydkredsen,1. Kulturhuset Langå,Liv Holm Andersen,Radikale Venstre,8
Randers Sydkredsen,1. Kulturhuset Langå,Carsten Bech,Radikale Venstre,0
Randers Sydkredsen,1. Kulturhuset Langå,Tom Brøcher Jakobsen,Radikale Venstre,0
Randers Sydkredsen,1. Kulturhuset Langå,Sander Jensen,Radikale Venstre,1
Randers Sydkredsen,1. Kulturhuset Langå,Jakob Lavrsen,Radikale Venstre,0
Randers Sydkredsen,1. Kulturhuset Langå,Karen Melchior,Radikale Venstre,1
Randers Sydkredsen,1. Kulturhuset Langå,Nils Sjøberg,Radikale Venstre,0
Randers Sydkredsen,1. Kulturhuset Langå,Helle Bækkelund Sørensen,Radikale Venstre,0
