Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Partiliste;910
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Erik Christensen;62
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Trine Bramsen;164
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Bjørn Brandenborg;31
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Alexander Grandt;73
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Jan Johansen;62
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Dan Jørgensen;253
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Julie Skovsby;59
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Kim Aas;38
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Partiliste;544
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Rasmus Helveg Petersen;139
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Anne Skau Styrishave;173
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Camilla Hersom;106
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Søren Hillers;33
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Partiliste;192
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Mai Mercado;103
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Kristian Guldfeldt;75
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Roya Moore;14
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Jørgen Nielsen;3
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Camilla Lydiksen;6
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Caroline Lauritsen;5
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Partiliste;102
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Klaus Kroll;10
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Annette Skov Andersson;6
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Benny Bindslev;3
Odense Østkredsen;1. Skt. Jørgens Hallen;E;Klaus Riskær Pedersen;Partiliste;95
Odense Østkredsen;1. Skt. Jørgens Hallen;E;Klaus Riskær Pedersen;Gert Dyrn;7
Odense Østkredsen;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Partiliste;452
Odense Østkredsen;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Karsten Hønge;99
