Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Gentoftekredsen,,Partiliste,Socialdemokratiet,0
Gentoftekredsen,,Malthe Johan Poulsen,Socialdemokratiet,0
Gentoftekredsen,,Jeppe Bruus,Socialdemokratiet,0
Gentoftekredsen,,Morten Bødskov,Socialdemokratiet,0
Gentoftekredsen,,Maria Durhuus,Socialdemokratiet,0
Gentoftekredsen,,Kasper Sand Kjær,Socialdemokratiet,0
Gentoftekredsen,,Anne Sina,Socialdemokratiet,0
Gentoftekredsen,,Simon Pihl Sørensen,Socialdemokratiet,0
Gentoftekredsen,,Mattias Tesfaye,Socialdemokratiet,0
Gentoftekredsen,,Partiliste,Radikale Venstre,0
Gentoftekredsen,,Sofie Carsten Nielsen,Radikale Venstre,0
Gentoftekredsen,,Stinus Lindgreen,Radikale Venstre,0
Gentoftekredsen,,Mads Høj Jørgensen,Radikale Venstre,0
Gentoftekredsen,,Susanne Wad Leth,Radikale Venstre,0
Gentoftekredsen,,Abbas Razvi,Radikale Venstre,0
Gentoftekredsen,,Dennis Schmock,Radikale Venstre,0
Gentoftekredsen,,Petar Socevic,Radikale Venstre,0
Gentoftekredsen,,Jeanné Vetling,Radikale Venstre,0
Gentoftekredsen,,Partiliste,Det Konservative Folkeparti,0
Gentoftekredsen,,Rasmus Jarlov,Det Konservative Folkeparti,0
Gentoftekredsen,,Hanne Bjørn-Klausen,Det Konservative Folkeparti,0
Gentoftekredsen,,Steffen Mølgaard,Det Konservative Folkeparti,0
Gentoftekredsen,,Merete Scheelsbeck,Det Konservative Folkeparti,0
Gentoftekredsen,,Lisa Skov,Det Konservative Folkeparti,0
Gentoftekredsen,,Henrik Sørensen,Det Konservative Folkeparti,0
Gentoftekredsen,,Partiliste,Nye Borgerlige,0
Gentoftekredsen,,Jeppe Juhl,Nye Borgerlige,0
Gentoftekredsen,,Anahita Malakians,Nye Borgerlige,0
Gentoftekredsen,,Hans Blaaberg,Nye Borgerlige,0
Gentoftekredsen,,Renee Funder,Nye Borgerlige,0
Gentoftekredsen,,Lone Madsen,Nye Borgerlige,0
Gentoftekredsen,,Claus Bøgh Svenningsen,Nye Borgerlige,0
Gentoftekredsen,,Partiliste,Klaus Riskær Pedersen,0
Gentoftekredsen,,Peter Hjorth,Klaus Riskær Pedersen,0
Gentoftekredsen,,Anette Prang,Klaus Riskær Pedersen,0
Gentoftekredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Serdal Benli,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Vivi Nør Jacobsen,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Marianne Bigum,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Ina Strøjer-Schmidt,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Niels Christian Barkholt,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Betina Skovby,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Joachim Schiødt,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Henrik Lund,SF - Socialistisk Folkeparti,0
Gentoftekredsen,,Partiliste,Liberal Alliance,0
Gentoftekredsen,,Joachim B. Olsen,Liberal Alliance,0
Gentoftekredsen,,Steffen Larsen,Liberal Alliance,0
Gentoftekredsen,,Morten Kristoffer Hansen,Liberal Alliance,0
Gentoftekredsen,,Michael Melchert,Liberal Alliance,0
Gentoftekredsen,,Nikolaj Vester,Liberal Alliance,0
Gentoftekredsen,,Partiliste,Kristendemokraterne,0
Gentoftekredsen,,Jacob Rabjerg,Kristendemokraterne,0
Gentoftekredsen,,Johnnie Gregersen,Kristendemokraterne,0
Gentoftekredsen,,Lars Sejergaard,Kristendemokraterne,0
Gentoftekredsen,,Sara Sejergaard,Kristendemokraterne,0
Gentoftekredsen,,Kim Grenov,Kristendemokraterne,0
Gentoftekredsen,,Partiliste,Dansk Folkeparti,0
Gentoftekredsen,,Danni Olsen,Dansk Folkeparti,0
Gentoftekredsen,,Pia Kjærsgaard,Dansk Folkeparti,0
Gentoftekredsen,,Kenneth Kristensen Berth,Dansk Folkeparti,0
Gentoftekredsen,,Mette Qwinten,Dansk Folkeparti,0
Gentoftekredsen,,Mikkel Dencker,Dansk Folkeparti,0
Gentoftekredsen,,Kim Hammer,Dansk Folkeparti,0
Gentoftekredsen,,Asbjørn Gerting Olsson,Dansk Folkeparti,0
Gentoftekredsen,,Anette Skafte,Dansk Folkeparti,0
Gentoftekredsen,,Partiliste,Stram Kurs,0
Gentoftekredsen,,Henrik Westermann Søndergård,Stram Kurs,0
Gentoftekredsen,,Kim Jessen,Stram Kurs,0
Gentoftekredsen,,Bjarke Rosenkilde,Stram Kurs,0
Gentoftekredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Gentoftekredsen,,Colette Brix,"Venstre, Danmarks Liberale Parti",0
