Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Gladsaxekredsen,,Partiliste,Socialdemokratiet,0
Gladsaxekredsen,,Jeppe Bruus,Socialdemokratiet,0
Gladsaxekredsen,,Morten Bødskov,Socialdemokratiet,0
Gladsaxekredsen,,Maria Durhuus,Socialdemokratiet,0
Gladsaxekredsen,,Kasper Sand Kjær,Socialdemokratiet,0
Gladsaxekredsen,,Malthe Johan Poulsen,Socialdemokratiet,0
Gladsaxekredsen,,Anne Sina,Socialdemokratiet,0
Gladsaxekredsen,,Simon Pihl Sørensen,Socialdemokratiet,0
Gladsaxekredsen,,Mattias Tesfaye,Socialdemokratiet,0
Gladsaxekredsen,,Partiliste,Radikale Venstre,0
Gladsaxekredsen,,Mads Høj Jørgensen,Radikale Venstre,0
Gladsaxekredsen,,Sofie Carsten Nielsen,Radikale Venstre,0
Gladsaxekredsen,,Stinus Lindgreen,Radikale Venstre,0
Gladsaxekredsen,,Susanne Wad Leth,Radikale Venstre,0
Gladsaxekredsen,,Abbas Razvi,Radikale Venstre,0
Gladsaxekredsen,,Dennis Schmock,Radikale Venstre,0
Gladsaxekredsen,,Petar Socevic,Radikale Venstre,0
Gladsaxekredsen,,Jeanné Vetling,Radikale Venstre,0
Gladsaxekredsen,,Partiliste,Det Konservative Folkeparti,0
Gladsaxekredsen,,Henrik Sørensen,Det Konservative Folkeparti,0
Gladsaxekredsen,,Hanne Bjørn-Klausen,Det Konservative Folkeparti,0
Gladsaxekredsen,,Rasmus Jarlov,Det Konservative Folkeparti,0
Gladsaxekredsen,,Steffen Mølgaard,Det Konservative Folkeparti,0
Gladsaxekredsen,,Merete Scheelsbeck,Det Konservative Folkeparti,0
Gladsaxekredsen,,Lisa Skov,Det Konservative Folkeparti,0
Gladsaxekredsen,,Partiliste,Nye Borgerlige,0
Gladsaxekredsen,,Jeppe Juhl,Nye Borgerlige,0
Gladsaxekredsen,,Hans Blaaberg,Nye Borgerlige,0
Gladsaxekredsen,,Renee Funder,Nye Borgerlige,0
