Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Rødovrekredsen,,Partiliste,Socialdemokratiet,0
Rødovrekredsen,,Morten Bødskov,Socialdemokratiet,0
Rødovrekredsen,,Jeppe Bruus,Socialdemokratiet,0
Rødovrekredsen,,Maria Durhuus,Socialdemokratiet,0
Rødovrekredsen,,Kasper Sand Kjær,Socialdemokratiet,0
Rødovrekredsen,,Malthe Johan Poulsen,Socialdemokratiet,0
Rødovrekredsen,,Anne Sina,Socialdemokratiet,0
Rødovrekredsen,,Simon Pihl Sørensen,Socialdemokratiet,0
Rødovrekredsen,,Mattias Tesfaye,Socialdemokratiet,0
Rødovrekredsen,,Partiliste,Radikale Venstre,0
Rødovrekredsen,,Jeanné Vetling,Radikale Venstre,0
Rødovrekredsen,,Sofie Carsten Nielsen,Radikale Venstre,0
Rødovrekredsen,,Stinus Lindgreen,Radikale Venstre,0
Rødovrekredsen,,Mads Høj Jørgensen,Radikale Venstre,0
Rødovrekredsen,,Susanne Wad Leth,Radikale Venstre,0
Rødovrekredsen,,Abbas Razvi,Radikale Venstre,0
Rødovrekredsen,,Dennis Schmock,Radikale Venstre,0
Rødovrekredsen,,Petar Socevic,Radikale Venstre,0
Rødovrekredsen,,Partiliste,Det Konservative Folkeparti,0
Rødovrekredsen,,Steffen Mølgaard,Det Konservative Folkeparti,0
Rødovrekredsen,,Hanne Bjørn-Klausen,Det Konservative Folkeparti,0
Rødovrekredsen,,Rasmus Jarlov,Det Konservative Folkeparti,0
Rødovrekredsen,,Merete Scheelsbeck,Det Konservative Folkeparti,0
Rødovrekredsen,,Lisa Skov,Det Konservative Folkeparti,0
Rødovrekredsen,,Henrik Sørensen,Det Konservative Folkeparti,0
Rødovrekredsen,,Partiliste,Nye Borgerlige,0
Rødovrekredsen,,Jeppe Juhl,Nye Borgerlige,0
Rødovrekredsen,,Renee Funder,Nye Borgerlige,0
Rødovrekredsen,,Hans Blaaberg,Nye Borgerlige,0
Rødovrekredsen,,Lone Madsen,Nye Borgerlige,0
Rødovrekredsen,,Anahita Malakians,Nye Borgerlige,0
Rødovrekredsen,,Claus Bøgh Svenningsen,Nye Borgerlige,0
Rødovrekredsen,,Partiliste,Klaus Riskær Pedersen,0
Rødovrekredsen,,Peter Hjorth,Klaus Riskær Pedersen,0
Rødovrekredsen,,Anette Prang,Klaus Riskær Pedersen,0
Rødovrekredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Serdal Benli,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Vivi Nør Jacobsen,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Marianne Bigum,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Ina Strøjer-Schmidt,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Niels Christian Barkholt,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Betina Skovby,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Joachim Schiødt,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Henrik Lund,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Partiliste,Liberal Alliance,0
Rødovrekredsen,,Joachim B. Olsen,Liberal Alliance,0
Rødovrekredsen,,Steffen Larsen,Liberal Alliance,0
Rødovrekredsen,,Morten Kristoffer Hansen,Liberal Alliance,0
Rødovrekredsen,,Michael Melchert,Liberal Alliance,0
Rødovrekredsen,,Nikolaj Vester,Liberal Alliance,0
Rødovrekredsen,,Partiliste,Kristendemokraterne,0
Rødovrekredsen,,Jacob Rabjerg,Kristendemokraterne,0
Rødovrekredsen,,Johnnie Gregersen,Kristendemokraterne,0
Rødovrekredsen,,Lars Sejergaard,Kristendemokraterne,0
Rødovrekredsen,,Sara Sejergaard,Kristendemokraterne,0
Rødovrekredsen,,Kim Grenov,Kristendemokraterne,0
Rødovrekredsen,,Partiliste,Dansk Folkeparti,0
Rødovrekredsen,,Kim Hammer,Dansk Folkeparti,0
Rødovrekredsen,,Asbjørn Gerting Olsson,Dansk Folkeparti,0
Rødovrekredsen,,Anette Skafte,Dansk Folkeparti,0
Rødovrekredsen,,Danni Olsen,Dansk Folkeparti,0
Rødovrekredsen,,Pia Kjærsgaard,Dansk Folkeparti,0
Rødovrekredsen,,Kenneth Kristensen Berth,Dansk Folkeparti,0
Rødovrekredsen,,Mette Qwinten,Dansk Folkeparti,0
Rødovrekredsen,,Mikkel Dencker,Dansk Folkeparti,0
Rødovrekredsen,,Partiliste,Stram Kurs,0
Rødovrekredsen,,Henrik Westermann Søndergård,Stram Kurs,0
Rødovrekredsen,,Kim Jessen,Stram Kurs,0
Rødovrekredsen,,Bjarke Rosenkilde,Stram Kurs,0
Rødovrekredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Mikkel Molin,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Flemming Andersen,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Colette Brix,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Christine Dal,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Karen Ellemann,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Mads Fuglede,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Charlotte Munch,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Kim Valentin,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Ibrahim Benli,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Søren Søndergaard,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Anna Berg,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Annika Holm Nielsen,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Helge Bo Jensen,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Jeanne Toxværd,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Tobias Clausen,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Stine Rahbek Pedersen,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Partiliste,Alternativet,0
Rødovrekredsen,,Sikandar Siddique,Alternativet,0
Rødovrekredsen,,Marianne Victor Hansen,Alternativet,0
Rødovrekredsen,,Ken Patrick Petersson,Alternativet,0
Rødovrekredsen,,Sofie Groth,Alternativet,0
Rødovrekredsen,,Anders Stjernholm,Alternativet,0
Rødovrekredsen,,Kim Christiansen,Alternativet,0
Rødovrekredsen,,Thomas Anker,Alternativet,0
Rødovrekredsen,,Christian B. Olesen,(Uden for parti),0
Rødovrekredsen,,Mads Palsvig,(Uden for parti),0
Rødovrekredsen,,Partiliste,Socialdemokratiet,0
Rødovrekredsen,,Morten Bødskov,Socialdemokratiet,0
Rødovrekredsen,,Jeppe Bruus,Socialdemokratiet,0
Rødovrekredsen,,Maria Durhuus,Socialdemokratiet,0
Rødovrekredsen,,Kasper Sand Kjær,Socialdemokratiet,0
Rødovrekredsen,,Malthe Johan Poulsen,Socialdemokratiet,0
Rødovrekredsen,,Anne Sina,Socialdemokratiet,0
Rødovrekredsen,,Simon Pihl Sørensen,Socialdemokratiet,0
Rødovrekredsen,,Mattias Tesfaye,Socialdemokratiet,0
Rødovrekredsen,,Partiliste,Radikale Venstre,0
Rødovrekredsen,,Jeanné Vetling,Radikale Venstre,0
Rødovrekredsen,,Sofie Carsten Nielsen,Radikale Venstre,0
Rødovrekredsen,,Stinus Lindgreen,Radikale Venstre,0
Rødovrekredsen,,Mads Høj Jørgensen,Radikale Venstre,0
Rødovrekredsen,,Susanne Wad Leth,Radikale Venstre,0
Rødovrekredsen,,Abbas Razvi,Radikale Venstre,0
Rødovrekredsen,,Dennis Schmock,Radikale Venstre,0
Rødovrekredsen,,Petar Socevic,Radikale Venstre,0
Rødovrekredsen,,Partiliste,Det Konservative Folkeparti,0
Rødovrekredsen,,Steffen Mølgaard,Det Konservative Folkeparti,0
Rødovrekredsen,,Hanne Bjørn-Klausen,Det Konservative Folkeparti,0
Rødovrekredsen,,Rasmus Jarlov,Det Konservative Folkeparti,0
Rødovrekredsen,,Merete Scheelsbeck,Det Konservative Folkeparti,0
Rødovrekredsen,,Lisa Skov,Det Konservative Folkeparti,0
Rødovrekredsen,,Henrik Sørensen,Det Konservative Folkeparti,0
Rødovrekredsen,,Partiliste,Nye Borgerlige,0
Rødovrekredsen,,Jeppe Juhl,Nye Borgerlige,0
Rødovrekredsen,,Renee Funder,Nye Borgerlige,0
Rødovrekredsen,,Hans Blaaberg,Nye Borgerlige,0
Rødovrekredsen,,Lone Madsen,Nye Borgerlige,0
Rødovrekredsen,,Anahita Malakians,Nye Borgerlige,0
Rødovrekredsen,,Claus Bøgh Svenningsen,Nye Borgerlige,0
Rødovrekredsen,,Partiliste,Klaus Riskær Pedersen,0
Rødovrekredsen,,Peter Hjorth,Klaus Riskær Pedersen,0
Rødovrekredsen,,Anette Prang,Klaus Riskær Pedersen,0
Rødovrekredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Serdal Benli,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Vivi Nør Jacobsen,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Marianne Bigum,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Ina Strøjer-Schmidt,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Niels Christian Barkholt,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Betina Skovby,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Joachim Schiødt,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Henrik Lund,SF - Socialistisk Folkeparti,0
Rødovrekredsen,,Partiliste,Liberal Alliance,0
Rødovrekredsen,,Joachim B. Olsen,Liberal Alliance,0
Rødovrekredsen,,Steffen Larsen,Liberal Alliance,0
Rødovrekredsen,,Morten Kristoffer Hansen,Liberal Alliance,0
Rødovrekredsen,,Michael Melchert,Liberal Alliance,0
Rødovrekredsen,,Nikolaj Vester,Liberal Alliance,0
Rødovrekredsen,,Partiliste,Kristendemokraterne,0
Rødovrekredsen,,Jacob Rabjerg,Kristendemokraterne,0
Rødovrekredsen,,Johnnie Gregersen,Kristendemokraterne,0
Rødovrekredsen,,Lars Sejergaard,Kristendemokraterne,0
Rødovrekredsen,,Sara Sejergaard,Kristendemokraterne,0
Rødovrekredsen,,Kim Grenov,Kristendemokraterne,0
Rødovrekredsen,,Partiliste,Dansk Folkeparti,0
Rødovrekredsen,,Kim Hammer,Dansk Folkeparti,0
Rødovrekredsen,,Asbjørn Gerting Olsson,Dansk Folkeparti,0
Rødovrekredsen,,Anette Skafte,Dansk Folkeparti,0
Rødovrekredsen,,Danni Olsen,Dansk Folkeparti,0
Rødovrekredsen,,Pia Kjærsgaard,Dansk Folkeparti,0
Rødovrekredsen,,Kenneth Kristensen Berth,Dansk Folkeparti,0
Rødovrekredsen,,Mette Qwinten,Dansk Folkeparti,0
Rødovrekredsen,,Mikkel Dencker,Dansk Folkeparti,0
Rødovrekredsen,,Partiliste,Stram Kurs,0
Rødovrekredsen,,Henrik Westermann Søndergård,Stram Kurs,0
Rødovrekredsen,,Kim Jessen,Stram Kurs,0
Rødovrekredsen,,Bjarke Rosenkilde,Stram Kurs,0
Rødovrekredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Mikkel Molin,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Flemming Andersen,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Colette Brix,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Christine Dal,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Karen Ellemann,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Mads Fuglede,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Charlotte Munch,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Kim Valentin,"Venstre, Danmarks Liberale Parti",0
Rødovrekredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Ibrahim Benli,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Søren Søndergaard,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Anna Berg,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Annika Holm Nielsen,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Helge Bo Jensen,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Jeanne Toxværd,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Tobias Clausen,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Stine Rahbek Pedersen,Enhedslisten - De Rød-Grønne,0
Rødovrekredsen,,Partiliste,Alternativet,0
Rødovrekredsen,,Sikandar Siddique,Alternativet,0
Rødovrekredsen,,Marianne Victor Hansen,Alternativet,0
Rødovrekredsen,,Ken Patrick Petersson,Alternativet,0
Rødovrekredsen,,Sofie Groth,Alternativet,0
Rødovrekredsen,,Anders Stjernholm,Alternativet,0
Rødovrekredsen,,Kim Christiansen,Alternativet,0
Rødovrekredsen,,Thomas Anker,Alternativet,0
Rødovrekredsen,,Christian B. Olesen,(Uden for parti),0
Rødovrekredsen,,Mads Palsvig,(Uden for parti),0
Rødovrekredsen,,Partiliste,Socialdemokratiet,0
Rødovrekredsen,,Morten Bødskov,Socialdemokratiet,0
Rødovrekredsen,,Jeppe Bruus,Socialdemokratiet,0
Rødovrekredsen,,Maria Durhuus,Socialdemokratiet,0
Rødovrekredsen,,Kasper Sand Kjær,Socialdemokratiet,0
Rødovrekredsen,,Malthe Johan Poulsen,Socialdemokratiet,0
Rødovrekredsen,,Anne Sina,Socialdemokratiet,0
Rødovrekredsen,,Simon Pihl Sørensen,Socialdemokratiet,0
Rødovrekredsen,,Mattias Tesfaye,Socialdemokratiet,0
Rødovrekredsen,,Partiliste,Radikale Venstre,0
