Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Indre Bykredsen,,Partiliste,Socialdemokratiet,0
Indre Bykredsen,,Simon Simonsen,Socialdemokratiet,0
Indre Bykredsen,,Yildiz Akdogan,Socialdemokratiet,0
Indre Bykredsen,,Niels E. Bjerrum,Socialdemokratiet,0
Indre Bykredsen,,Claus Hasselmann,Socialdemokratiet,0
Indre Bykredsen,,Sine Heltberg,Socialdemokratiet,0
Indre Bykredsen,,Peter Hummelgaard,Socialdemokratiet,0
Indre Bykredsen,,Verner Sand Kirk,Socialdemokratiet,0
Indre Bykredsen,,Lone Larsen,Socialdemokratiet,0
Indre Bykredsen,,Jørgen Mørup Pedersen,Socialdemokratiet,0
Indre Bykredsen,,Lars Aslan Rasmussen,Socialdemokratiet,0
Indre Bykredsen,,Mette Reissmann,Socialdemokratiet,0
Indre Bykredsen,,Pernille Rosenkrantz-Theil,Socialdemokratiet,0
Indre Bykredsen,,Partiliste,Radikale Venstre,0
Indre Bykredsen,,Andreas Pourkamali,Radikale Venstre,0
Indre Bykredsen,,Ida Auken,Radikale Venstre,0
Indre Bykredsen,,Samira Nawa,Radikale Venstre,0
Indre Bykredsen,,Mette Annelie Rasmussen,Radikale Venstre,0
Indre Bykredsen,,Ruben Kidde,Radikale Venstre,0
Indre Bykredsen,,Jeppe Fransson,Radikale Venstre,0
Indre Bykredsen,,Jens Rohde,Radikale Venstre,0
Indre Bykredsen,,Louise Vinther Alis,Radikale Venstre,0
Indre Bykredsen,,Rune Scharff Andreasen,Radikale Venstre,0
Indre Bykredsen,,Jesper Abildgaard,Radikale Venstre,0
Indre Bykredsen,,Thomas Maare,Radikale Venstre,0
Indre Bykredsen,,Lartey Lawson,Radikale Venstre,0
Indre Bykredsen,,Partiliste,Det Konservative Folkeparti,0
Indre Bykredsen,,Anders Johansson,Det Konservative Folkeparti,0
Indre Bykredsen,,Katarina Ammitzbøll,Det Konservative Folkeparti,0
Indre Bykredsen,,Lasse Vogel Andersen,Det Konservative Folkeparti,0
Indre Bykredsen,,Helle Bonnesen,Det Konservative Folkeparti,0
Indre Bykredsen,,Nikolaj Bøgh,Det Konservative Folkeparti,0
Indre Bykredsen,,Marie Høgh,Det Konservative Folkeparti,0
Indre Bykredsen,,Peter Stakemann,Det Konservative Folkeparti,0
Indre Bykredsen,,Caspar Stefani,Det Konservative Folkeparti,0
Indre Bykredsen,,Partiliste,Nye Borgerlige,0
Indre Bykredsen,,Ketil Wathne Rasmussen,Nye Borgerlige,0
Indre Bykredsen,,Cherif Tomra Ayouty,Nye Borgerlige,0
Indre Bykredsen,,Tom Andkjær,Nye Borgerlige,0
Indre Bykredsen,,Helle Rosenvig,Nye Borgerlige,0
Indre Bykredsen,,Partiliste,Klaus Riskær Pedersen,0
Indre Bykredsen,,Klaus Riskær Pedersen,Klaus Riskær Pedersen,0
Indre Bykredsen,,Manja Aarslev Sørensen,Klaus Riskær Pedersen,0
