Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Sundbyøsterkredsen,,Partiliste,Socialdemokratiet,0
Sundbyøsterkredsen,,Claus Hasselmann,Socialdemokratiet,0
Sundbyøsterkredsen,,Yildiz Akdogan,Socialdemokratiet,0
Sundbyøsterkredsen,,Niels E. Bjerrum,Socialdemokratiet,0
Sundbyøsterkredsen,,Sine Heltberg,Socialdemokratiet,0
Sundbyøsterkredsen,,Peter Hummelgaard,Socialdemokratiet,0
Sundbyøsterkredsen,,Verner Sand Kirk,Socialdemokratiet,0
Sundbyøsterkredsen,,Lone Larsen,Socialdemokratiet,0
Sundbyøsterkredsen,,Jørgen Mørup Pedersen,Socialdemokratiet,0
Sundbyøsterkredsen,,Lars Aslan Rasmussen,Socialdemokratiet,0
Sundbyøsterkredsen,,Mette Reissmann,Socialdemokratiet,0
Sundbyøsterkredsen,,Pernille Rosenkrantz-Theil,Socialdemokratiet,0
Sundbyøsterkredsen,,Simon Simonsen,Socialdemokratiet,0
Sundbyøsterkredsen,,Partiliste,Radikale Venstre,0
Sundbyøsterkredsen,,Louise Vinther Alis,Radikale Venstre,0
Sundbyøsterkredsen,,Ida Auken,Radikale Venstre,0
Sundbyøsterkredsen,,Samira Nawa,Radikale Venstre,0
Sundbyøsterkredsen,,Mette Annelie Rasmussen,Radikale Venstre,0
Sundbyøsterkredsen,,Ruben Kidde,Radikale Venstre,0
Sundbyøsterkredsen,,Jeppe Fransson,Radikale Venstre,0
Sundbyøsterkredsen,,Jens Rohde,Radikale Venstre,0
Sundbyøsterkredsen,,Rune Scharff Andreasen,Radikale Venstre,0
Sundbyøsterkredsen,,Andreas Pourkamali,Radikale Venstre,0
Sundbyøsterkredsen,,Jesper Abildgaard,Radikale Venstre,0
Sundbyøsterkredsen,,Thomas Maare,Radikale Venstre,0
Sundbyøsterkredsen,,Lartey Lawson,Radikale Venstre,0
Sundbyøsterkredsen,,Partiliste,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Marie Høgh,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Katarina Ammitzbøll,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Lasse Vogel Andersen,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Helle Bonnesen,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Nikolaj Bøgh,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Anders Johansson,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Peter Stakemann,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Caspar Stefani,Det Konservative Folkeparti,0
Sundbyøsterkredsen,,Partiliste,Nye Borgerlige,0
Sundbyøsterkredsen,,Ketil Wathne Rasmussen,Nye Borgerlige,0
Sundbyøsterkredsen,,Tom Andkjær,Nye Borgerlige,0
Sundbyøsterkredsen,,Cherif Tomra Ayouty,Nye Borgerlige,0
Sundbyøsterkredsen,,Helle Rosenvig,Nye Borgerlige,0
Sundbyøsterkredsen,,Partiliste,Klaus Riskær Pedersen,0
Sundbyøsterkredsen,,Klaus Riskær Pedersen,Klaus Riskær Pedersen,0
Sundbyøsterkredsen,,Manja Aarslev Sørensen,Klaus Riskær Pedersen,0
Sundbyøsterkredsen,,Partiliste,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Pia Olsen Dyhr,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Carl Valentin,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Kasper Nordborg Kiær,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Halime Oguz,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Balder Mørk Andersen,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Louise Tuxen Romsdal,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Rasmus Steenberger,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Melissa Skovgaard Jensen,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Ebbe A. Hansen,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Rikke Lauritsen,SF - Socialistisk Folkeparti,0
Sundbyøsterkredsen,,Partiliste,Liberal Alliance,0
Sundbyøsterkredsen,,Simon Emil Ammitzbøll-Bille,Liberal Alliance,0
Sundbyøsterkredsen,,Jacob Rosenberg,Liberal Alliance,0
Sundbyøsterkredsen,,Danny Malkowski,Liberal Alliance,0
Sundbyøsterkredsen,,Lars Berg Andersen,Liberal Alliance,0
Sundbyøsterkredsen,,Martin Ancher,Liberal Alliance,0
Sundbyøsterkredsen,,David Bertelsen,Liberal Alliance,0
Sundbyøsterkredsen,,Partiliste,Kristendemokraterne,0
Sundbyøsterkredsen,,Stig Grenov,Kristendemokraterne,0
Sundbyøsterkredsen,,Nanna Bock,Kristendemokraterne,0
Sundbyøsterkredsen,,Anne Grønlund,Kristendemokraterne,0
Sundbyøsterkredsen,,Anne-Lise Wagner,Kristendemokraterne,0
Sundbyøsterkredsen,,Bess Serner-Pedersen,Kristendemokraterne,0
Sundbyøsterkredsen,,Partiliste,Dansk Folkeparti,0
Sundbyøsterkredsen,,Brian Borglund Bruun,Dansk Folkeparti,0
Sundbyøsterkredsen,,Lars Vestergaard,Dansk Folkeparti,0
Sundbyøsterkredsen,,Paw Karslund,Dansk Folkeparti,0
Sundbyøsterkredsen,,Susanne Damsgaard,Dansk Folkeparti,0
Sundbyøsterkredsen,,Martin Henriksen,Dansk Folkeparti,0
Sundbyøsterkredsen,,Per Brix,Dansk Folkeparti,0
Sundbyøsterkredsen,,Carsten Ullmann Andersen,Dansk Folkeparti,0
Sundbyøsterkredsen,,Laila Sortland,Dansk Folkeparti,0
Sundbyøsterkredsen,,Cheanne Nielsen,Dansk Folkeparti,0
Sundbyøsterkredsen,,Peter Skaarup,Dansk Folkeparti,0
Sundbyøsterkredsen,,Søren Hald Christensen,Dansk Folkeparti,0
Sundbyøsterkredsen,,Julie Jacobsen,Dansk Folkeparti,0
Sundbyøsterkredsen,,Partiliste,Stram Kurs,0
Sundbyøsterkredsen,,Martin Skriver,Stram Kurs,0
Sundbyøsterkredsen,,Lemmy Lundquist,Stram Kurs,0
Sundbyøsterkredsen,,Partiliste,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Michael Lange,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Tommy Ahlers,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Martin Geertsen,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Jan E. Jørgensen,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Kasper Kristensen,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Bjarke Kværnø,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Jens-Kristian Lütken,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Casper Pedersen,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Anne Rasmussen,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Bo Sandroos,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Sven Aage Schlosrich,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Søren Sørensen,"Venstre, Danmarks Liberale Parti",0
Sundbyøsterkredsen,,Partiliste,Enhedslisten - De Rød-Grønne,0
Sundbyøsterkredsen,,Karen Skærlund Risvig,Enhedslisten - De Rød-Grønne,0
