Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Aalborg Nordkredsen,,Partiliste,Socialdemokratiet,0
Aalborg Nordkredsen,,Orla Hav,Socialdemokratiet,0
Aalborg Nordkredsen,,Mette Frederiksen,Socialdemokratiet,0
Aalborg Nordkredsen,,Ane Halsboe-Jørgensen,Socialdemokratiet,0
Aalborg Nordkredsen,,Per Husted,Socialdemokratiet,0
Aalborg Nordkredsen,,Søren Valgreen Knudsen,Socialdemokratiet,0
Aalborg Nordkredsen,,Simon Kollerup,Socialdemokratiet,0
Aalborg Nordkredsen,,Bjarne Laustsen,Socialdemokratiet,0
Aalborg Nordkredsen,,Flemming Møller Mortensen,Socialdemokratiet,0
Aalborg Nordkredsen,,Rasmus Prehn,Socialdemokratiet,0
Aalborg Nordkredsen,,Partiliste,Radikale Venstre,0
Aalborg Nordkredsen,,Casper Hedegaard,Radikale Venstre,0
Aalborg Nordkredsen,,Daniel Nyboe Andersen,Radikale Venstre,0
Aalborg Nordkredsen,,Niels Arbøl,Radikale Venstre,0
Aalborg Nordkredsen,,Amalie Mørkøre Højsholt,Radikale Venstre,0
Aalborg Nordkredsen,,Marianne Jelved,Radikale Venstre,0
Aalborg Nordkredsen,,Marianne Mulle Jensen,Radikale Venstre,0
Aalborg Nordkredsen,,Rikke-Marie Jørgensen,Radikale Venstre,0
Aalborg Nordkredsen,,Helle Sommer Kjærgaard,Radikale Venstre,0
Aalborg Nordkredsen,,Gitte Lopdrup,Radikale Venstre,0
Aalborg Nordkredsen,,Partiliste,Det Konservative Folkeparti,0
Aalborg Nordkredsen,,Per Larsen,Det Konservative Folkeparti,0
Aalborg Nordkredsen,,Henrik Dalgaard,Det Konservative Folkeparti,0
Aalborg Nordkredsen,,Jens Kindberg,Det Konservative Folkeparti,0
Aalborg Nordkredsen,,Jens-Henrik Kirk,Det Konservative Folkeparti,0
Aalborg Nordkredsen,,Per Møller,Det Konservative Folkeparti,0
Aalborg Nordkredsen,,Peter E. Nielsen,Det Konservative Folkeparti,0
