Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Partiliste;379
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Bjarne Laustsen;773
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Mette Frederiksen;648
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Ane Halsboe-Jørgensen;22
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Orla Hav;28
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Per Husted;3
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Søren Valgreen Knudsen;6
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Simon Kollerup;9
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Flemming Møller Mortensen;12
Frederikshavnkredsen;1. Skagen;A;Socialdemokratiet;Rasmus Prehn;23
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Partiliste;79
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Amalie Mørkøre Højsholt;12
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Daniel Nyboe Andersen;5
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Niels Arbøl;2
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Casper Hedegaard;3
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Marianne Jelved;23
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Marianne Mulle Jensen;6
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Rikke-Marie Jørgensen;2
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Helle Sommer Kjærgaard;4
Frederikshavnkredsen;1. Skagen;B;Radikale Venstre;Gitte Lopdrup;2
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Partiliste;132
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Peter E. Nielsen;86
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Henrik Dalgaard;1
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Jens Kindberg;0
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Jens-Henrik Kirk;0
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Per Larsen;26
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Per Møller;13
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Torben Overgaard;0
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Karsten Skov Petersen;2
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Mia Tang;18
Frederikshavnkredsen;1. Skagen;C;Det Konservative Folkeparti;Morten Thiessen;2
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Partiliste;104
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Poul Højlund;30
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;John Bjerg;0
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Niels M. Christensen;0
Frederikshavnkredsen;1. Skagen;D;Nye Borgerlige;Frode Larsen;2
Frederikshavnkredsen;1. Skagen;E;Klaus Riskær Pedersen;Partiliste;32
Frederikshavnkredsen;1. Skagen;E;Klaus Riskær Pedersen;Rune Frøsig Osmundsen;1
Frederikshavnkredsen;1. Skagen;E;Klaus Riskær Pedersen;Maria Terese Fog Bartholdy;2
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Partiliste;106
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Allan Norré Pedersen;6
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Theresa Berg Andersen;11
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Karl H. Bornhøft;2
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Henning Jørgensen;0
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Jacob Klivager;4
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Lene Linnemann;1
Frederikshavnkredsen;1. Skagen;F;SF - Socialistisk Folkeparti;Thorkil Olesen;1
