Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Partiliste;585
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Palle Lykke Ravn;100
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Anders Andreasen;11
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Lars Fibæk;4
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Karin Gaardsted;28
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Mogens Jensen;50
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Thomas Jensen;14
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Flemming Libner;1
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Annette Lind;297
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Mette Nielsen;14
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Anne Paulin;16
Struerkredsen;1. Lemvig;A;Socialdemokratiet;Peter Kempf Pedersen;0
Struerkredsen;1. Lemvig;B;Radikale Venstre;Partiliste;88
Struerkredsen;1. Lemvig;B;Radikale Venstre;Josefine Schlosser;126
Struerkredsen;1. Lemvig;B;Radikale Venstre;Andreas Steenberg;31
Struerkredsen;1. Lemvig;B;Radikale Venstre;Rasmus Bach Krabbe;3
Struerkredsen;1. Lemvig;B;Radikale Venstre;Poul Elmegård;7
Struerkredsen;1. Lemvig;B;Radikale Venstre;Hanne Ringgaard Møller;1
Struerkredsen;1. Lemvig;B;Radikale Venstre;Thomas Sloth;0
Struerkredsen;1. Lemvig;B;Radikale Venstre;Hanne Roed;2
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Partiliste;49
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Søren Pape Poulsen;186
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Pia Olivia Christensen;2
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;René Nord Hansen;1
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Line Damgaard Lauritsen;3
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Rasmus Norup;9
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Margrethe Agerup Præst;2
Struerkredsen;1. Lemvig;C;Det Konservative Folkeparti;Orla Østerby;221
Struerkredsen;1. Lemvig;D;Nye Borgerlige;Partiliste;57
Struerkredsen;1. Lemvig;D;Nye Borgerlige;Nick Mogensen;1
Struerkredsen;1. Lemvig;D;Nye Borgerlige;Tina Hedegaard Pedersen;6
Struerkredsen;1. Lemvig;D;Nye Borgerlige;Thomas Bachmann;0
Struerkredsen;1. Lemvig;D;Nye Borgerlige;Peter Grydehøj;2
Struerkredsen;1. Lemvig;D;Nye Borgerlige;Helge Hoffmann;1
Struerkredsen;1. Lemvig;D;Nye Borgerlige;Gitte Keller;0
Struerkredsen;1. Lemvig;E;Klaus Riskær Pedersen;Partiliste;20
Struerkredsen;1. Lemvig;E;Klaus Riskær Pedersen;Kim Durup;2
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Partiliste;155
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Signe Munk;66
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Karsten Filsø;35
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Bente Refslund;2
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Hanne D. Jacobsen;17
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Andreas Albertsen;3
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Anders Bøge;3
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Anders Udengaard;1
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Emma Thorup Jacobsen;7
Struerkredsen;1. Lemvig;F;SF - Socialistisk Folkeparti;Peter Nowack;2
Struerkredsen;1. Lemvig;I;Liberal Alliance;Partiliste;31
Struerkredsen;1. Lemvig;I;Liberal Alliance;Alex Vanopslagh;52
Struerkredsen;1. Lemvig;I;Liberal Alliance;Søren Lodahl;0
Struerkredsen;1. Lemvig;I;Liberal Alliance;Sine Rahbek;0
Struerkredsen;1. Lemvig;I;Liberal Alliance;Nicolaj Dupont-Mersing;0
Struerkredsen;1. Lemvig;I;Liberal Alliance;Jannie Leth Christensen;1
Struerkredsen;1. Lemvig;I;Liberal Alliance;Lene Foged;2
Struerkredsen;1. Lemvig;I;Liberal Alliance;Steffen Troldtoft;1
Struerkredsen;1. Lemvig;I;Liberal Alliance;Rune Leth Svenninggaard;0
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Partiliste;54
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Jens Erik Thomey Damgaard;31
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Kristian Andersen;83
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Simon Skals;8
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Jens Kr. Mølby Nielsen;0
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Annemarie Bjerre;3
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Frits Hammershøj;2
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Hanne Simonsen;0
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Karlo Brondbjerg;0
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Henrik Dideriksen;0
Struerkredsen;1. Lemvig;K;Kristendemokraterne;Karen-Margrethe Lysholm;2
Struerkredsen;1. Lemvig;O;Dansk Folkeparti;Partiliste;239
