Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Esbjerg Bykredsen,1. Nordby,Partiliste,Socialdemokratiet,368
Esbjerg Bykredsen,1. Nordby,Anders Kronborg,Socialdemokratiet,198
Esbjerg Bykredsen,1. Nordby,Niels Ole Beck,Socialdemokratiet,4
Esbjerg Bykredsen,1. Nordby,Tommi Christensen,Socialdemokratiet,1
Esbjerg Bykredsen,1. Nordby,Benny Engelbrecht,Socialdemokratiet,11
Esbjerg Bykredsen,1. Nordby,Kim Eskesen,Socialdemokratiet,1
Esbjerg Bykredsen,1. Nordby,Barbara Krarup Hansen,Socialdemokratiet,8
Esbjerg Bykredsen,1. Nordby,Theis Kylling Hommeltoft,Socialdemokratiet,1
Esbjerg Bykredsen,1. Nordby,Bjørn Laursen,Socialdemokratiet,1
Esbjerg Bykredsen,1. Nordby,Christian Rabjerg Madsen,Socialdemokratiet,9
Esbjerg Bykredsen,1. Nordby,Jesper Petersen,Socialdemokratiet,12
Esbjerg Bykredsen,1. Nordby,Kris Jensen Skriver,Socialdemokratiet,2
Esbjerg Bykredsen,1. Nordby,Jens Jonatan Steen,Socialdemokratiet,0
Esbjerg Bykredsen,1. Nordby,Birgitte Vind,Socialdemokratiet,8
Esbjerg Bykredsen,1. Nordby,Partiliste,Radikale Venstre,26
Esbjerg Bykredsen,1. Nordby,Anne Marie Geisler Andersen,Radikale Venstre,22
Esbjerg Bykredsen,1. Nordby,Lotte Rod,Radikale Venstre,21
Esbjerg Bykredsen,1. Nordby,Nils Sjøberg,Radikale Venstre,1
Esbjerg Bykredsen,1. Nordby,Ole Lynggaard Jørgensen,Radikale Venstre,1
Esbjerg Bykredsen,1. Nordby,Bjarne Lastein,Radikale Venstre,0
Esbjerg Bykredsen,1. Nordby,Lasse Skov Ovesen,Radikale Venstre,0
Esbjerg Bykredsen,1. Nordby,Finn Hartvig Nielsen,Radikale Venstre,0
Esbjerg Bykredsen,1. Nordby,Partiliste,Det Konservative Folkeparti,42
Esbjerg Bykredsen,1. Nordby,Niels Flemming Hansen,Det Konservative Folkeparti,7
Esbjerg Bykredsen,1. Nordby,Rasmus Dahlberg,Det Konservative Folkeparti,8
Esbjerg Bykredsen,1. Nordby,Rasmus Elkjær Larsen,Det Konservative Folkeparti,1
Esbjerg Bykredsen,1. Nordby,Jesper Højmark Esbensen,Det Konservative Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Steffen Hansen,Det Konservative Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Steen Holm Iversen,Det Konservative Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Birgitte Klippert,Det Konservative Folkeparti,2
Esbjerg Bykredsen,1. Nordby,Dan Foss Kragh,Det Konservative Folkeparti,1
Esbjerg Bykredsen,1. Nordby,Christian Lorenzen,Det Konservative Folkeparti,91
Esbjerg Bykredsen,1. Nordby,Casper Nørgaard Maglekær,Det Konservative Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Frederik Bloch Münster,Det Konservative Folkeparti,8
Esbjerg Bykredsen,1. Nordby,Kirsten Hassing Nielsen,Det Konservative Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Rikke Norlyk,Det Konservative Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Rasmus Sandvej,Det Konservative Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Dorthe Schmittroth,Det Konservative Folkeparti,1
Esbjerg Bykredsen,1. Nordby,Partiliste,Nye Borgerlige,26
Esbjerg Bykredsen,1. Nordby,Pernille Vermund,Nye Borgerlige,39
Esbjerg Bykredsen,1. Nordby,Marianne Mathiesen,Nye Borgerlige,9
Esbjerg Bykredsen,1. Nordby,Tom Andkjær,Nye Borgerlige,1
Esbjerg Bykredsen,1. Nordby,Karsten Byrgesen,Nye Borgerlige,0
Esbjerg Bykredsen,1. Nordby,Rune Bønnelykke,Nye Borgerlige,0
Esbjerg Bykredsen,1. Nordby,Bo Kleis Christensen,Nye Borgerlige,1
Esbjerg Bykredsen,1. Nordby,Jan Køpke Christensen,Nye Borgerlige,1
Esbjerg Bykredsen,1. Nordby,Kim Andkjær Doberck,Nye Borgerlige,0
Esbjerg Bykredsen,1. Nordby,Hans-Christian Gjerlevsen,Nye Borgerlige,0
Esbjerg Bykredsen,1. Nordby,Henrik Husted,Nye Borgerlige,0
Esbjerg Bykredsen,1. Nordby,Thomas Vedsted,Nye Borgerlige,0
Esbjerg Bykredsen,1. Nordby,Partiliste,SF - Socialistisk Folkeparti,113
Esbjerg Bykredsen,1. Nordby,David Dam Jensen,SF - Socialistisk Folkeparti,18
Esbjerg Bykredsen,1. Nordby,Nanna Bonde,SF - Socialistisk Folkeparti,20
Esbjerg Bykredsen,1. Nordby,Christian Mutwa Christensen,SF - Socialistisk Folkeparti,1
Esbjerg Bykredsen,1. Nordby,Karina Lorentzen Dehnhardt,SF - Socialistisk Folkeparti,29
Esbjerg Bykredsen,1. Nordby,Milo Jacobsen Gaarde,SF - Socialistisk Folkeparti,1
Esbjerg Bykredsen,1. Nordby,John Hyrup Jensen,SF - Socialistisk Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Laurits Kaae,SF - Socialistisk Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Wanda Madsen,SF - Socialistisk Folkeparti,2
Esbjerg Bykredsen,1. Nordby,Karin B. Nissen,SF - Socialistisk Folkeparti,2
Esbjerg Bykredsen,1. Nordby,Lars Olesen,SF - Socialistisk Folkeparti,0
Esbjerg Bykredsen,1. Nordby,Gunner Poulsen,SF - Socialistisk Folkeparti,1
Esbjerg Bykredsen,1. Nordby,Susanne Stenstrop Thorsen,SF - Socialistisk Folkeparti,2
