Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Haderslevkredsen,1. Gram,Partiliste,Socialdemokratiet,243
Haderslevkredsen,1. Gram,Jesper Petersen,Socialdemokratiet,212
Haderslevkredsen,1. Gram,Niels Ole Beck,Socialdemokratiet,2
Haderslevkredsen,1. Gram,Tommi Christensen,Socialdemokratiet,0
Haderslevkredsen,1. Gram,Benny Engelbrecht,Socialdemokratiet,19
Haderslevkredsen,1. Gram,Kim Eskesen,Socialdemokratiet,5
Haderslevkredsen,1. Gram,Barbara Krarup Hansen,Socialdemokratiet,3
Haderslevkredsen,1. Gram,Theis Kylling Hommeltoft,Socialdemokratiet,4
Haderslevkredsen,1. Gram,Anders Kronborg,Socialdemokratiet,4
Haderslevkredsen,1. Gram,Bjørn Laursen,Socialdemokratiet,0
Haderslevkredsen,1. Gram,Christian Rabjerg Madsen,Socialdemokratiet,5
Haderslevkredsen,1. Gram,Kris Jensen Skriver,Socialdemokratiet,0
Haderslevkredsen,1. Gram,Jens Jonatan Steen,Socialdemokratiet,1
Haderslevkredsen,1. Gram,Birgitte Vind,Socialdemokratiet,3
Haderslevkredsen,1. Gram,Partiliste,Radikale Venstre,9
Haderslevkredsen,1. Gram,Nils Sjøberg,Radikale Venstre,2
Haderslevkredsen,1. Gram,Lotte Rod,Radikale Venstre,5
Haderslevkredsen,1. Gram,Ole Lynggaard Jørgensen,Radikale Venstre,1
Haderslevkredsen,1. Gram,Anne Marie Geisler Andersen,Radikale Venstre,1
Haderslevkredsen,1. Gram,Bjarne Lastein,Radikale Venstre,2
Haderslevkredsen,1. Gram,Lasse Skov Ovesen,Radikale Venstre,1
Haderslevkredsen,1. Gram,Finn Hartvig Nielsen,Radikale Venstre,0
Haderslevkredsen,1. Gram,Partiliste,Det Konservative Folkeparti,41
Haderslevkredsen,1. Gram,Niels Flemming Hansen,Det Konservative Folkeparti,11
Haderslevkredsen,1. Gram,Rasmus Dahlberg,Det Konservative Folkeparti,0
Haderslevkredsen,1. Gram,Rasmus Elkjær Larsen,Det Konservative Folkeparti,2
Haderslevkredsen,1. Gram,Jesper Højmark Esbensen,Det Konservative Folkeparti,0
Haderslevkredsen,1. Gram,Steffen Hansen,Det Konservative Folkeparti,0
Haderslevkredsen,1. Gram,Steen Holm Iversen,Det Konservative Folkeparti,0
Haderslevkredsen,1. Gram,Birgitte Klippert,Det Konservative Folkeparti,6
Haderslevkredsen,1. Gram,Dan Foss Kragh,Det Konservative Folkeparti,0
Haderslevkredsen,1. Gram,Christian Lorenzen,Det Konservative Folkeparti,0
Haderslevkredsen,1. Gram,Casper Nørgaard Maglekær,Det Konservative Folkeparti,2
Haderslevkredsen,1. Gram,Frederik Bloch Münster,Det Konservative Folkeparti,1
Haderslevkredsen,1. Gram,Kirsten Hassing Nielsen,Det Konservative Folkeparti,1
Haderslevkredsen,1. Gram,Rikke Norlyk,Det Konservative Folkeparti,5
Haderslevkredsen,1. Gram,Rasmus Sandvej,Det Konservative Folkeparti,0
Haderslevkredsen,1. Gram,Dorthe Schmittroth,Det Konservative Folkeparti,0
Haderslevkredsen,1. Gram,Partiliste,Nye Borgerlige,38
Haderslevkredsen,1. Gram,Pernille Vermund,Nye Borgerlige,81
Haderslevkredsen,1. Gram,Thomas Vedsted,Nye Borgerlige,31
Haderslevkredsen,1. Gram,Tom Andkjær,Nye Borgerlige,4
Haderslevkredsen,1. Gram,Karsten Byrgesen,Nye Borgerlige,1
Haderslevkredsen,1. Gram,Rune Bønnelykke,Nye Borgerlige,0
Haderslevkredsen,1. Gram,Bo Kleis Christensen,Nye Borgerlige,1
Haderslevkredsen,1. Gram,Jan Køpke Christensen,Nye Borgerlige,4
