Kreds,valgsted_navn,kandidat_navn,parti,stemmer
Vejle Nordkredsen,16. Skibet Hallen Nord,Partiliste,Socialdemokratiet,263
Vejle Nordkredsen,16. Skibet Hallen Nord,Tommi Christensen,Socialdemokratiet,7
Vejle Nordkredsen,16. Skibet Hallen Nord,Niels Ole Beck,Socialdemokratiet,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Benny Engelbrecht,Socialdemokratiet,4
Vejle Nordkredsen,16. Skibet Hallen Nord,Kim Eskesen,Socialdemokratiet,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Barbara Krarup Hansen,Socialdemokratiet,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Theis Kylling Hommeltoft,Socialdemokratiet,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Anders Kronborg,Socialdemokratiet,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Bjørn Laursen,Socialdemokratiet,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Christian Rabjerg Madsen,Socialdemokratiet,11
Vejle Nordkredsen,16. Skibet Hallen Nord,Jesper Petersen,Socialdemokratiet,14
Vejle Nordkredsen,16. Skibet Hallen Nord,Kris Jensen Skriver,Socialdemokratiet,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Jens Jonatan Steen,Socialdemokratiet,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Birgitte Vind,Socialdemokratiet,159
Vejle Nordkredsen,16. Skibet Hallen Nord,Partiliste,Radikale Venstre,27
Vejle Nordkredsen,16. Skibet Hallen Nord,Ole Lynggaard Jørgensen,Radikale Venstre,9
Vejle Nordkredsen,16. Skibet Hallen Nord,Lotte Rod,Radikale Venstre,21
Vejle Nordkredsen,16. Skibet Hallen Nord,Nils Sjøberg,Radikale Venstre,3
Vejle Nordkredsen,16. Skibet Hallen Nord,Anne Marie Geisler Andersen,Radikale Venstre,11
Vejle Nordkredsen,16. Skibet Hallen Nord,Bjarne Lastein,Radikale Venstre,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Lasse Skov Ovesen,Radikale Venstre,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Finn Hartvig Nielsen,Radikale Venstre,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Partiliste,Det Konservative Folkeparti,65
Vejle Nordkredsen,16. Skibet Hallen Nord,Niels Flemming Hansen,Det Konservative Folkeparti,35
Vejle Nordkredsen,16. Skibet Hallen Nord,Rasmus Dahlberg,Det Konservative Folkeparti,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Rasmus Elkjær Larsen,Det Konservative Folkeparti,6
Vejle Nordkredsen,16. Skibet Hallen Nord,Jesper Højmark Esbensen,Det Konservative Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Steffen Hansen,Det Konservative Folkeparti,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Steen Holm Iversen,Det Konservative Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Birgitte Klippert,Det Konservative Folkeparti,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Dan Foss Kragh,Det Konservative Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Christian Lorenzen,Det Konservative Folkeparti,3
Vejle Nordkredsen,16. Skibet Hallen Nord,Casper Nørgaard Maglekær,Det Konservative Folkeparti,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Frederik Bloch Münster,Det Konservative Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Kirsten Hassing Nielsen,Det Konservative Folkeparti,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Rikke Norlyk,Det Konservative Folkeparti,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Rasmus Sandvej,Det Konservative Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Dorthe Schmittroth,Det Konservative Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Partiliste,Nye Borgerlige,21
Vejle Nordkredsen,16. Skibet Hallen Nord,Pernille Vermund,Nye Borgerlige,28
Vejle Nordkredsen,16. Skibet Hallen Nord,Rune Bønnelykke,Nye Borgerlige,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Tom Andkjær,Nye Borgerlige,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Karsten Byrgesen,Nye Borgerlige,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Bo Kleis Christensen,Nye Borgerlige,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Jan Køpke Christensen,Nye Borgerlige,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Kim Andkjær Doberck,Nye Borgerlige,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Hans-Christian Gjerlevsen,Nye Borgerlige,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Henrik Husted,Nye Borgerlige,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Marianne Mathiesen,Nye Borgerlige,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Thomas Vedsted,Nye Borgerlige,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Partiliste,SF - Socialistisk Folkeparti,74
Vejle Nordkredsen,16. Skibet Hallen Nord,Karina Lorentzen Dehnhardt,SF - Socialistisk Folkeparti,33
Vejle Nordkredsen,16. Skibet Hallen Nord,Nanna Bonde,SF - Socialistisk Folkeparti,6
Vejle Nordkredsen,16. Skibet Hallen Nord,Christian Mutwa Christensen,SF - Socialistisk Folkeparti,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Milo Jacobsen Gaarde,SF - Socialistisk Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,David Dam Jensen,SF - Socialistisk Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,John Hyrup Jensen,SF - Socialistisk Folkeparti,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Laurits Kaae,SF - Socialistisk Folkeparti,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Wanda Madsen,SF - Socialistisk Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Karin B. Nissen,SF - Socialistisk Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Lars Olesen,SF - Socialistisk Folkeparti,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Gunner Poulsen,SF - Socialistisk Folkeparti,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Susanne Stenstrop Thorsen,SF - Socialistisk Folkeparti,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Simon Dahl Verner,SF - Socialistisk Folkeparti,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Partiliste,Liberal Alliance,121
Vejle Nordkredsen,16. Skibet Hallen Nord,Henrik Dahl,Liberal Alliance,17
Vejle Nordkredsen,16. Skibet Hallen Nord,Carl Andersen,Liberal Alliance,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Helena Artmann Andresen,Liberal Alliance,7
Vejle Nordkredsen,16. Skibet Hallen Nord,Mikkel Pedersen,Liberal Alliance,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Tobias Pagh,Liberal Alliance,4
Vejle Nordkredsen,16. Skibet Hallen Nord,Carsten Andersen,Liberal Alliance,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Kim Alexander Jensen,Liberal Alliance,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Kenneth Kirkeby,Liberal Alliance,1
Vejle Nordkredsen,16. Skibet Hallen Nord,Dorthe Wildt Nielsen,Liberal Alliance,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Partiliste,KD - Kristendemokraterne,10
Vejle Nordkredsen,16. Skibet Hallen Nord,Mirjam Fibiger Olesen,KD - Kristendemokraterne,5
Vejle Nordkredsen,16. Skibet Hallen Nord,Søren Lydeking Pedersen,KD - Kristendemokraterne,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Ester Esmarch,KD - Kristendemokraterne,0
Vejle Nordkredsen,16. Skibet Hallen Nord,Frits Simmelsgaard Kristensen,KD - Kristendemokraterne,2
Vejle Nordkredsen,16. Skibet Hallen Nord,Poul Harald Holm,KD - Kristendemokraterne,0
